scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
optimistic,150,bramev_nearest_offer,42,42,42,0,6,0,0.708626
optimistic,150,bramev_nearest_offer,42,42,42,0,6,1,0.662787
optimistic,150,bramev_nearest_offer,42,42,42,0,6,2,0.654168
optimistic,150,bramev_nearest_offer,42,42,42,0,6,3,0.617039
optimistic,150,bramev_nearest_offer,42,42,42,0,6,4,0.624284
optimistic,150,bramev_nearest_offer,42,42,42,0,6,5,0.594209
optimistic,150,bramev_nearest_offer,42,42,42,0,6,6,0.567142
optimistic,150,bramev_nearest_offer,42,42,42,0,6,7,0.542782
optimistic,150,bramev_nearest_offer,42,42,42,0,6,8,0.533245
optimistic,150,bramev_nearest_offer,42,42,42,0,6,9,0.513513
optimistic,150,bramev_nearest_offer,42,42,42,0,8,0,0.80801
optimistic,150,bramev_nearest_offer,42,42,42,0,8,1,0.752233
optimistic,150,bramev_nearest_offer,42,42,42,0,8,2,0.734669
optimistic,150,bramev_nearest_offer,42,42,42,0,8,3,0.68949
optimistic,150,bramev_nearest_offer,42,42,42,0,8,4,0.68949
optimistic,150,bramev_nearest_offer,42,42,42,0,8,5,0.652895
optimistic,150,bramev_nearest_offer,42,42,42,0,8,6,0.619959
optimistic,150,bramev_nearest_offer,42,42,42,0,8,7,0.590317
optimistic,150,bramev_nearest_offer,42,42,42,0,8,8,0.576026
optimistic,150,bramev_nearest_offer,42,42,42,0,8,9,0.552016
optimistic,150,bramev_nearest_offer,42,42,42,0,10,0,0.305265
optimistic,150,bramev_nearest_offer,42,42,42,0,10,1,0.299763
optimistic,150,bramev_nearest_offer,42,42,42,0,10,2,0.327446
optimistic,150,bramev_nearest_offer,42,42,42,0,10,3,0.322989
optimistic,150,bramev_nearest_offer,42,42,42,0,10,4,0.359639
optimistic,150,bramev_nearest_offer,42,42,42,0,10,5,0.356029
optimistic,150,bramev_nearest_offer,42,42,42,0,10,6,0.35278
optimistic,150,bramev_nearest_offer,42,42,42,0,10,7,0.349856
optimistic,150,bramev_nearest_offer,42,42,42,0,10,8,0.359611
optimistic,150,bramev_nearest_offer,42,42,42,0,10,9,0.357243
optimistic,150,bramev_nearest_offer,42,42,42,0,11,0,0.250242
optimistic,150,bramev_nearest_offer,42,42,42,0,11,1,0.250242
optimistic,150,bramev_nearest_offer,42,42,42,0,11,2,0.282877
optimistic,150,bramev_nearest_offer,42,42,42,0,11,3,0.282877
optimistic,150,bramev_nearest_offer,42,42,42,0,11,4,0.323538
optimistic,150,bramev_nearest_offer,42,42,42,0,11,5,0.323538
optimistic,150,bramev_nearest_offer,42,42,42,0,11,6,0.323538
optimistic,150,bramev_nearest_offer,42,42,42,0,11,7,0.323538
optimistic,150,bramev_nearest_offer,42,42,42,0,11,8,0.335925
optimistic,150,bramev_nearest_offer,42,42,42,0,11,9,0.335925
optimistic,150,bramev_nearest_offer,42,42,42,0,15,0,0.509227
optimistic,150,bramev_nearest_offer,42,42,42,0,15,1,0.483328
optimistic,150,bramev_nearest_offer,42,42,42,0,15,2,0.492655
optimistic,150,bramev_nearest_offer,42,42,42,0,15,3,0.471677
optimistic,150,bramev_nearest_offer,42,42,42,0,15,4,0.493458
optimistic,150,bramev_nearest_offer,42,42,42,0,15,5,0.476466
optimistic,150,bramev_nearest_offer,42,42,42,0,15,6,0.461173
optimistic,150,bramev_nearest_offer,42,42,42,0,15,7,0.44741
optimistic,150,bramev_nearest_offer,42,42,42,0,15,8,0.44741
optimistic,150,bramev_nearest_offer,42,42,42,0,15,9,0.436261
optimistic,150,bramev_nearest_offer,42,42,42,0,23,0,0.181183
optimistic,150,bramev_nearest_offer,42,42,42,0,23,1,0.188089
optimistic,150,bramev_nearest_offer,42,42,42,0,23,2,0.226939
optimistic,150,bramev_nearest_offer,42,42,42,0,23,3,0.232533
optimistic,150,bramev_nearest_offer,42,42,42,0,23,4,0.278228
optimistic,150,bramev_nearest_offer,42,42,42,0,23,5,0.282759
optimistic,150,bramev_nearest_offer,42,42,42,0,23,6,0.286837
optimistic,150,bramev_nearest_offer,42,42,42,0,23,7,0.290507
optimistic,150,bramev_nearest_offer,42,42,42,0,23,8,0.306198
optimistic,150,bramev_nearest_offer,42,42,42,0,23,9,0.30917
optimistic,150,bramev_nearest_offer,42,42,42,0,32,0,0.275578
optimistic,150,bramev_nearest_offer,42,42,42,0,32,1,0.273045
optimistic,150,bramev_nearest_offer,42,42,42,0,32,2,0.303399
optimistic,150,bramev_nearest_offer,42,42,42,0,32,3,0.301347
optimistic,150,bramev_nearest_offer,42,42,42,0,32,4,0.340161
optimistic,150,bramev_nearest_offer,42,42,42,0,32,5,0.338499
optimistic,150,bramev_nearest_offer,42,42,42,0,32,6,0.337003
optimistic,150,bramev_nearest_offer,42,42,42,0,32,7,0.335657
optimistic,150,bramev_nearest_offer,42,42,42,0,32,8,0.346832
optimistic,150,bramev_nearest_offer,42,42,42,0,32,9,0.345741
optimistic,150,bramev_nearest_offer,42,42,42,0,34,0,0.355302
optimistic,150,bramev_nearest_offer,42,42,42,0,34,1,0.344796
optimistic,150,bramev_nearest_offer,42,42,42,0,34,2,0.367975
optimistic,150,bramev_nearest_offer,42,42,42,0,34,3,0.359466
optimistic,150,bramev_nearest_offer,42,42,42,0,34,4,0.392468
optimistic,150,bramev_nearest_offer,42,42,42,0,34,5,0.385575
optimistic,150,bramev_nearest_offer,42,42,42,0,34,6,0.379371
optimistic,150,bramev_nearest_offer,42,42,42,0,34,7,0.373788
optimistic,150,bramev_nearest_offer,42,42,42,0,34,8,0.38115
optimistic,150,bramev_nearest_offer,42,42,42,0,34,9,0.376628
optimistic,150,bramev_nearest_offer,42,42,42,0,35,0,0.612853
optimistic,150,bramev_nearest_offer,42,42,42,0,35,1,0.576592
optimistic,150,bramev_nearest_offer,42,42,42,0,35,2,0.576592
optimistic,150,bramev_nearest_offer,42,42,42,0,35,3,0.547221
optimistic,150,bramev_nearest_offer,42,42,42,0,35,4,0.561448
optimistic,150,bramev_nearest_offer,42,42,42,0,35,5,0.537657
optimistic,150,bramev_nearest_offer,42,42,42,0,35,6,0.516245
optimistic,150,bramev_nearest_offer,42,42,42,0,35,7,0.496974
optimistic,150,bramev_nearest_offer,42,42,42,0,35,8,0.492018
optimistic,150,bramev_nearest_offer,42,42,42,0,35,9,0.476408
optimistic,150,bramev_nearest_offer,42,42,42,0,37,0,0.631187
optimistic,150,bramev_nearest_offer,42,42,42,0,37,1,0.593093
optimistic,150,bramev_nearest_offer,42,42,42,0,37,2,0.591443
optimistic,150,bramev_nearest_offer,42,42,42,0,37,3,0.560586
optimistic,150,bramev_nearest_offer,42,42,42,0,37,4,0.573477
optimistic,150,bramev_nearest_offer,42,42,42,0,37,5,0.548483
optimistic,150,bramev_nearest_offer,42,42,42,0,37,6,0.525988
optimistic,150,bramev_nearest_offer,42,42,42,0,37,7,0.505743
optimistic,150,bramev_nearest_offer,42,42,42,0,37,8,0.49991
optimistic,150,bramev_nearest_offer,42,42,42,0,37,9,0.483511
optimistic,150,bramev_nearest_offer,42,42,42,1,0,0,0.290955
optimistic,150,bramev_nearest_offer,42,42,42,1,0,1,0.350869
optimistic,150,bramev_nearest_offer,42,42,42,1,0,2,0.350869
optimistic,150,bramev_nearest_offer,42,42,42,1,0,3,0.350869
optimistic,150,bramev_nearest_offer,42,42,42,1,0,4,0.395193
optimistic,150,bramev_nearest_offer,42,42,42,1,0,5,0.434502
optimistic,150,bramev_nearest_offer,42,42,42,1,0,6,0.434502
optimistic,150,bramev_nearest_offer,42,42,42,1,0,7,0.434502
optimistic,150,bramev_nearest_offer,42,42,42,1,0,8,0.425547
optimistic,150,bramev_nearest_offer,42,42,42,1,0,9,0.425547
optimistic,150,bramev_nearest_offer,42,42,42,1,2,0,0.739154
optimistic,150,bramev_nearest_offer,42,42,42,1,2,1,0.754248
optimistic,150,bramev_nearest_offer,42,42,42,1,2,2,0.71391
optimistic,150,bramev_nearest_offer,42,42,42,1,2,3,0.677606
optimistic,150,bramev_nearest_offer,42,42,42,1,2,4,0.689257
optimistic,150,bramev_nearest_offer,42,42,42,1,2,5,0.69916
optimistic,150,bramev_nearest_offer,42,42,42,1,2,6,0.672694
optimistic,150,bramev_nearest_offer,42,42,42,1,2,7,0.648875
optimistic,150,bramev_nearest_offer,42,42,42,1,2,8,0.618482
optimistic,150,bramev_nearest_offer,42,42,42,1,2,9,0.599189
optimistic,150,bramev_nearest_offer,42,42,42,1,3,0,0.890094
optimistic,150,bramev_nearest_offer,42,42,42,1,3,1,0.890094
optimistic,150,bramev_nearest_offer,42,42,42,1,3,2,0.836171
optimistic,150,bramev_nearest_offer,42,42,42,1,3,3,0.787641
optimistic,150,bramev_nearest_offer,42,42,42,1,3,4,0.788288
optimistic,150,bramev_nearest_offer,42,42,42,1,3,5,0.788288
optimistic,150,bramev_nearest_offer,42,42,42,1,3,6,0.752909
optimistic,150,bramev_nearest_offer,42,42,42,1,3,7,0.721069
optimistic,150,bramev_nearest_offer,42,42,42,1,3,8,0.683457
optimistic,150,bramev_nearest_offer,42,42,42,1,3,9,0.657666
optimistic,150,bramev_nearest_offer,42,42,42,1,5,0,0.219847
optimistic,150,bramev_nearest_offer,42,42,42,1,5,1,0.286871
optimistic,150,bramev_nearest_offer,42,42,42,1,5,2,0.293271
optimistic,150,bramev_nearest_offer,42,42,42,1,5,3,0.299031
optimistic,150,bramev_nearest_offer,42,42,42,1,5,4,0.348539
optimistic,150,bramev_nearest_offer,42,42,42,1,5,5,0.392514
optimistic,150,bramev_nearest_offer,42,42,42,1,5,6,0.396713
optimistic,150,bramev_nearest_offer,42,42,42,1,5,7,0.400492
optimistic,150,bramev_nearest_offer,42,42,42,1,5,8,0.394938
optimistic,150,bramev_nearest_offer,42,42,42,1,5,9,0.397998
optimistic,150,bramev_nearest_offer,42,42,42,1,7,0,0.57078
optimistic,150,bramev_nearest_offer,42,42,42,1,7,1,0.602712
optimistic,150,bramev_nearest_offer,42,42,42,1,7,2,0.577527
optimistic,150,bramev_nearest_offer,42,42,42,1,7,3,0.554861
optimistic,150,bramev_nearest_offer,42,42,42,1,7,4,0.578786
optimistic,150,bramev_nearest_offer,42,42,42,1,7,5,0.599737
optimistic,150,bramev_nearest_offer,42,42,42,1,7,6,0.583213
optimistic,150,bramev_nearest_offer,42,42,42,1,7,7,0.568342
optimistic,150,bramev_nearest_offer,42,42,42,1,7,8,0.546003
optimistic,150,bramev_nearest_offer,42,42,42,1,7,9,0.533957
optimistic,150,bramev_nearest_offer,42,42,42,1,24,0,0.89897
optimistic,150,bramev_nearest_offer,42,42,42,1,24,1,0.898082
optimistic,150,bramev_nearest_offer,42,42,42,1,24,2,0.843361
optimistic,150,bramev_nearest_offer,42,42,42,1,24,3,0.794112
optimistic,150,bramev_nearest_offer,42,42,42,1,24,4,0.794112
optimistic,150,bramev_nearest_offer,42,42,42,1,24,5,0.793529
optimistic,150,bramev_nearest_offer,42,42,42,1,24,6,0.757627
optimistic,150,bramev_nearest_offer,42,42,42,1,24,7,0.725314
