scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
optimistic,150,bramev_nearest_offer,42,42,42,observed,abs,119,0.0938
optimistic,150,bramev_nearest_offer,42,42,42,observed,early,8,0.0063
optimistic,150,bramev_nearest_offer,42,42,42,observed,late,184,0.145
optimistic,150,bramev_nearest_offer,42,42,42,observed,pres,955,0.7526
optimistic,150,bramev_nearest_offer,42,42,42,observed,unresolved,3,0.0024
optimistic,150,bramev_nearest_offer,42,42,42,intent,abs,119,0.0938
optimistic,150,bramev_nearest_offer,42,42,42,intent,early,117,0.0922
optimistic,150,bramev_nearest_offer,42,42,42,intent,late,75,0.0591
optimistic,150,bramev_nearest_offer,42,42,42,intent,pres,958,0.7549
optimistic,150,bramev_nearest_offer,42,42,42,reclassified,early->late,109,
