scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,150,bramev_nearest_offer,42,42,42,0,1,5,0.4255,1,duration,246,55,191,64,0,0,127,95,8,1,23,0,0,4611,3267,0.6404,0.4537,212.158
optimistic,150,bramev_nearest_offer,42,42,42,1,2,5,0.4567,2,duration,312,59,253,244,0,0,9,8,1,0,0,0,0,398,347,0.0553,0.0482,15.617
optimistic,150,bramev_nearest_offer,42,42,42,2,1,5,0.5992,1,duration,144,37,107,99,0,0,8,7,0,0,1,0,0,263,216,0.0365,0.03,13.4
optimistic,150,bramev_nearest_offer,42,42,42,3,1,5,0.6577,1,duration,341,113,228,169,0,0,59,46,7,0,6,0,0,2006,1465,0.2786,0.2035,92.25
optimistic,150,bramev_nearest_offer,42,42,42,4,3,5,0.1501,3,duration,281,74,207,105,0,0,102,77,13,0,12,0,0,3764,2811,0.5228,0.3904,159.717
optimistic,150,bramev_nearest_offer,42,42,42,5,1,4,0.398,1,duration,155,43,112,97,0,0,15,10,5,0,0,0,0,566,404,0.0983,0.0701,17.2
optimistic,150,bramev_nearest_offer,42,42,42,6,0,6,0.5135,0,duration,141,30,111,107,0,0,4,4,0,0,0,0,0,127,119,0.0147,0.0138,5.842
optimistic,150,bramev_nearest_offer,42,42,42,7,1,6,0.534,1,duration,139,38,101,88,0,0,13,11,0,0,2,0,0,489,401,0.0566,0.0464,25.625
optimistic,150,bramev_nearest_offer,42,42,42,8,0,5,0.552,0,duration,160,36,124,110,0,0,14,11,0,0,3,0,0,501,394,0.0696,0.0547,24.033
optimistic,150,bramev_nearest_offer,42,42,42,9,2,4,0.5444,2,duration,297,53,244,213,0,0,31,23,3,0,5,0,0,1160,789,0.2014,0.137,48.9
optimistic,150,bramev_nearest_offer,42,42,42,10,0,5,0.3572,0,duration,162,36,126,93,0,0,33,29,1,0,3,0,0,1135,963,0.1576,0.1338,60.158
optimistic,150,bramev_nearest_offer,42,42,42,11,0,4,0.3359,0,duration,305,68,237,109,0,0,128,91,16,4,16,0,1,4338,2946,0.7531,0.5115,180.117
optimistic,150,bramev_nearest_offer,42,42,42,12,3,6,0.2175,3,duration,359,116,243,231,0,0,12,7,1,0,4,0,0,377,188,0.0436,0.0218,17.142
