scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
optimistic,200,bramev_event_score,42,42,42,0,6,0,0.708626
optimistic,200,bramev_event_score,42,42,42,0,6,1,0.662787
optimistic,200,bramev_event_score,42,42,42,0,6,2,0.621533
optimistic,200,bramev_event_score,42,42,42,0,6,3,0.584404
optimistic,200,bramev_event_score,42,42,42,0,6,4,0.550988
optimistic,200,bramev_event_score,42,42,42,0,6,5,0.520913
optimistic,200,bramev_event_score,42,42,42,0,6,6,0.493846
optimistic,200,bramev_event_score,42,42,42,0,6,7,0.465815
optimistic,200,bramev_event_score,42,42,42,0,6,8,0.443891
optimistic,200,bramev_event_score,42,42,42,0,6,9,0.424159
optimistic,200,bramev_event_score,42,42,42,0,8,0,0.80801
optimistic,200,bramev_event_score,42,42,42,0,8,1,0.752233
optimistic,200,bramev_event_score,42,42,42,0,8,2,0.702034
optimistic,200,bramev_event_score,42,42,42,0,8,3,0.656855
optimistic,200,bramev_event_score,42,42,42,0,8,4,0.616194
optimistic,200,bramev_event_score,42,42,42,0,8,5,0.579598
optimistic,200,bramev_event_score,42,42,42,0,8,6,0.546663
optimistic,200,bramev_event_score,42,42,42,0,8,7,0.513351
optimistic,200,bramev_event_score,42,42,42,0,8,8,0.486673
optimistic,200,bramev_event_score,42,42,42,0,8,9,0.462663
optimistic,200,bramev_event_score,42,42,42,0,10,0,0.305265
optimistic,200,bramev_event_score,42,42,42,0,10,1,0.299763
optimistic,200,bramev_event_score,42,42,42,0,10,2,0.294811
optimistic,200,bramev_event_score,42,42,42,0,10,3,0.290354
optimistic,200,bramev_event_score,42,42,42,0,10,4,0.286343
optimistic,200,bramev_event_score,42,42,42,0,10,5,0.282733
optimistic,200,bramev_event_score,42,42,42,0,10,6,0.279483
optimistic,200,bramev_event_score,42,42,42,0,10,7,0.272889
optimistic,200,bramev_event_score,42,42,42,0,10,8,0.270257
optimistic,200,bramev_event_score,42,42,42,0,10,9,0.267889
optimistic,200,bramev_event_score,42,42,42,0,11,0,0.250242
optimistic,200,bramev_event_score,42,42,42,0,11,1,0.250242
optimistic,200,bramev_event_score,42,42,42,0,11,2,0.250242
optimistic,200,bramev_event_score,42,42,42,0,11,3,0.250242
optimistic,200,bramev_event_score,42,42,42,0,11,4,0.250242
optimistic,200,bramev_event_score,42,42,42,0,11,5,0.250242
optimistic,200,bramev_event_score,42,42,42,0,11,6,0.250242
optimistic,200,bramev_event_score,42,42,42,0,11,7,0.246572
optimistic,200,bramev_event_score,42,42,42,0,11,8,0.246572
optimistic,200,bramev_event_score,42,42,42,0,11,9,0.246572
optimistic,200,bramev_event_score,42,42,42,0,15,0,0.509227
optimistic,200,bramev_event_score,42,42,42,0,15,1,0.483328
optimistic,200,bramev_event_score,42,42,42,0,15,2,0.46002
optimistic,200,bramev_event_score,42,42,42,0,15,3,0.439042
optimistic,200,bramev_event_score,42,42,42,0,15,4,0.420162
optimistic,200,bramev_event_score,42,42,42,0,15,5,0.40317
optimistic,200,bramev_event_score,42,42,42,0,15,6,0.387877
optimistic,200,bramev_event_score,42,42,42,0,15,7,0.370444
optimistic,200,bramev_event_score,42,42,42,0,15,8,0.358056
optimistic,200,bramev_event_score,42,42,42,0,15,9,0.346908
optimistic,200,bramev_event_score,42,42,42,0,23,0,0.181183
optimistic,200,bramev_event_score,42,42,42,0,23,1,0.188089
optimistic,200,bramev_event_score,42,42,42,0,23,2,0.194304
