scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
optimistic,200,bramev_fixed_alpha,42,42,42,observed,abs,161,0.095
optimistic,200,bramev_fixed_alpha,42,42,42,observed,breakdown,1,0.0006
optimistic,200,bramev_fixed_alpha,42,42,42,observed,early,5,0.003
optimistic,200,bramev_fixed_alpha,42,42,42,observed,late,257,0.1517
optimistic,200,bramev_fixed_alpha,42,42,42,observed,pres,1270,0.7497
optimistic,200,bramev_fixed_alpha,42,42,42,intent,abs,162,0.0956
optimistic,200,bramev_fixed_alpha,42,42,42,intent,early,153,0.0903
optimistic,200,bramev_fixed_alpha,42,42,42,intent,late,109,0.0643
optimistic,200,bramev_fixed_alpha,42,42,42,intent,pres,1270,0.7497
optimistic,200,bramev_fixed_alpha,42,42,42,reclassified,early->late,148,
