scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
optimistic,200,bramev_global_rep,42,42,42,observed,abs,126,0.0963
optimistic,200,bramev_global_rep,42,42,42,observed,breakdown,1,0.0008
optimistic,200,bramev_global_rep,42,42,42,observed,early,1,0.0008
optimistic,200,bramev_global_rep,42,42,42,observed,late,211,0.1613
optimistic,200,bramev_global_rep,42,42,42,observed,pres,966,0.7385
optimistic,200,bramev_global_rep,42,42,42,observed,unresolved,3,0.0023
optimistic,200,bramev_global_rep,42,42,42,intent,abs,127,0.0971
optimistic,200,bramev_global_rep,42,42,42,intent,early,123,0.094
optimistic,200,bramev_global_rep,42,42,42,intent,late,89,0.068
optimistic,200,bramev_global_rep,42,42,42,intent,pres,969,0.7408
optimistic,200,bramev_global_rep,42,42,42,reclassified,early->late,122,
