scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
optimistic,250,bramev_event_score,42,42,42,t00000-c00008,8,0,6,6,True,1,300049.37137500383,3558444.8084160103,602779.9766249955,0.027959002181887627,4161224.813000008
optimistic,250,bramev_event_score,42,42,42,t00000-c00020,20,0,10,10,True,1,600112.6414169848,3561101.572124986,600123.2776670076,0.007624999852851033,4161224.8574169935
optimistic,250,bramev_event_score,42,42,42,t00000-c00024,24,0,12,12,True,1,600112.607084011,4161224.679667008,0.16966700786724687,0.006040994776412845,4161224.8553750105
optimistic,250,bramev_event_score,42,42,42,t00000-c00025,25,0,5,5,True,1,1188573.9324160095,4161224.6419160217,0.1922499795909971,0.0041669991333037615,4161224.8383330004
optimistic,250,bramev_event_score,42,42,42,t00000-c00033,33,0,5,5,True,1,300049.22225000337,3558444.65929101,602780.1622919797,0.003916997229680419,4161224.8254999868
optimistic,250,bramev_event_score,42,42,42,t00000-c00034,34,0,6,6,True,1,867452.2737910156,3861165.334833,300059.4781250111,0.004292000085115433,4161224.8172500115
optimistic,250,bramev_event_score,42,42,42,t00000-c00048,48,0,7,7,True,1,867452.2432090016,3558444.597917027,602780.2050829923,0.003916997229680419,4161224.8069170164
optimistic,250,bramev_event_score,42,42,42,t00000-c00059,59,0,6,5,True,1,1188573.809124995,4161224.5184170026,0.2742910000961274,0.003916997229680419,4161224.7966249995
optimistic,250,bramev_event_score,42,42,42,t00000-c00068,68,0,6,6,True,1,867452.181917004,3861165.24237502,300059.5388340007,0.0039579754229635,4161224.7851669965
optimistic,250,bramev_event_score,42,42,42,t00000-c00092,92,0,9,9,True,1,600112.382042018,4161224.4565839935,0.31662502442486584,0.0040409795474261045,4161224.7772499975
optimistic,250,bramev_event_score,42,42,42,t00000-c00099,99,0,5,5,True,1,1187164.0894160082,3393495.4406250035,767729.3132499908,0.00391600769944489,4161224.7577910023
optimistic,250,bramev_event_score,42,42,42,t00000-c00104,104,0,6,6,True,1,1187164.023417019,3861165.1065000044,300059.59895902197,0.0035829725675284863,4161224.7090419987
optimistic,250,bramev_event_score,42,42,42,t00000-c00106,106,0,7,7,True,1,1188573.588749976,4161224.2981249876,0.3725829883478582,0.003500026650726795,4161224.674208002
optimistic,250,bramev_event_score,42,42,42,t00000-c00114,114,0,7,7,True,1,886999.7281249962,3861165.0176249966,300059.63475001045,0.003208988346159458,4161224.6555839954
optimistic,250,bramev_event_score,42,42,42,t00000-c00121,121,0,6,6,True,1,300048.8405000069,3559088.4194999817,602136.2180410069,0.0034590193536132574,4161224.641000008
optimistic,250,bramev_event_score,42,42,42,t00000-c00122,122,0,4,4,True,1,1518288.6718750233,3393495.225584018,767729.4012499915,0.0031249946914613247,4161224.629959004
optimistic,250,bramev_event_score,42,42,42,t00000-c00143,143,0,3,3,True,1,300048.7842079892,3392627.267041011,768597.3472089972,0.00291600008495152,4161224.617166008
optimistic,250,bramev_event_score,42,42,42,t00000-c00146,146,0,7,7,True,1,1188573.433249985,4161224.1426249966,0.45862499973736703,0.003749999450519681,4161224.604999996
optimistic,250,bramev_event_score,42,42,42,t00000-c00151,151,0,6,6,True,1,867451.8070410122,3861164.869458007,300059.71937498543,0.003375025698915124,4161224.5922080185
optimistic,250,bramev_event_score,42,42,42,t00000-c00154,154,0,6,6,True,1,1187163.7576250068,3861164.8415829986,300059.7370000032,0.0032919924706220627,4161224.5818749946
optimistic,250,bramev_event_score,42,42,42,t00000-c00166,166,0,7,7,True,1,886999.5222910075,3393495.0793329915,767729.4882500137,0.0034999975468963385,4161224.5710830027
optimistic,250,bramev_event_score,42,42,42,t00000-c00178,178,0,6,6,True,1,300048.6376660119,3558444.073749997,602780.4823750048,0.003249995643272996,4161224.5593749974
optimistic,250,bramev_event_score,42,42,42,t00000-c00191,191,0,12,12,True,1,600111.9182079856,4161223.9937080014,0.5498339887708426,0.004083005478605628,4161224.5476249955
optimistic,250,bramev_event_score,42,42,42,t00000-c00196,196,0,6,6,True,1,300048.57549999724,3558444.011707994,602780.5217920104,0.0037080026231706142,4161224.5372080067
optimistic,250,bramev_event_score,42,42,42,t00000-c00203,203,0,9,9,True,1,867451.6308339953,3861164.693958999,300059.8327909829,0.0041669991333037615,4161224.5309169814
optimistic,250,bramev_event_score,42,42,42,t00000-c00204,204,0,9,8,True,1,600111.8356249935,4161223.911208013,0.6089169764891267,0.004041008651256561,4161224.524165998
optimistic,250,bramev_event_score,42,42,42,t00000-c00211,211,0,3,3,True,1,300048.4960830072,3392626.978165994,768597.5322090089,0.003207998815923929,4161224.5135830017
