scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,250,bramev_fixed_alpha,42,42,42,0,1,5,0.5,1,duration,422,86,336,144,0,0,192,143,12,1,36,0,0,6783,4846,0.9421,0.6731,309.492
optimistic,250,bramev_fixed_alpha,42,42,42,1,2,5,0.5,2,duration,485,95,390,374,0,0,16,13,0,0,3,0,0,646,512,0.0897,0.0711,28.725
optimistic,250,bramev_fixed_alpha,42,42,42,2,1,5,0.5,1,duration,225,31,194,188,0,0,6,6,0,0,0,0,0,232,220,0.0322,0.0306,10.617
optimistic,250,bramev_fixed_alpha,42,42,42,3,1,5,0.5,1,duration,517,131,386,257,0,0,129,99,14,2,14,0,0,4355,3111,0.6049,0.4321,192.375
optimistic,250,bramev_fixed_alpha,42,42,42,4,3,5,0.5,3,duration,449,109,340,190,0,0,150,111,19,0,19,0,1,5110,3583,0.7097,0.4976,223.825
optimistic,250,bramev_fixed_alpha,42,42,42,5,1,4,0.5,1,duration,219,47,172,146,0,0,26,20,4,0,2,0,0,1049,822,0.1821,0.1427,40.583
optimistic,250,bramev_fixed_alpha,42,42,42,6,0,6,0.5,0,duration,206,39,167,161,0,0,6,6,0,0,0,0,0,147,135,0.017,0.0156,7.925
optimistic,250,bramev_fixed_alpha,42,42,42,7,1,6,0.5,1,duration,226,33,193,164,0,0,29,19,4,0,6,0,0,1069,634,0.1237,0.0734,43.958
optimistic,250,bramev_fixed_alpha,42,42,42,8,0,5,0.5,0,duration,260,56,204,189,0,0,15,9,2,0,4,0,0,482,290,0.0669,0.0403,22.625
optimistic,250,bramev_fixed_alpha,42,42,42,9,2,4,0.5,2,duration,466,96,370,327,0,0,43,31,4,0,8,0,0,1487,1017,0.2582,0.1766,68.208
optimistic,250,bramev_fixed_alpha,42,42,42,10,0,5,0.5,0,duration,256,53,203,152,0,1,51,36,6,0,8,1,0,1872,1243,0.26,0.1726,80.433
optimistic,250,bramev_fixed_alpha,42,42,42,11,0,4,0.5,0,duration,517,100,417,261,0,0,156,110,19,0,27,0,0,5576,3842,0.9681,0.667,238.375
optimistic,250,bramev_fixed_alpha,42,42,42,12,3,6,0.5,3,duration,537,131,406,362,0,0,44,36,4,0,4,0,0,1556,1183,0.1801,0.1369,73.658
optimistic,250,bramev_fixed_alpha,42,42,42,13,3,4,0.5,3,duration,243,51,192,139,0,0,53,39,9,0,5,0,0,1865,1336,0.3238,0.2319,77.85
optimistic,250,bramev_fixed_alpha,42,42,42,14,3,4,0.5,3,duration,487,108,379,310,0,0,69,56,1,1,11,0,0,2538,1898,0.4406,0.3295,121.742
optimistic,250,bramev_fixed_alpha,42,42,42,15,0,5,0.5,0,duration,254,41,213,135,0,0,78,62,8,0,7,1,0,2896,2065,0.4022,0.2868,120.4
optimistic,250,bramev_fixed_alpha,42,42,42,16,2,6,0.5,2,duration,177,26,151,150,0,0,1,1,0,0,0,0,0,30,28,0.0035,0.0032,2.0
optimistic,250,bramev_fixed_alpha,42,42,42,17,2,4,0.5,2,duration,319,51,268,245,0,0,23,19,0,0,4,0,0,779,627,0.1352,0.1089,39.033
optimistic,250,bramev_fixed_alpha,42,42,42,18,2,5,0.5,2,duration,323,42,281,225,0,0,56,47,1,0,7,0,1,1966,1579,0.2731,0.2193,92.633
optimistic,250,bramev_fixed_alpha,42,42,42,19,3,6,0.5,3,duration,179,39,140,132,0,0,8,7,1,0,0,0,0,274,223,0.0317,0.0258,13.775
optimistic,250,bramev_fixed_alpha,42,42,42,20,2,4,0.5,2,duration,304,53,251,246,0,0,5,4,0,0,1,0,0,193,150,0.0335,0.026,8.758
optimistic,250,bramev_fixed_alpha,42,42,42,21,2,6,0.5,2,duration,134,17,117,108,0,0,9,8,0,0,1,0,0,307,265,0.0355,0.0307,15.125
optimistic,250,bramev_fixed_alpha,42,42,42,22,2,4,0.5,2,duration,435,91,344,237,0,0,107,82,9,1,15,0,0,3659,2683,0.6352,0.4658,164.425
optimistic,250,bramev_fixed_alpha,42,42,42,23,0,4,0.5,0,duration,206,25,181,148,0,0,33,24,3,0,6,0,0,1103,758,0.1915,0.1316,51.608
optimistic,250,bramev_fixed_alpha,42,42,42,24,1,4,0.5,1,duration,498,88,410,399,0,0,11,9,2,0,0,0,0,371,298,0.0644,0.0517,16.417
optimistic,250,bramev_fixed_alpha,42,42,42,25,2,6,0.5,2,duration,419,56,363,295,0,0,68,56,6,1,5,0,0,2648,2090,0.3065,0.2419,114.425
optimistic,250,bramev_fixed_alpha,42,42,42,26,3,5,0.5,3,duration,487,122,365,176,0,0,189,144,16,2,27,0,0,6451,4953,0.896,0.6879,297.242
optimistic,250,bramev_fixed_alpha,42,42,42,27,2,4,0.5,2,duration,213,28,185,171,0,0,14,10,1,0,3,0,0,553,405,0.096,0.0703,24.933
optimistic,250,bramev_fixed_alpha,42,42,42,28,3,4,0.5,3,duration,428,108,320,282,0,0,38,29,3,0,6,0,0,1388,1055,0.241,0.1832,62.8
optimistic,250,bramev_fixed_alpha,42,42,42,29,3,5,0.5,3,duration,432,92,340,234,0,0,106,76,13,0,16,0,1,3817,2561,0.5301,0.3557,165.192
optimistic,250,bramev_fixed_alpha,42,42,42,30,1,6,0.5,1,duration,520,137,383,240,0,0,143,98,18,0,27,0,0,5388,3445,0.6236,0.3987,224.708
optimistic,250,bramev_fixed_alpha,42,42,42,31,2,5,0.5,2,duration,247,32,215,171,0,0,44,34,5,0,5,0,0,1523,1146,0.2115,0.1592,66.817
optimistic,250,bramev_fixed_alpha,42,42,42,32,0,5,0.5,0,duration,104,20,84,68,0,0,16,11,1,0,4,0,0,516,393,0.0717,0.0546,24.783
optimistic,250,bramev_fixed_alpha,42,42,42,33,1,4,0.5,1,duration,103,13,90,81,0,0,9,8,0,0,1,0,0,342,288,0.0594,0.05,17.1
optimistic,250,bramev_fixed_alpha,42,42,42,34,0,5,0.5,0,duration,109,19,90,82,0,0,8,7,0,0,1,0,0,260,216,0.0361,0.03,14.35
optimistic,250,bramev_fixed_alpha,42,42,42,35,0,6,0.5,0,duration,218,30,188,153,0,0,35,28,2,0,5,0,0,1283,945,0.1485,0.1094,57.775
optimistic,250,bramev_fixed_alpha,42,42,42,36,3,6,0.5,3,duration,214,46,168,148,0,0,20,15,3,0,2,0,0,684,502,0.0792,0.0581,29.658
optimistic,250,bramev_fixed_alpha,42,42,42,37,0,4,0.5,0,duration,505,81,424,396,0,0,28,21,3,0,4,0,0,1091,815,0.1894,0.1415,45.083
optimistic,250,bramev_fixed_alpha,42,42,42,38,3,6,0.5,3,duration,590,139,451,428,0,0,23,15,5,0,3,0,0,796,483,0.0921,0.0559,29.75
optimistic,250,bramev_fixed_alpha,42,42,42,39,1,6,0.5,1,duration,241,42,199,164,0,0,35,27,4,0,4,0,0,1218,912,0.141,0.1056,51.333
