scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,250,bramev_global_rep,42,42,42,0,1,5,0.3453,0,duration,1777,1443,334,137,0,0,197,147,10,3,37,0,0,6900,5045,0.9583,0.7007,325.7
optimistic,250,bramev_global_rep,42,42,42,1,2,5,0.4933,0,duration,1844,1465,379,372,0,0,7,4,1,0,2,0,0,300,155,0.0417,0.0215,10.65
optimistic,250,bramev_global_rep,42,42,42,2,1,5,0.5189,0,duration,901,709,192,185,0,0,7,5,1,0,1,0,0,204,136,0.0283,0.0189,9.842
optimistic,250,bramev_global_rep,42,42,42,3,1,5,0.5774,0,duration,1752,1427,325,231,0,0,94,70,7,0,17,0,0,3309,2355,0.4596,0.3271,153.817
optimistic,250,bramev_global_rep,42,42,42,4,3,5,0.2153,0,duration,1683,1347,336,188,0,0,148,114,14,0,20,0,0,5150,3716,0.7153,0.5161,237.358
optimistic,250,bramev_global_rep,42,42,42,5,1,4,0.3177,0,duration,845,683,162,141,0,0,21,15,5,0,1,0,0,717,527,0.1245,0.0915,27.308
optimistic,250,bramev_global_rep,42,42,42,6,0,6,0.4569,0,duration,714,558,156,148,0,0,8,8,0,0,0,0,0,281,265,0.0325,0.0307,14.075
optimistic,250,bramev_global_rep,42,42,42,7,1,6,0.4537,0,duration,898,711,187,174,0,0,13,7,3,0,3,0,0,477,244,0.0552,0.0282,17.883
optimistic,250,bramev_global_rep,42,42,42,8,0,5,0.4954,0,duration,849,658,191,187,0,0,4,2,0,0,2,0,0,131,60,0.0182,0.0083,7.258
optimistic,250,bramev_global_rep,42,42,42,9,2,4,0.5809,0,duration,1728,1372,356,316,0,0,40,32,3,0,5,0,0,1354,1021,0.2351,0.1773,64.775
optimistic,250,bramev_global_rep,42,42,42,10,0,5,0.3006,0,duration,877,695,182,142,0,1,40,29,4,0,7,0,0,1349,947,0.1874,0.1315,60.583
optimistic,250,bramev_global_rep,42,42,42,11,0,4,0.2793,0,duration,1901,1524,377,226,0,0,151,118,15,1,17,0,0,5051,3839,0.8769,0.6665,232.183
optimistic,250,bramev_global_rep,42,42,42,12,3,6,0.2827,0,duration,1818,1478,340,325,0,0,15,14,1,0,0,0,0,520,446,0.0602,0.0516,25.183
optimistic,250,bramev_global_rep,42,42,42,13,3,4,0.4734,0,duration,802,617,185,137,0,0,48,37,8,0,3,0,0,1637,1197,0.2842,0.2078,68.158
optimistic,250,bramev_global_rep,42,42,42,14,3,4,0.399,0,duration,1760,1405,355,314,0,0,41,30,2,0,9,0,0,1455,946,0.2526,0.1642,68.183
optimistic,250,bramev_global_rep,42,42,42,15,0,5,0.3796,0,duration,891,697,194,124,0,0,70,51,10,0,9,0,0,2497,1662,0.3468,0.2308,104.725
optimistic,250,bramev_global_rep,42,42,42,16,2,6,0.5948,0,duration,687,540,147,144,0,0,3,3,0,0,0,0,0,70,64,0.0081,0.0074,3.958
optimistic,250,bramev_global_rep,42,42,42,17,2,4,0.7118,0,duration,1135,876,259,252,0,0,7,7,0,0,0,0,0,299,285,0.0519,0.0495,14.667
optimistic,250,bramev_global_rep,42,42,42,18,2,5,0.7227,0,duration,1102,870,232,194,0,0,38,24,0,0,13,0,1,1164,692,0.1617,0.0961,61.008
optimistic,250,bramev_global_rep,42,42,42,19,3,6,0.4535,0,duration,763,613,150,141,0,0,9,7,1,0,1,0,0,270,192,0.0312,0.0222,13.908
optimistic,250,bramev_global_rep,42,42,42,20,2,4,0.5851,0,duration,1117,855,262,255,0,0,7,6,0,0,1,0,0,271,225,0.047,0.0391,12.392
optimistic,250,bramev_global_rep,42,42,42,21,2,6,0.7031,0,duration,493,377,116,110,0,0,6,5,0,0,1,0,0,186,137,0.0215,0.0159,9.808
optimistic,250,bramev_global_rep,42,42,42,22,2,4,0.6047,0,duration,1667,1338,329,260,0,0,69,59,3,0,7,0,0,2383,1980,0.4137,0.3438,115.892
optimistic,250,bramev_global_rep,42,42,42,23,0,4,0.2525,0,duration,842,669,173,148,0,0,25,14,5,0,6,0,0,856,440,0.1486,0.0764,35.258
optimistic,250,bramev_global_rep,42,42,42,24,1,4,0.5808,0,duration,1884,1494,390,386,0,0,4,4,0,0,0,0,0,108,100,0.0187,0.0174,6.058
optimistic,250,bramev_global_rep,42,42,42,25,2,6,0.6404,0,duration,1726,1411,315,267,0,0,48,39,3,0,6,0,0,1723,1327,0.1994,0.1536,80.325
optimistic,250,bramev_global_rep,42,42,42,26,3,5,0.2225,0,duration,1649,1339,310,153,0,0,157,124,15,0,18,0,0,5619,4308,0.7804,0.5983,243.167
optimistic,250,bramev_global_rep,42,42,42,27,2,4,0.5466,0,duration,860,697,163,146,0,0,17,13,2,0,2,0,0,623,439,0.1082,0.0762,25.025
optimistic,250,bramev_global_rep,42,42,42,28,3,4,0.5072,0,duration,1670,1342,328,297,0,0,31,22,3,0,6,0,0,1062,724,0.1844,0.1257,50.425
optimistic,250,bramev_global_rep,42,42,42,29,3,5,0.245,0,duration,1836,1486,350,289,0,0,61,43,8,0,10,0,0,2201,1461,0.3057,0.2029,94.092
optimistic,250,bramev_global_rep,42,42,42,30,1,6,0.2727,0,duration,1883,1499,384,286,0,0,98,63,19,0,15,1,0,3534,2101,0.409,0.2432,139.508
optimistic,250,bramev_global_rep,42,42,42,31,2,5,0.5778,0,duration,842,661,181,155,0,0,26,14,4,0,8,0,0,878,451,0.1219,0.0626,35.967
optimistic,250,bramev_global_rep,42,42,42,32,0,5,0.2891,0,duration,392,304,88,73,0,0,15,11,1,0,3,0,0,485,337,0.0674,0.0468,22.675
