scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,50,bramev_event_score,42,42,42,0,1,5,0.3579,1,event,93,10,83,31,0,0,52,34,3,0,15,0,0,1795,1137,0.2493,0.1579,81.95
optimistic,50,bramev_event_score,42,42,42,1,2,5,0.3738,2,event,106,11,95,93,0,0,2,1,1,0,0,0,0,72,36,0.01,0.005,1.9
optimistic,50,bramev_event_score,42,42,42,2,1,5,0.5315,1,event,38,2,36,29,0,0,7,6,1,0,0,0,0,257,214,0.0357,0.0297,9.342
optimistic,50,bramev_event_score,42,42,42,3,1,5,0.59,1,event,105,5,100,78,0,0,22,17,3,0,2,0,0,736,511,0.1022,0.071,30.717
optimistic,50,bramev_event_score,42,42,42,4,3,5,0.21,3,event,94,12,82,43,0,0,39,31,4,0,4,0,0,1407,1070,0.1954,0.1486,59.542
optimistic,50,bramev_event_score,42,42,42,5,1,4,0.3303,1,event,50,8,42,38,0,0,4,3,1,0,0,0,0,125,95,0.0217,0.0165,4.9
optimistic,50,bramev_event_score,42,42,42,6,0,6,0.4917,0,event,44,5,39,37,0,0,2,2,0,0,0,0,0,26,22,0.003,0.0025,1.733
optimistic,50,bramev_event_score,42,42,42,7,1,6,0.4663,1,event,35,2,33,30,0,0,3,2,0,0,1,0,0,97,61,0.0112,0.0071,5.45
optimistic,50,bramev_event_score,42,42,42,8,0,5,0.5302,0,event,50,3,47,45,0,0,2,2,0,0,0,0,0,71,67,0.0099,0.0093,3.275
optimistic,50,bramev_event_score,42,42,42,9,2,4,0.4614,2,event,94,9,85,75,0,0,10,9,0,0,1,0,0,351,293,0.0609,0.0509,15.625
optimistic,50,bramev_event_score,42,42,42,10,0,5,0.3355,0,event,53,9,44,32,0,0,12,11,0,0,1,0,0,393,337,0.0546,0.0468,19.583
optimistic,50,bramev_event_score,42,42,42,11,0,4,0.3141,0,event,92,20,72,29,0,0,43,30,6,0,7,0,0,1540,1070,0.2674,0.1858,63.925
optimistic,50,bramev_event_score,42,42,42,12,3,6,0.2774,3,event,105,8,97,93,0,0,4,4,0,0,0,0,0,142,134,0.0164,0.0155,7.45
optimistic,50,bramev_event_score,42,42,42,13,3,4,0.4681,3,event,48,3,45,38,0,0,7,4,2,0,1,0,0,255,157,0.0443,0.0273,8.792
optimistic,50,bramev_event_score,42,42,42,14,3,4,0.3937,3,event,87,9,78,59,0,0,19,14,3,0,2,0,0,646,435,0.1122,0.0755,28.767
optimistic,50,bramev_event_score,42,42,42,15,0,5,0.4145,0,event,46,7,39,25,0,0,14,9,2,0,3,0,0,507,328,0.0704,0.0456,20.867
optimistic,50,bramev_event_score,42,42,42,16,2,6,0.4753,2,event,47,5,42,42,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
optimistic,50,bramev_event_score,42,42,42,17,2,4,0.5923,2,event,66,6,60,59,0,0,1,1,0,0,0,0,0,32,30,0.0056,0.0052,1.867
optimistic,50,bramev_event_score,42,42,42,18,2,5,0.6032,2,event,61,1,60,48,0,0,12,9,0,0,3,0,0,416,283,0.0578,0.0393,18.125
optimistic,50,bramev_event_score,42,42,42,19,3,6,0.4482,3,event,49,1,48,45,0,0,3,2,0,0,1,0,0,104,76,0.012,0.0088,4.542
optimistic,50,bramev_event_score,42,42,42,20,2,4,0.4656,2,event,72,7,65,61,0,0,4,3,0,0,1,0,0,166,126,0.0288,0.0219,6.858
optimistic,50,bramev_event_score,42,42,42,21,2,6,0.5836,2,event,35,3,32,28,0,0,4,4,0,0,0,0,0,128,120,0.0148,0.0139,6.625
optimistic,50,bramev_event_score,42,42,42,22,2,4,0.4852,2,event,91,10,81,64,0,0,17,14,2,0,1,0,0,628,465,0.109,0.0807,25.617
optimistic,50,bramev_event_score,42,42,42,23,0,4,0.2874,0,event,41,4,37,29,0,0,8,6,1,0,1,0,0,255,174,0.0443,0.0302,11.25
optimistic,50,bramev_event_score,42,42,42,24,1,4,0.5935,1,event,110,2,108,107,0,0,1,1,0,0,0,0,0,29,27,0.005,0.0047,0.967
