scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
optimistic,50,bramev_global_rep,42,42,42,0,6,0,0.708626
optimistic,50,bramev_global_rep,42,42,42,0,6,1,0.662787
optimistic,50,bramev_global_rep,42,42,42,0,6,2,0.662787
optimistic,50,bramev_global_rep,42,42,42,0,6,3,0.620065
optimistic,50,bramev_global_rep,42,42,42,0,6,4,0.620065
optimistic,50,bramev_global_rep,42,42,42,0,6,5,0.58999
optimistic,50,bramev_global_rep,42,42,42,0,6,6,0.578216
optimistic,50,bramev_global_rep,42,42,42,0,6,7,0.553855
optimistic,50,bramev_global_rep,42,42,42,0,6,8,0.531931
optimistic,50,bramev_global_rep,42,42,42,0,6,9,0.523347
optimistic,50,bramev_global_rep,42,42,42,0,8,0,0.80801
optimistic,50,bramev_global_rep,42,42,42,0,8,1,0.752233
optimistic,50,bramev_global_rep,42,42,42,0,8,2,0.743289
optimistic,50,bramev_global_rep,42,42,42,0,8,3,0.692516
optimistic,50,bramev_global_rep,42,42,42,0,8,4,0.685271
optimistic,50,bramev_global_rep,42,42,42,0,8,5,0.648675
optimistic,50,bramev_global_rep,42,42,42,0,8,6,0.631033
optimistic,50,bramev_global_rep,42,42,42,0,8,7,0.601391
optimistic,50,bramev_global_rep,42,42,42,0,8,8,0.574713
optimistic,50,bramev_global_rep,42,42,42,0,8,9,0.561851
optimistic,50,bramev_global_rep,42,42,42,0,10,0,0.305265
optimistic,50,bramev_global_rep,42,42,42,0,10,1,0.299763
optimistic,50,bramev_global_rep,42,42,42,0,10,2,0.336065
optimistic,50,bramev_global_rep,42,42,42,0,10,3,0.326015
optimistic,50,bramev_global_rep,42,42,42,0,10,4,0.35542
optimistic,50,bramev_global_rep,42,42,42,0,10,5,0.35181
optimistic,50,bramev_global_rep,42,42,42,0,10,6,0.363853
optimistic,50,bramev_global_rep,42,42,42,0,10,7,0.360929
optimistic,50,bramev_global_rep,42,42,42,0,10,8,0.358297
optimistic,50,bramev_global_rep,42,42,42,0,10,9,0.367077
optimistic,50,bramev_global_rep,42,42,42,0,11,0,0.250242
optimistic,50,bramev_global_rep,42,42,42,0,11,1,0.250242
optimistic,50,bramev_global_rep,42,42,42,0,11,2,0.291496
optimistic,50,bramev_global_rep,42,42,42,0,11,3,0.285903
optimistic,50,bramev_global_rep,42,42,42,0,11,4,0.319319
optimistic,50,bramev_global_rep,42,42,42,0,11,5,0.319319
optimistic,50,bramev_global_rep,42,42,42,0,11,6,0.334612
optimistic,50,bramev_global_rep,42,42,42,0,11,7,0.334612
optimistic,50,bramev_global_rep,42,42,42,0,11,8,0.334612
optimistic,50,bramev_global_rep,42,42,42,0,11,9,0.34576
optimistic,50,bramev_global_rep,42,42,42,0,15,0,0.509227
optimistic,50,bramev_global_rep,42,42,42,0,15,1,0.483328
optimistic,50,bramev_global_rep,42,42,42,0,15,2,0.501274
optimistic,50,bramev_global_rep,42,42,42,0,15,3,0.474703
optimistic,50,bramev_global_rep,42,42,42,0,15,4,0.489239
optimistic,50,bramev_global_rep,42,42,42,0,15,5,0.472247
optimistic,50,bramev_global_rep,42,42,42,0,15,6,0.472247
optimistic,50,bramev_global_rep,42,42,42,0,15,7,0.458483
optimistic,50,bramev_global_rep,42,42,42,0,15,8,0.446096
optimistic,50,bramev_global_rep,42,42,42,0,15,9,0.446096
optimistic,50,bramev_global_rep,42,42,42,0,23,0,0.181183
optimistic,50,bramev_global_rep,42,42,42,0,23,1,0.188089
optimistic,50,bramev_global_rep,42,42,42,0,23,2,0.235558
optimistic,50,bramev_global_rep,42,42,42,0,23,3,0.235558
optimistic,50,bramev_global_rep,42,42,42,0,23,4,0.274009
optimistic,50,bramev_global_rep,42,42,42,0,23,5,0.27854
optimistic,50,bramev_global_rep,42,42,42,0,23,6,0.297911
optimistic,50,bramev_global_rep,42,42,42,0,23,7,0.301581
optimistic,50,bramev_global_rep,42,42,42,0,23,8,0.304884
optimistic,50,bramev_global_rep,42,42,42,0,23,9,0.319005
optimistic,50,bramev_global_rep,42,42,42,0,32,0,0.275578
optimistic,50,bramev_global_rep,42,42,42,0,32,1,0.273045
optimistic,50,bramev_global_rep,42,42,42,0,32,2,0.312019
optimistic,50,bramev_global_rep,42,42,42,0,32,3,0.304373
optimistic,50,bramev_global_rep,42,42,42,0,32,4,0.335942
optimistic,50,bramev_global_rep,42,42,42,0,32,5,0.33428
optimistic,50,bramev_global_rep,42,42,42,0,32,6,0.348076
optimistic,50,bramev_global_rep,42,42,42,0,32,7,0.34673
optimistic,50,bramev_global_rep,42,42,42,0,32,8,0.345518
optimistic,50,bramev_global_rep,42,42,42,0,32,9,0.355576
optimistic,50,bramev_global_rep,42,42,42,0,34,0,0.355302
optimistic,50,bramev_global_rep,42,42,42,0,34,1,0.344796
optimistic,50,bramev_global_rep,42,42,42,0,34,2,0.376595
optimistic,50,bramev_global_rep,42,42,42,0,34,3,0.362491
optimistic,50,bramev_global_rep,42,42,42,0,34,4,0.388249
optimistic,50,bramev_global_rep,42,42,42,0,34,5,0.381356
optimistic,50,bramev_global_rep,42,42,42,0,34,6,0.390445
optimistic,50,bramev_global_rep,42,42,42,0,34,7,0.384861
optimistic,50,bramev_global_rep,42,42,42,0,34,8,0.379836
optimistic,50,bramev_global_rep,42,42,42,0,34,9,0.386462
optimistic,50,bramev_global_rep,42,42,42,0,35,0,0.612853
optimistic,50,bramev_global_rep,42,42,42,0,35,1,0.576592
optimistic,50,bramev_global_rep,42,42,42,0,35,2,0.585212
optimistic,50,bramev_global_rep,42,42,42,0,35,3,0.550246
optimistic,50,bramev_global_rep,42,42,42,0,35,4,0.557228
optimistic,50,bramev_global_rep,42,42,42,0,35,5,0.533437
optimistic,50,bramev_global_rep,42,42,42,0,35,6,0.527318
optimistic,50,bramev_global_rep,42,42,42,0,35,7,0.508048
optimistic,50,bramev_global_rep,42,42,42,0,35,8,0.490704
optimistic,50,bramev_global_rep,42,42,42,0,35,9,0.486243
optimistic,50,bramev_global_rep,42,42,42,0,37,0,0.631187
optimistic,50,bramev_global_rep,42,42,42,0,37,1,0.593093
optimistic,50,bramev_global_rep,42,42,42,0,37,2,0.600062
optimistic,50,bramev_global_rep,42,42,42,0,37,3,0.563612
optimistic,50,bramev_global_rep,42,42,42,0,37,4,0.569257
optimistic,50,bramev_global_rep,42,42,42,0,37,5,0.544263
optimistic,50,bramev_global_rep,42,42,42,0,37,6,0.537062
optimistic,50,bramev_global_rep,42,42,42,0,37,7,0.516817
optimistic,50,bramev_global_rep,42,42,42,0,37,8,0.498596
optimistic,50,bramev_global_rep,42,42,42,0,37,9,0.493346
optimistic,50,bramev_global_rep,42,42,42,1,0,0,0.290955
optimistic,50,bramev_global_rep,42,42,42,1,0,1,0.290955
optimistic,50,bramev_global_rep,42,42,42,1,0,2,0.284555
optimistic,50,bramev_global_rep,42,42,42,1,0,3,0.284555
optimistic,50,bramev_global_rep,42,42,42,1,0,4,0.284555
optimistic,50,bramev_global_rep,42,42,42,1,0,5,0.284555
optimistic,50,bramev_global_rep,42,42,42,1,0,6,0.311021
optimistic,50,bramev_global_rep,42,42,42,1,0,7,0.311021
optimistic,50,bramev_global_rep,42,42,42,1,0,8,0.311021
optimistic,50,bramev_global_rep,42,42,42,1,0,9,0.311021
optimistic,50,bramev_global_rep,42,42,42,1,2,0,0.739154
optimistic,50,bramev_global_rep,42,42,42,1,2,1,0.694334
optimistic,50,bramev_global_rep,42,42,42,1,2,2,0.647597
optimistic,50,bramev_global_rep,42,42,42,1,2,3,0.611293
optimistic,50,bramev_global_rep,42,42,42,1,2,4,0.578619
