scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
optimistic,50,bramev_global_rep,42,42,42,t00000-c00008,8,0,6,6,True,1,119.36741598765366,2798.8976249762345,1037.7739999967162,0.01708301715552807,3836.688707990106
optimistic,50,bramev_global_rep,42,42,42,t00000-c00020,20,0,10,10,True,1,254.36970801092684,3583.6160000180826,253.10949998674914,0.007833004929125309,3836.733333009761
optimistic,50,bramev_global_rep,42,42,42,t00000-c00024,24,0,12,12,True,1,254.33287498890422,3836.5736669802573,0.14966601156629622,0.0058340083342045546,3836.7291670001578
optimistic,50,bramev_global_rep,42,42,42,t00000-c00025,25,0,5,5,True,1,541.3870830088854,3836.542750010267,0.17187499906867743,0.004125002305954695,3836.7187500116415
optimistic,50,bramev_global_rep,42,42,42,t00000-c00033,33,0,5,5,True,1,119.22579101519659,2798.756250005681,1037.9459579999093,0.004208006430417299,3836.706416012021
optimistic,50,bramev_global_rep,42,42,42,t00000-c00034,34,0,6,6,True,1,335.24262500577606,3628.3715419995133,208.32091601914726,0.004083995008841157,3836.6965420136694
optimistic,50,bramev_global_rep,42,42,42,t00000-c00048,48,0,7,7,True,1,335.2129170089029,2798.6965420132037,1037.9859159875195,0.004209025064483285,3836.6866670257878
optimistic,50,bramev_global_rep,42,42,42,t00009-c00047,47,9,7,7,True,1,39.271124987863004,314.97295800363645,0.020666979253292084,0.01662501017563045,315.0102499930654
optimistic,50,bramev_global_rep,42,42,42,t00010-c00047,47,10,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00011-c00019,19,11,15,15,True,1,66.3037920021452,762.9447089857422,0.024625012883916497,0.02116599353030324,762.9904999921564
optimistic,50,bramev_global_rep,42,42,42,t00011-c00047,47,11,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00012-c00019,19,12,11,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00012-c00047,47,12,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00013-c00019,19,13,10,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00013-c00047,47,13,4,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00014-c00019,19,14,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00014-c00047,47,14,5,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00015-c00019,19,15,5,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00015-c00047,47,15,5,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00016-c00019,19,16,8,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00016-c00047,47,16,5,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00017-c00019,19,17,7,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00017-c00047,47,17,5,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00018-c00019,19,18,12,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00018-c00047,47,18,4,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00019-c00019,19,19,9,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00019-c00047,47,19,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00020-c00019,19,20,7,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00020-c00047,47,20,0,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00021-c00005,5,21,3,3,True,1,88.9573750027921,265.00524999573827,86.37954198638909,0.035666016628965735,351.4204579987563
optimistic,50,bramev_global_rep,42,42,42,t00021-c00019,19,21,10,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00021-c00047,47,21,6,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00022-c00019,19,22,7,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00022-c00031,31,22,3,3,True,1,103.63233298994601,328.23616699897684,40.10529100196436,0.029874994652345777,368.37133299559355
optimistic,50,bramev_global_rep,42,42,42,t00022-c00047,47,22,6,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00023-c00019,19,23,7,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00023-c00047,47,23,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00024-c00019,19,24,11,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00024-c00047,47,24,8,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00025-c00019,19,25,7,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00025-c00037,37,25,8,8,True,1,61.210625019157305,525.3503330168314,0.02462498378008604,0.017834012396633625,525.3927920130081
optimistic,50,bramev_global_rep,42,42,42,t00025-c00047,47,25,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00026-c00019,19,26,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00026-c00047,47,26,5,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00027-c00019,19,27,3,0,False,0,,,,,
optimistic,50,bramev_global_rep,42,42,42,t00027-c00047,47,27,5,0,False,0,,,,,
