scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
optimistic,50,bramev,42,42,42,0,1,5,0.3595,1,duration,97,24,73,29,0,0,44,30,3,0,11,0,0,1595,1051,0.2215,0.146,70.092
optimistic,50,bramev,42,42,42,1,2,5,0.441,2,duration,118,38,80,76,0,0,4,3,1,0,0,0,0,141,101,0.0196,0.014,5.2
optimistic,50,bramev,42,42,42,2,1,5,0.5332,1,duration,40,13,27,21,0,0,6,5,1,0,0,0,0,220,180,0.0306,0.025,7.8
optimistic,50,bramev,42,42,42,3,1,5,0.5916,1,duration,122,49,73,56,0,0,17,12,3,0,2,0,0,604,389,0.0839,0.054,23.292
optimistic,50,bramev,42,42,42,4,3,5,0.181,3,duration,102,34,68,37,0,0,31,24,5,0,2,0,0,1120,843,0.1556,0.1171,43.142
optimistic,50,bramev,42,42,42,5,1,4,0.332,1,duration,57,20,37,34,0,0,3,2,1,0,0,0,0,75,47,0.013,0.0082,2.817
optimistic,50,bramev,42,42,42,6,0,6,0.5377,0,duration,57,16,41,38,0,0,3,3,0,0,0,0,0,59,53,0.0068,0.0061,2.833
optimistic,50,bramev,42,42,42,7,1,6,0.4679,1,duration,38,13,25,21,0,0,4,2,0,0,2,0,0,141,73,0.0163,0.0084,7.65
optimistic,50,bramev,42,42,42,8,0,5,0.5762,0,duration,59,17,42,37,0,0,5,4,0,0,1,0,0,162,125,0.0225,0.0174,7.8
optimistic,50,bramev,42,42,42,9,2,4,0.5287,2,duration,106,38,68,60,0,0,8,6,0,0,2,0,0,288,197,0.05,0.0342,12.7
optimistic,50,bramev,42,42,42,10,0,5,0.3815,0,duration,69,19,50,34,0,0,16,13,1,0,2,0,0,546,433,0.0758,0.0601,25.683
optimistic,50,bramev,42,42,42,11,0,4,0.3601,0,duration,112,37,75,35,0,0,40,28,8,0,4,0,0,1447,977,0.2512,0.1696,54.967
optimistic,50,bramev,42,42,42,12,3,6,0.2484,3,duration,123,39,84,82,0,0,2,2,0,0,0,0,0,58,54,0.0067,0.0063,3.55
optimistic,50,bramev,42,42,42,13,3,4,0.4391,3,duration,54,15,39,33,0,0,6,5,1,0,0,0,0,241,187,0.0418,0.0325,8.492
optimistic,50,bramev,42,42,42,14,3,4,0.3647,3,duration,108,36,72,61,0,0,11,9,1,0,1,0,0,422,322,0.0733,0.0559,18.592
optimistic,50,bramev,42,42,42,15,0,5,0.4605,0,duration,49,10,39,23,0,0,16,12,1,0,3,0,0,563,411,0.0782,0.0571,25.533
optimistic,50,bramev,42,42,42,16,2,6,0.5425,2,duration,48,8,40,39,0,0,1,0,0,0,1,0,0,53,0,0.0061,0.0,2.208
optimistic,50,bramev,42,42,42,17,2,4,0.6595,2,duration,77,24,53,50,0,0,3,3,0,0,0,0,0,106,100,0.0184,0.0174,5.867
optimistic,50,bramev,42,42,42,18,2,5,0.6705,2,duration,85,30,55,43,0,0,12,9,0,0,3,0,0,405,272,0.0563,0.0378,19.25
optimistic,50,bramev,42,42,42,19,3,6,0.4192,3,duration,51,9,42,39,0,0,3,1,0,0,2,0,0,63,23,0.0073,0.0027,3.183
optimistic,50,bramev,42,42,42,20,2,4,0.5328,2,duration,78,22,56,52,0,0,4,3,0,0,1,0,0,166,126,0.0288,0.0219,6.858
optimistic,50,bramev,42,42,42,21,2,6,0.6508,2,duration,37,6,31,28,0,0,3,3,0,0,0,0,0,99,93,0.0115,0.0108,4.925
optimistic,50,bramev,42,42,42,22,2,4,0.5525,2,duration,103,37,66,48,0,0,18,14,2,0,2,0,0,689,499,0.1196,0.0866,29.517
optimistic,50,bramev,42,42,42,23,0,4,0.3334,0,duration,44,10,34,28,0,0,6,4,0,0,2,0,0,167,105,0.029,0.0182,9.175
optimistic,50,bramev,42,42,42,24,1,4,0.5951,1,duration,121,36,85,84,0,0,1,1,0,0,0,0,0,40,38,0.0069,0.0066,1.667
optimistic,50,bramev,42,42,42,25,2,6,0.5881,2,duration,109,30,79,61,0,0,18,12,4,0,2,0,0,647,414,0.0749,0.0479,26.4
optimistic,50,bramev,42,42,42,26,3,5,0.1882,3,duration,115,36,79,23,0,0,56,44,3,0,9,0,0,1974,1500,0.2742,0.2083,90.333
optimistic,50,bramev,42,42,42,27,2,4,0.4944,2,duration,60,18,42,38,0,0,4,3,0,0,1,0,0,156,114,0.0271,0.0198,6.55
optimistic,50,bramev,42,42,42,28,3,4,0.4729,3,duration,104,33,71,61,0,0,10,7,0,0,3,0,0,386,246,0.067,0.0427,17.758
optimistic,50,bramev,42,42,42,29,3,5,0.2108,3,duration,88,24,64,54,0,0,10,6,1,0,3,0,0,352,216,0.0489,0.03,14.692
optimistic,50,bramev,42,42,42,30,1,6,0.287,1,duration,114,49,65,53,0,0,12,7,3,0,2,0,0,421,231,0.0487,0.0267,15.308
