scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,100,bramev_event_score,42,42,42,0,1,5,0.3552,1,event,249,93,156,49,0,0,107,51,18,0,37,1,0,3966,1789,0.5508,0.2485,155.025
pessimistic,100,bramev_event_score,42,42,42,1,2,5,0.481,2,event,288,52,236,232,0,0,4,3,1,0,0,0,0,163,124,0.0226,0.0172,5.15
pessimistic,100,bramev_event_score,42,42,42,2,1,5,0.5289,1,event,118,21,97,89,0,0,8,2,2,0,4,0,0,251,42,0.0349,0.0058,10.208
pessimistic,100,bramev_event_score,42,42,42,3,1,5,0.5873,1,event,320,58,262,173,0,0,89,36,23,0,29,1,0,3322,1370,0.4614,0.1903,117.05
pessimistic,100,bramev_event_score,42,42,42,4,3,5,0.274,3,event,261,90,171,75,0,0,96,42,24,0,29,1,0,3866,1600,0.5369,0.2222,132.875
pessimistic,100,bramev_event_score,42,42,42,5,1,4,0.3277,1,event,139,51,88,71,0,0,17,1,8,0,8,0,0,643,29,0.1116,0.005,17.608
pessimistic,100,bramev_event_score,42,42,42,6,0,6,0.502,0,event,127,22,105,100,0,0,5,2,2,0,1,0,0,241,107,0.0279,0.0124,6.142
pessimistic,100,bramev_event_score,42,42,42,7,1,6,0.4636,1,event,116,25,91,74,0,0,17,9,2,0,5,1,0,617,285,0.0714,0.033,24.175
pessimistic,100,bramev_event_score,42,42,42,8,0,5,0.5405,0,event,155,20,135,121,0,0,14,7,4,0,2,1,0,542,205,0.0753,0.0285,17.3
pessimistic,100,bramev_event_score,42,42,42,9,2,4,0.5686,2,event,279,36,243,213,0,0,30,13,5,0,11,1,0,1124,412,0.1951,0.0715,44.35
pessimistic,100,bramev_event_score,42,42,42,10,0,5,0.3457,0,event,148,53,95,67,0,0,28,14,5,0,9,0,0,1120,600,0.1556,0.0833,42.0
pessimistic,100,bramev_event_score,42,42,42,11,0,4,0.3244,0,event,326,128,198,69,0,0,129,49,27,4,48,1,0,5264,1944,0.9139,0.3375,191.892
pessimistic,100,bramev_event_score,42,42,42,12,3,6,0.3414,3,event,330,103,227,219,0,0,8,3,3,0,2,0,0,273,105,0.0316,0.0122,8.867
pessimistic,100,bramev_event_score,42,42,42,13,3,4,0.5321,3,event,123,14,109,77,0,0,32,16,5,0,11,0,0,1133,576,0.1967,0.1,47.475
