scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,0,0.708626
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,1,0.662787
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,2,0.644842
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,3,0.607712
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,4,0.574296
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,5,0.544222
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,6,0.520404
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,7,0.496043
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,8,0.474119
pessimistic,150,bramev_nearest_offer,42,42,42,0,6,9,0.454387
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,0,0.80801
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,1,0.752233
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,2,0.725343
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,3,0.680164
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,4,0.639502
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,5,0.602907
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,6,0.573221
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,7,0.543578
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,8,0.516901
pessimistic,150,bramev_nearest_offer,42,42,42,0,8,9,0.49289
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,0,0.305265
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,1,0.299763
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,2,0.318119
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,3,0.313663
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,4,0.309651
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,5,0.306041
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,6,0.306041
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,7,0.303117
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,8,0.300485
pessimistic,150,bramev_nearest_offer,42,42,42,0,10,9,0.298117
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,0,0.250242
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,1,0.250242
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,2,0.27355
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,3,0.27355
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,4,0.27355
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,5,0.27355
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,6,0.2768
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,7,0.2768
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,8,0.2768
pessimistic,150,bramev_nearest_offer,42,42,42,0,11,9,0.2768
pessimistic,150,bramev_nearest_offer,42,42,42,0,15,0,0.509227
