scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,200,bramev_event_score,42,42,42,0,6,0,0.708626
pessimistic,200,bramev_event_score,42,42,42,0,6,1,0.662787
pessimistic,200,bramev_event_score,42,42,42,0,6,2,0.621533
pessimistic,200,bramev_event_score,42,42,42,0,6,3,0.584404
pessimistic,200,bramev_event_score,42,42,42,0,6,4,0.569868
pessimistic,200,bramev_event_score,42,42,42,0,6,5,0.556785
pessimistic,200,bramev_event_score,42,42,42,0,6,6,0.55113
pessimistic,200,bramev_event_score,42,42,42,0,6,7,0.526769
pessimistic,200,bramev_event_score,42,42,42,0,6,8,0.504845
pessimistic,200,bramev_event_score,42,42,42,0,6,9,0.48214
pessimistic,200,bramev_event_score,42,42,42,0,8,0,0.80801
pessimistic,200,bramev_event_score,42,42,42,0,8,1,0.752233
pessimistic,200,bramev_event_score,42,42,42,0,8,2,0.702034
pessimistic,200,bramev_event_score,42,42,42,0,8,3,0.656855
pessimistic,200,bramev_event_score,42,42,42,0,8,4,0.635074
pessimistic,200,bramev_event_score,42,42,42,0,8,5,0.615471
pessimistic,200,bramev_event_score,42,42,42,0,8,6,0.603947
pessimistic,200,bramev_event_score,42,42,42,0,8,7,0.574305
pessimistic,200,bramev_event_score,42,42,42,0,8,8,0.547627
pessimistic,200,bramev_event_score,42,42,42,0,8,9,0.520644
pessimistic,200,bramev_event_score,42,42,42,0,10,0,0.305265
pessimistic,200,bramev_event_score,42,42,42,0,10,1,0.299763
pessimistic,200,bramev_event_score,42,42,42,0,10,2,0.294811
pessimistic,200,bramev_event_score,42,42,42,0,10,3,0.290354
pessimistic,200,bramev_event_score,42,42,42,0,10,4,0.305223
pessimistic,200,bramev_event_score,42,42,42,0,10,5,0.318605
pessimistic,200,bramev_event_score,42,42,42,0,10,6,0.336767
pessimistic,200,bramev_event_score,42,42,42,0,10,7,0.333843
pessimistic,200,bramev_event_score,42,42,42,0,10,8,0.331211
pessimistic,200,bramev_event_score,42,42,42,0,10,9,0.32587
pessimistic,200,bramev_event_score,42,42,42,0,11,0,0.250242
pessimistic,200,bramev_event_score,42,42,42,0,11,1,0.250242
pessimistic,200,bramev_event_score,42,42,42,0,11,2,0.250242
pessimistic,200,bramev_event_score,42,42,42,0,11,3,0.250242
pessimistic,200,bramev_event_score,42,42,42,0,11,4,0.269122
pessimistic,200,bramev_event_score,42,42,42,0,11,5,0.286114
pessimistic,200,bramev_event_score,42,42,42,0,11,6,0.307526
pessimistic,200,bramev_event_score,42,42,42,0,11,7,0.307526
pessimistic,200,bramev_event_score,42,42,42,0,11,8,0.307526
pessimistic,200,bramev_event_score,42,42,42,0,11,9,0.304553
pessimistic,200,bramev_event_score,42,42,42,0,15,0,0.509227
pessimistic,200,bramev_event_score,42,42,42,0,15,1,0.483328
pessimistic,200,bramev_event_score,42,42,42,0,15,2,0.46002
pessimistic,200,bramev_event_score,42,42,42,0,15,3,0.439042
pessimistic,200,bramev_event_score,42,42,42,0,15,4,0.439042
pessimistic,200,bramev_event_score,42,42,42,0,15,5,0.439042
pessimistic,200,bramev_event_score,42,42,42,0,15,6,0.445161
pessimistic,200,bramev_event_score,42,42,42,0,15,7,0.431397
pessimistic,200,bramev_event_score,42,42,42,0,15,8,0.41901
pessimistic,200,bramev_event_score,42,42,42,0,15,9,0.404889
pessimistic,200,bramev_event_score,42,42,42,0,23,0,0.181183
pessimistic,200,bramev_event_score,42,42,42,0,23,1,0.188089
pessimistic,200,bramev_event_score,42,42,42,0,23,2,0.194304
pessimistic,200,bramev_event_score,42,42,42,0,23,3,0.199898
pessimistic,200,bramev_event_score,42,42,42,0,23,4,0.223812
pessimistic,200,bramev_event_score,42,42,42,0,23,5,0.245335
pessimistic,200,bramev_event_score,42,42,42,0,23,6,0.270825
pessimistic,200,bramev_event_score,42,42,42,0,23,7,0.274495
pessimistic,200,bramev_event_score,42,42,42,0,23,8,0.277798
pessimistic,200,bramev_event_score,42,42,42,0,23,9,0.277798
pessimistic,200,bramev_event_score,42,42,42,0,32,0,0.275578
pessimistic,200,bramev_event_score,42,42,42,0,32,1,0.273045
pessimistic,200,bramev_event_score,42,42,42,0,32,2,0.270764
pessimistic,200,bramev_event_score,42,42,42,0,32,3,0.268712
pessimistic,200,bramev_event_score,42,42,42,0,32,4,0.285745
pessimistic,200,bramev_event_score,42,42,42,0,32,5,0.301075
pessimistic,200,bramev_event_score,42,42,42,0,32,6,0.320991
pessimistic,200,bramev_event_score,42,42,42,0,32,7,0.319644
pessimistic,200,bramev_event_score,42,42,42,0,32,8,0.318432
pessimistic,200,bramev_event_score,42,42,42,0,32,9,0.314369
pessimistic,200,bramev_event_score,42,42,42,0,34,0,0.355302
pessimistic,200,bramev_event_score,42,42,42,0,34,1,0.344796
