scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
pessimistic,200,bramev_fixed_alpha,42,42,42,observed,abs,493,0.2276
pessimistic,200,bramev_fixed_alpha,42,42,42,observed,breakdown,21,0.0097
pessimistic,200,bramev_fixed_alpha,42,42,42,observed,early,7,0.0032
pessimistic,200,bramev_fixed_alpha,42,42,42,observed,late,756,0.349
pessimistic,200,bramev_fixed_alpha,42,42,42,observed,pres,888,0.41
pessimistic,200,bramev_fixed_alpha,42,42,42,observed,unresolved,1,0.0005
pessimistic,200,bramev_fixed_alpha,42,42,42,intent,abs,514,0.2373
pessimistic,200,bramev_fixed_alpha,42,42,42,intent,early,318,0.1468
pessimistic,200,bramev_fixed_alpha,42,42,42,intent,late,445,0.2054
pessimistic,200,bramev_fixed_alpha,42,42,42,intent,pres,889,0.4104
pessimistic,200,bramev_fixed_alpha,42,42,42,reclassified,early->late,311,
