scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,200,bramev_fixed_alpha,42,42,42,0,1,5,0.5,1,duration,1103,871,232,87,0,0,145,67,30,0,47,1,0,5538,2424,0.7692,0.3367,213.817
pessimistic,200,bramev_fixed_alpha,42,42,42,1,2,5,0.5,2,duration,1338,1017,321,296,0,0,25,9,7,0,9,0,0,946,355,0.1314,0.0493,32.567
pessimistic,200,bramev_fixed_alpha,42,42,42,2,1,5,0.5,1,duration,542,416,126,106,0,0,20,6,7,0,7,0,0,726,221,0.1008,0.0307,24.767
pessimistic,200,bramev_fixed_alpha,42,42,42,3,1,5,0.5,1,duration,1209,957,252,129,0,0,123,54,30,0,39,0,0,4484,1926,0.6228,0.2675,166.575
pessimistic,200,bramev_fixed_alpha,42,42,42,4,3,5,0.5,3,duration,1217,967,250,124,0,0,126,51,30,1,41,3,0,4552,1733,0.6322,0.2407,171.483
pessimistic,200,bramev_fixed_alpha,42,42,42,5,1,4,0.5,1,duration,539,426,113,91,0,0,22,10,6,0,6,0,0,959,394,0.1665,0.0684,31.883
pessimistic,200,bramev_fixed_alpha,42,42,42,6,0,6,0.5,0,duration,467,337,130,128,0,0,2,1,0,0,1,0,0,67,30,0.0078,0.0035,3.375
pessimistic,200,bramev_fixed_alpha,42,42,42,7,1,6,0.5,1,duration,541,418,123,100,0,0,23,9,4,0,10,0,0,891,336,0.1031,0.0389,39.075
pessimistic,200,bramev_fixed_alpha,42,42,42,8,0,5,0.5,0,duration,600,432,168,149,0,0,19,10,0,0,9,0,0,658,337,0.0914,0.0468,35.583
pessimistic,200,bramev_fixed_alpha,42,42,42,9,2,4,0.5,2,duration,1234,936,298,242,0,0,56,19,9,0,28,0,0,2014,614,0.3497,0.1066,84.825
pessimistic,200,bramev_fixed_alpha,42,42,42,10,0,5,0.5,0,duration,584,416,168,109,0,0,59,27,12,0,20,0,0,2129,1002,0.2957,0.1392,90.108
pessimistic,200,bramev_fixed_alpha,42,42,42,11,0,4,0.5,0,duration,1337,990,347,195,0,0,152,65,35,3,48,1,0,5842,2359,1.0142,0.4095,215.625
pessimistic,200,bramev_fixed_alpha,42,42,42,12,3,6,0.5,3,duration,1252,1018,234,205,0,0,29,9,9,0,10,1,0,1090,335,0.1262,0.0388,36.625
pessimistic,200,bramev_fixed_alpha,42,42,42,13,3,4,0.5,3,duration,551,423,128,93,0,0,35,10,9,0,15,1,0,1292,278,0.2243,0.0483,45.425
pessimistic,200,bramev_fixed_alpha,42,42,42,14,3,4,0.5,3,duration,1275,1027,248,167,0,0,81,24,23,1,31,2,0,2736,815,0.475,0.1415,101.375
pessimistic,200,bramev_fixed_alpha,42,42,42,15,0,5,0.5,0,duration,580,429,151,83,0,0,68,24,18,0,24,2,0,2635,843,0.366,0.1171,89.05
pessimistic,200,bramev_fixed_alpha,42,42,42,16,2,6,0.5,2,duration,464,344,120,116,0,0,4,2,1,0,1,0,0,140,67,0.0162,0.0078,5.708
pessimistic,200,bramev_fixed_alpha,42,42,42,17,2,4,0.5,2,duration,762,548,214,165,0,0,49,19,7,0,21,2,0,1736,566,0.3014,0.0983,73.675
pessimistic,200,bramev_fixed_alpha,42,42,42,18,2,5,0.5,2,duration,714,515,199,112,0,0,87,36,20,0,31,0,0,3126,1253,0.4342,0.174,120.942
pessimistic,200,bramev_fixed_alpha,42,42,42,19,3,6,0.5,3,duration,493,396,97,89,0,0,8,5,1,0,2,0,0,276,193,0.0319,0.0223,13.9
pessimistic,200,bramev_fixed_alpha,42,42,42,20,2,4,0.5,2,duration,819,598,221,213,0,0,8,3,2,0,3,0,0,309,121,0.0536,0.021,10.625
pessimistic,200,bramev_fixed_alpha,42,42,42,21,2,6,0.5,2,duration,310,230,80,70,0,0,10,5,3,0,2,0,0,376,181,0.0435,0.0209,12.242
pessimistic,200,bramev_fixed_alpha,42,42,42,22,2,4,0.5,2,duration,1208,929,279,172,0,0,107,44,20,1,42,0,0,3903,1441,0.6776,0.2502,159.2
pessimistic,200,bramev_fixed_alpha,42,42,42,23,0,4,0.5,0,duration,551,422,129,87,0,0,42,20,9,0,13,0,0,1500,693,0.2604,0.1203,58.833
pessimistic,200,bramev_fixed_alpha,42,42,42,24,1,4,0.5,1,duration,1362,1058,304,260,0,0,44,16,14,0,13,1,0,1761,569,0.3057,0.0988,56.517
pessimistic,200,bramev_fixed_alpha,42,42,42,25,2,6,0.5,2,duration,1084,782,302,188,0,0,114,52,18,0,43,1,0,3894,1524,0.4507,0.1764,163.233
pessimistic,200,bramev_fixed_alpha,42,42,42,26,3,5,0.5,3,duration,1186,970,216,95,0,0,121,48,33,1,38,1,0,4303,1573,0.5976,0.2185,148.358
pessimistic,200,bramev_fixed_alpha,42,42,42,27,2,4,0.5,2,duration,535,386,149,131,0,0,18,7,6,0,5,0,0,618,204,0.1073,0.0354,19.783
pessimistic,200,bramev_fixed_alpha,42,42,42,28,3,4,0.5,3,duration,1160,944,216,185,0,0,31,10,7,0,14,0,0,1232,415,0.2139,0.072,49.117
pessimistic,200,bramev_fixed_alpha,42,42,42,29,3,5,0.5,3,duration,1124,907,217,108,0,0,109,51,22,0,36,0,0,3965,1732,0.5507,0.2406,151.875
pessimistic,200,bramev_fixed_alpha,42,42,42,30,1,6,0.5,1,duration,1360,1085,275,141,0,0,134,54,25,0,54,1,0,5120,1918,0.5926,0.222,202.308
pessimistic,200,bramev_fixed_alpha,42,42,42,31,2,5,0.5,2,duration,542,385,157,112,0,0,45,20,10,0,15,0,0,1684,659,0.2339,0.0915,64.7
pessimistic,200,bramev_fixed_alpha,42,42,42,32,0,5,0.5,0,duration,222,170,52,38,0,0,14,3,7,0,4,0,0,540,74,0.075,0.0103,13.167
pessimistic,200,bramev_fixed_alpha,42,42,42,33,1,4,0.5,1,duration,260,206,54,48,0,0,6,4,1,0,1,0,0,232,153,0.0403,0.0266,9.667
pessimistic,200,bramev_fixed_alpha,42,42,42,34,0,5,0.5,0,duration,260,200,60,57,0,0,3,1,0,0,2,0,0,138,38,0.0192,0.0053,6.417
pessimistic,200,bramev_fixed_alpha,42,42,42,35,0,6,0.5,0,duration,543,361,182,100,0,0,82,35,25,0,21,1,0,2636,1107,0.3051,0.1281,96.075
pessimistic,200,bramev_fixed_alpha,42,42,42,36,3,6,0.5,3,duration,591,471,120,105,0,0,15,10,3,0,2,0,0,625,397,0.0723,0.0459,23.733
pessimistic,200,bramev_fixed_alpha,42,42,42,37,0,4,0.5,0,duration,1341,1035,306,237,0,0,69,29,14,0,24,2,0,2480,971,0.4306,0.1686,101.575
pessimistic,200,bramev_fixed_alpha,42,42,42,38,3,6,0.5,3,duration,1369,1109,260,240,0,0,20,8,2,0,10,0,0,714,293,0.0826,0.0339,31.675
pessimistic,200,bramev_fixed_alpha,42,42,42,39,1,6,0.5,1,duration,565,421,144,103,0,0,41,11,14,0,14,1,1,1398,389,0.1618,0.045,44.492
