scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
pessimistic,200,bramev_global_rep,42,42,42,observed,abs,196,0.2195
pessimistic,200,bramev_global_rep,42,42,42,observed,breakdown,5,0.0056
pessimistic,200,bramev_global_rep,42,42,42,observed,early,1,0.0011
pessimistic,200,bramev_global_rep,42,42,42,observed,late,314,0.3516
pessimistic,200,bramev_global_rep,42,42,42,observed,pres,376,0.4211
pessimistic,200,bramev_global_rep,42,42,42,observed,unresolved,1,0.0011
pessimistic,200,bramev_global_rep,42,42,42,intent,abs,201,0.2251
pessimistic,200,bramev_global_rep,42,42,42,intent,early,145,0.1624
pessimistic,200,bramev_global_rep,42,42,42,intent,late,170,0.1904
pessimistic,200,bramev_global_rep,42,42,42,intent,pres,377,0.4222
pessimistic,200,bramev_global_rep,42,42,42,reclassified,early->late,144,
