scenario,nb_cars,method,seed,world_seed,grid_seed,kind,label,count,rate
pessimistic,200,bramev_nearest_offer,42,42,42,observed,abs,507,0.2272
pessimistic,200,bramev_nearest_offer,42,42,42,observed,breakdown,24,0.0108
pessimistic,200,bramev_nearest_offer,42,42,42,observed,early,25,0.0112
pessimistic,200,bramev_nearest_offer,42,42,42,observed,late,764,0.3423
pessimistic,200,bramev_nearest_offer,42,42,42,observed,pres,908,0.4068
pessimistic,200,bramev_nearest_offer,42,42,42,observed,unresolved,4,0.0018
pessimistic,200,bramev_nearest_offer,42,42,42,intent,abs,531,0.2379
pessimistic,200,bramev_nearest_offer,42,42,42,intent,early,328,0.147
pessimistic,200,bramev_nearest_offer,42,42,42,intent,late,461,0.2065
pessimistic,200,bramev_nearest_offer,42,42,42,intent,pres,912,0.4086
pessimistic,200,bramev_nearest_offer,42,42,42,reclassified,early->late,303,
