scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00008,8,0,6,6,True,1,300067.329832993,3552218.76025002,602777.4171250057,0.028624956030398607,4154996.2059999816
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00020,20,0,10,10,True,1,600121.1166660069,3554865.789790987,600130.4589170031,0.008292030543088913,4154996.2570000207
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00024,24,0,12,12,True,1,600121.0844999878,4154996.0779169924,0.17324998043477535,0.006165995728224516,4154996.2573329685
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00025,25,0,5,5,True,1,1185506.5362500027,4154996.050707996,0.19941700156778097,0.004167028237134218,4154996.2542920257
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00033,33,0,5,5,True,1,300067.2034579911,3552218.6334580183,602777.621999965,0.004208006430417299,4154996.25966599
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00034,34,0,6,6,True,1,864588.7082500267,3854932.0446250495,300064.21016698005,0.004291010554879904,4154996.25908304
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00048,48,0,7,7,True,1,864588.6814590194,3552218.580042012,602777.6691670297,0.004082976374775171,4154996.253292018
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00059,59,0,6,5,True,1,1185506.428374967,4154995.9428330185,0.30091695953160524,0.0038330326788127422,4154996.2475830107
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00068,68,0,6,6,True,1,864588.6293750373,3854931.9649580284,300064.2724999925,0.0037500285543501377,4154996.2412080495
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00092,92,0,9,9,True,1,600120.8952910383,4154995.890375052,0.34195795888081193,0.00404199818149209,4154996.236375009
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00099,99,0,5,5,True,1,1184102.296500001,3387939.8708750377,767056.3541249721,0.0037500285543501377,4154996.2287500384
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00104,104,0,6,6,True,1,1184102.2709999816,3854931.8858749466,300064.33062499855,0.0037080026231706142,4154996.220207948
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00106,106,0,7,7,True,1,1185506.2971659936,4154995.8117909846,0.4027090035378933,0.0035829725675284863,4154996.2180829607
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00114,114,0,7,7,True,1,883933.2042089663,3854931.834374962,300064.3769170274,0.0034999684430658817,4154996.2147919578
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00121,121,0,6,6,True,1,300066.93870801246,3552861.631540989,602134.5705420244,0.0034999684430658817,4154996.205582982
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00122,122,0,4,4,True,1,1514991.145875014,3387939.7421670146,767056.4566670218,0.0034580007195472717,4154996.202292037
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00143,143,0,3,3,True,1,300066.88783399295,3387071.201500017,767924.9894589884,0.0034160329960286617,4154996.1943750386
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00146,146,0,7,7,True,1,1185506.1678750208,4154995.6825000118,0.5022500408813357,0.00404199818149209,4154996.188792051
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00151,151,0,6,6,True,1,864588.3649160387,3854931.702083035,300064.471791964,0.0036660348996520042,4154996.177541034
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00154,154,0,6,6,True,1,1184102.0594580332,3854931.674625026,300064.4940409693,0.0037919962778687477,4154996.1724579916
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00166,166,0,7,7,True,1,883933.0146659631,3387939.6044579917,767056.5555419889,0.0038330326788127422,4154996.1638330133
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00178,178,0,6,6,True,1,300066.74708396895,3552218.1764589623,602777.9745000298,0.0036249984987080097,4154996.1545839906
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00191,191,0,12,12,True,1,600120.5039999913,4154995.500665973,0.6054590339772403,0.004332978278398514,4154996.110457985
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00196,196,0,6,6,True,1,300066.63616601145,3552218.0657080025,602778.0152499909,0.0037919962778687477,4154996.0847499897
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00203,203,0,9,9,True,1,864588.1343330257,3854931.4721249975,300064.60008298745,0.004250032361596823,4154996.0764580173
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00204,204,0,9,8,True,1,600120.3979580314,4154995.3943750006,0.6687080021947622,0.003958994057029486,4154996.067041997
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00211,211,0,3,3,True,1,300066.5465830243,3387070.8584170206,767925.1941659604,0.003208988346159458,4154996.0557919694
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00213,213,0,10,10,True,1,883932.7564999694,3550976.33866698,604019.7068750276,0.004332978278398514,4154996.049874986
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00214,214,0,7,7,True,1,600120.3155409894,3554864.989374997,600131.0528750182,0.0038750004023313522,4154996.0461250157
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00218,218,0,9,9,True,1,600120.2871249989,3552861.1530829803,602134.8808340263,0.004125002305954695,4154996.038042009
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00219,219,0,5,5,True,1,864587.9652500153,3854931.303417019,300064.724166994,0.0035410048440098763,4154996.031125018
pessimistic,250,bramev_global_rep,42,42,42,t00000-c00235,235,0,5,5,True,1,1184101.6586250043,3387939.2325410154,767056.7829589709,0.003500026650726795,4154996.019000013
pessimistic,250,bramev_global_rep,42,42,42,t00001-c00025,25,1,5,0,False,0,,,,,
pessimistic,250,bramev_global_rep,42,42,42,t00001-c00104,104,1,6,0,False,0,,,,,
pessimistic,250,bramev_global_rep,42,42,42,t00001-c00106,106,1,7,2,True,1,365.8496249699965,424.7206669533625,190.81729202298447,0.023833010345697403,615.5617919866927
pessimistic,250,bramev_global_rep,42,42,42,t00001-c00121,121,1,6,0,False,0,,,,,
pessimistic,250,bramev_global_rep,42,42,42,t00001-c00151,151,1,3,0,False,0,,,,,
pessimistic,250,bramev_global_rep,42,42,42,t00001-c00196,196,1,9,0,False,0,,,,,
pessimistic,250,bramev_global_rep,42,42,42,t00001-c00213,213,1,10,0,False,0,,,,,
