scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,250,bramev,42,42,42,0,1,5,0.294,1,duration,1342,1046,296,125,0,0,171,84,43,4,40,0,0,6166,2797,0.8564,0.3885,218.7
pessimistic,250,bramev,42,42,42,1,2,5,0.4676,2,duration,1405,1085,320,296,0,0,24,12,4,0,8,0,0,880,400,0.1222,0.0556,34.533
pessimistic,250,bramev,42,42,42,2,1,5,0.4677,1,duration,619,473,146,129,0,0,17,4,6,0,7,0,0,605,133,0.084,0.0185,20.925
pessimistic,250,bramev,42,42,42,3,1,5,0.5262,1,duration,1531,1202,329,168,0,0,161,66,38,4,51,2,0,5680,2430,0.7889,0.3375,217.067
pessimistic,250,bramev,42,42,42,4,3,5,0.2328,3,duration,1283,978,305,150,0,0,155,74,32,2,45,2,0,5682,2536,0.7892,0.3522,222.458
pessimistic,250,bramev,42,42,42,5,1,4,0.2665,1,duration,676,530,146,113,0,0,33,14,9,0,10,0,0,1214,475,0.2108,0.0825,41.4
pessimistic,250,bramev,42,42,42,6,0,6,0.5118,0,duration,558,393,165,152,0,0,13,6,2,0,5,0,0,538,241,0.0623,0.0279,20.833
pessimistic,250,bramev,42,42,42,7,1,6,0.4025,1,duration,618,475,143,117,0,0,26,9,8,0,8,1,0,980,340,0.1134,0.0394,33.608
pessimistic,250,bramev,42,42,42,8,0,5,0.5503,0,duration,735,522,213,191,0,0,22,7,5,0,10,0,0,908,261,0.1261,0.0362,33.35
pessimistic,250,bramev,42,42,42,9,2,4,0.5552,2,duration,1323,1014,309,250,0,0,59,17,11,0,29,2,0,2183,529,0.379,0.0918,80.275
pessimistic,250,bramev,42,42,42,10,0,5,0.3556,0,duration,688,490,198,126,0,1,72,32,12,1,24,3,0,2770,1178,0.3847,0.1636,106.733
pessimistic,250,bramev,42,42,42,11,0,4,0.3342,0,duration,1612,1186,426,230,0,0,196,90,31,9,66,0,0,7321,3273,1.271,0.5682,302.108
pessimistic,250,bramev,42,42,42,12,3,6,0.3002,3,duration,1591,1221,370,325,0,0,45,14,18,0,12,1,0,1562,439,0.1808,0.0508,45.483
pessimistic,250,bramev,42,42,42,13,3,4,0.4909,3,duration,614,458,156,100,0,0,56,19,11,0,25,1,0,2041,711,0.3543,0.1234,85.092
pessimistic,250,bramev,42,42,42,14,3,4,0.4165,3,duration,1581,1228,353,241,0,1,112,46,25,2,37,2,0,4132,1590,0.7174,0.276,152.992
pessimistic,250,bramev,42,42,42,15,0,5,0.4346,0,duration,686,479,207,126,0,0,81,33,17,0,28,3,0,2893,1124,0.4018,0.1561,112.975
pessimistic,250,bramev,42,42,42,16,2,6,0.5691,2,duration,522,401,121,116,0,0,5,2,0,0,2,1,0,171,73,0.0198,0.0084,7.175
pessimistic,250,bramev,42,42,42,17,2,4,0.6861,2,duration,953,689,264,211,0,0,53,22,9,1,21,0,0,1929,773,0.3349,0.1342,79.183
pessimistic,250,bramev,42,42,42,18,2,5,0.697,2,duration,864,606,258,165,0,0,93,42,22,0,27,2,0,3392,1249,0.4711,0.1735,122.175
pessimistic,250,bramev,42,42,42,19,3,6,0.471,3,duration,539,404,135,118,0,0,17,9,4,0,4,0,0,647,368,0.0749,0.0426,25.192
pessimistic,250,bramev,42,42,42,20,2,4,0.5594,2,duration,872,660,212,206,0,0,6,2,1,0,3,0,0,222,61,0.0385,0.0106,7.825
pessimistic,250,bramev,42,42,42,21,2,6,0.6774,2,duration,364,261,103,91,0,0,12,7,3,0,2,0,0,420,249,0.0486,0.0288,16.883
pessimistic,250,bramev,42,42,42,22,2,4,0.579,2,duration,1275,997,278,167,0,0,111,42,28,0,41,0,0,4083,1496,0.7089,0.2597,154.742
pessimistic,250,bramev,42,42,42,23,0,4,0.3075,0,duration,606,439,167,107,0,0,60,23,15,0,22,0,0,2131,754,0.37,0.1309,82.933
pessimistic,250,bramev,42,42,42,24,1,4,0.5296,1,duration,1436,1084,352,300,0,0,52,23,11,0,17,1,0,1934,792,0.3358,0.1375,75.383
pessimistic,250,bramev,42,42,42,25,2,6,0.6147,2,duration,1353,1004,349,234,0,0,115,37,27,0,48,3,0,4401,1273,0.5094,0.1473,161.842
pessimistic,250,bramev,42,42,42,26,3,5,0.24,3,duration,1487,1145,342,154,0,0,188,82,40,1,64,1,0,6758,2776,0.9386,0.3856,259.667
pessimistic,250,bramev,42,42,42,27,2,4,0.5209,2,duration,667,512,155,139,0,0,16,7,4,0,5,0,0,560,227,0.0972,0.0394,21.75
pessimistic,250,bramev,42,42,42,28,3,4,0.5247,3,duration,1217,926,291,254,0,0,37,9,9,0,17,2,0,1510,351,0.2622,0.0609,47.242
pessimistic,250,bramev,42,42,42,29,3,5,0.2625,3,duration,1339,1029,310,162,0,0,148,64,28,1,54,1,0,5500,2373,0.7639,0.3296,216.167
pessimistic,250,bramev,42,42,42,30,1,6,0.2215,1,duration,1630,1266,364,185,0,0,179,76,41,1,60,0,1,6244,2479,0.7227,0.2869,244.517
pessimistic,250,bramev,42,42,42,31,2,5,0.5521,2,duration,701,521,180,128,0,0,52,24,16,0,12,0,0,1891,859,0.2626,0.1193,67.625
pessimistic,250,bramev,42,42,42,32,0,5,0.3441,0,duration,279,201,78,62,0,0,16,5,8,0,3,0,0,600,180,0.0833,0.025,14.675
pessimistic,250,bramev,42,42,42,33,1,4,0.441,1,duration,294,224,70,56,0,0,14,4,5,0,5,0,0,484,137,0.084,0.0238,14.942
pessimistic,250,bramev,42,42,42,34,0,5,0.3749,0,duration,307,220,87,79,0,0,8,3,3,0,2,0,0,317,94,0.044,0.0131,10.025
pessimistic,250,bramev,42,42,42,35,0,6,0.4747,0,duration,669,491,178,100,0,0,78,33,17,0,27,1,0,2699,1007,0.3124,0.1166,105.133
pessimistic,250,bramev,42,42,42,36,3,6,0.3386,3,duration,628,461,167,146,0,0,21,11,5,0,5,0,0,870,421,0.1007,0.0487,31.375
pessimistic,250,bramev,42,42,42,37,0,4,0.4818,0,duration,1447,1054,393,305,0,0,88,35,24,0,26,3,0,3439,1336,0.597,0.2319,120.208
pessimistic,250,bramev,42,42,42,38,3,6,0.4837,3,duration,1731,1313,418,387,0,0,31,13,3,0,15,0,0,1250,511,0.1447,0.0591,54.308
pessimistic,250,bramev,42,42,42,39,1,6,0.4314,1,duration,641,484,157,119,0,0,38,14,11,0,13,0,0,1327,510,0.1536,0.059,50.367
