scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,50,bramev_global_rep,42,42,42,8,25,0.2336,0.0
pessimistic,50,bramev_global_rep,42,42,42,20,22,0.3372,0.0
pessimistic,50,bramev_global_rep,42,42,42,24,33,0.1597,0.0
pessimistic,50,bramev_global_rep,42,42,42,25,13,0.3778,0.0
pessimistic,50,bramev_global_rep,42,42,42,34,18,0.447,0.0
pessimistic,50,bramev_global_rep,42,42,42,48,31,0.313,0.0
pessimistic,50,bramev_global_rep,42,42,42,47,7,0.1641,0.0
pessimistic,50,bramev_global_rep,42,42,42,19,20,0.0616,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,11,0.592,0.0
pessimistic,50,bramev_global_rep,42,42,42,37,3,0.193,0.0
pessimistic,50,bramev_global_rep,42,42,42,49,5,0.1984,0.0
pessimistic,50,bramev_global_rep,42,42,42,16,25,0.1549,0.0
pessimistic,50,bramev_global_rep,42,42,42,40,5,0.1921,0.0
pessimistic,50,bramev_global_rep,42,42,42,10,9,0.1986,0.0
pessimistic,50,bramev_global_rep,42,42,42,27,0,0.3382,0.0
pessimistic,50,bramev_global_rep,42,42,42,2,36,0.2487,0.0
pessimistic,50,bramev_global_rep,42,42,42,7,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,13,3,0.0887,0.0
pessimistic,50,bramev_global_rep,42,42,42,7,3,0.4483,0.0
pessimistic,50,bramev_global_rep,42,42,42,38,11,0.4663,0.0
pessimistic,50,bramev_global_rep,42,42,42,43,18,0.3689,0.0
pessimistic,50,bramev_global_rep,42,42,42,46,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,13,24,0.4928,0.0
pessimistic,50,bramev_global_rep,42,42,42,23,0,0.3382,0.0
pessimistic,50,bramev_global_rep,42,42,42,3,0,0.3382,0.0
pessimistic,50,bramev_global_rep,42,42,42,12,14,0.2193,0.0
pessimistic,50,bramev_global_rep,42,42,42,36,9,0.2378,0.0
pessimistic,50,bramev_global_rep,42,42,42,39,30,0.3493,0.0
pessimistic,50,bramev_global_rep,42,42,42,6,11,0.592,0.0
pessimistic,50,bramev_global_rep,42,42,42,18,3,0.0643,0.0
pessimistic,50,bramev_global_rep,42,42,42,32,4,0.3017,0.0
pessimistic,50,bramev_global_rep,42,42,42,0,32,0.1985,0.0
pessimistic,50,bramev_global_rep,42,42,42,28,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,22,11,0.4904,0.0
pessimistic,50,bramev_global_rep,42,42,42,9,0,0.3382,0.0
pessimistic,50,bramev_global_rep,42,42,42,44,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,15,11,0.5366,0.0
pessimistic,50,bramev_global_rep,42,42,42,11,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,21,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,45,4,0.3017,0.0
pessimistic,50,bramev_global_rep,42,42,42,42,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,48,11,0.592,0.0
pessimistic,50,bramev_global_rep,42,42,42,46,10,0.4294,0.0
pessimistic,50,bramev_global_rep,42,42,42,4,15,0.5054,0.0
pessimistic,50,bramev_global_rep,42,42,42,17,4,0.3017,0.0
pessimistic,50,bramev_global_rep,42,42,42,29,3,0.2135,0.0
pessimistic,50,bramev_global_rep,42,42,42,41,18,0.4136,0.0
pessimistic,50,bramev_global_rep,42,42,42,12,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,12,31,0.3373,0.0
pessimistic,50,bramev_global_rep,42,42,42,20,11,0.592,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,4,0.3017,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,28,0.0532,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,21,0.1797,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,25,0.196,0.0
pessimistic,50,bramev_global_rep,42,42,42,49,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,13,4,0.3017,0.0
pessimistic,50,bramev_global_rep,42,42,42,24,39,0.2642,0.0
pessimistic,50,bramev_global_rep,42,42,42,24,22,0.2651,0.0
pessimistic,50,bramev_global_rep,42,42,42,8,0,0.3382,0.0
pessimistic,50,bramev_global_rep,42,42,42,8,5,0.2047,0.0
pessimistic,50,bramev_global_rep,42,42,42,8,5,0.0831,0.0
pessimistic,50,bramev_global_rep,42,42,42,2,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,8,5,0.1968,0.0
pessimistic,50,bramev_global_rep,42,42,42,27,28,0.2777,0.0
pessimistic,50,bramev_global_rep,42,42,42,6,30,0.3812,0.0
pessimistic,50,bramev_global_rep,42,42,42,8,0,0.3349,0.0
pessimistic,50,bramev_global_rep,42,42,42,27,29,0.1478,0.0
pessimistic,50,bramev_global_rep,42,42,42,36,9,0.1463,0.0
pessimistic,50,bramev_global_rep,42,42,42,8,0,0.3382,0.0
pessimistic,50,bramev_global_rep,42,42,42,7,0,0.3117,0.0
pessimistic,50,bramev_global_rep,42,42,42,2,0,0.3382,0.0
pessimistic,50,bramev_global_rep,42,42,42,13,10,0.2581,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,13,10,0.3767,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,0,9,0.106,0.0
pessimistic,50,bramev_global_rep,42,42,42,46,15,0.2466,0.0
pessimistic,50,bramev_global_rep,42,42,42,46,11,0.5146,0.0
pessimistic,50,bramev_global_rep,42,42,42,46,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,46,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,21,14,0.279,0.0
pessimistic,50,bramev_global_rep,42,42,42,3,16,0.1328,0.0
pessimistic,50,bramev_global_rep,42,42,42,3,14,0.1903,0.0
pessimistic,50,bramev_global_rep,42,42,42,3,26,0.1996,0.0
pessimistic,50,bramev_global_rep,42,42,42,11,4,0.3017,0.0
pessimistic,50,bramev_global_rep,42,42,42,9,1,0.1618,0.0
pessimistic,50,bramev_global_rep,42,42,42,24,30,0.3825,0.0
pessimistic,50,bramev_global_rep,42,42,42,28,36,0.3223,0.0
pessimistic,50,bramev_global_rep,42,42,42,29,35,0.263,0.0
pessimistic,50,bramev_global_rep,42,42,42,0,11,0.592,0.0
pessimistic,50,bramev_global_rep,42,42,42,7,11,0.592,0.0
pessimistic,50,bramev_global_rep,42,42,42,20,10,0.2231,0.0
pessimistic,50,bramev_global_rep,42,42,42,31,4,0.3017,0.0
