scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,50,bramev_global_rep,42,42,42,0,6,0,0.708626
pessimistic,50,bramev_global_rep,42,42,42,0,6,1,0.66829
pessimistic,50,bramev_global_rep,42,42,42,0,6,2,0.66829
pessimistic,50,bramev_global_rep,42,42,42,0,6,3,0.631161
pessimistic,50,bramev_global_rep,42,42,42,0,6,4,0.599592
pessimistic,50,bramev_global_rep,42,42,42,0,6,5,0.599592
pessimistic,50,bramev_global_rep,42,42,42,0,6,6,0.572524
pessimistic,50,bramev_global_rep,42,42,42,0,6,7,0.572524
pessimistic,50,bramev_global_rep,42,42,42,0,6,8,0.5506
pessimistic,50,bramev_global_rep,42,42,42,0,6,9,0.5506
pessimistic,50,bramev_global_rep,42,42,42,0,8,0,0.80801
pessimistic,50,bramev_global_rep,42,42,42,0,8,1,0.757736
pessimistic,50,bramev_global_rep,42,42,42,0,8,2,0.748791
pessimistic,50,bramev_global_rep,42,42,42,0,8,3,0.703612
pessimistic,50,bramev_global_rep,42,42,42,0,8,4,0.664798
pessimistic,50,bramev_global_rep,42,42,42,0,8,5,0.658277
pessimistic,50,bramev_global_rep,42,42,42,0,8,6,0.625341
pessimistic,50,bramev_global_rep,42,42,42,0,8,7,0.62006
pessimistic,50,bramev_global_rep,42,42,42,0,8,8,0.593382
pessimistic,50,bramev_global_rep,42,42,42,0,8,9,0.589104
pessimistic,50,bramev_global_rep,42,42,42,0,10,0,0.305265
pessimistic,50,bramev_global_rep,42,42,42,0,10,1,0.305265
pessimistic,50,bramev_global_rep,42,42,42,0,10,2,0.341568
pessimistic,50,bramev_global_rep,42,42,42,0,10,3,0.337111
pessimistic,50,bramev_global_rep,42,42,42,0,10,4,0.334947
pessimistic,50,bramev_global_rep,42,42,42,0,10,5,0.361411
pessimistic,50,bramev_global_rep,42,42,42,0,10,6,0.358162
pessimistic,50,bramev_global_rep,42,42,42,0,10,7,0.379598
pessimistic,50,bramev_global_rep,42,42,42,0,10,8,0.376966
pessimistic,50,bramev_global_rep,42,42,42,0,10,9,0.39433
pessimistic,50,bramev_global_rep,42,42,42,0,11,0,0.250242
pessimistic,50,bramev_global_rep,42,42,42,0,11,1,0.255744
pessimistic,50,bramev_global_rep,42,42,42,0,11,2,0.296999
pessimistic,50,bramev_global_rep,42,42,42,0,11,3,0.296999
pessimistic,50,bramev_global_rep,42,42,42,0,11,4,0.298846
pessimistic,50,bramev_global_rep,42,42,42,0,11,5,0.32892
pessimistic,50,bramev_global_rep,42,42,42,0,11,6,0.32892
pessimistic,50,bramev_global_rep,42,42,42,0,11,7,0.353281
pessimistic,50,bramev_global_rep,42,42,42,0,11,8,0.353281
pessimistic,50,bramev_global_rep,42,42,42,0,11,9,0.373013
pessimistic,50,bramev_global_rep,42,42,42,0,15,0,0.509227
pessimistic,50,bramev_global_rep,42,42,42,0,15,1,0.488831
pessimistic,50,bramev_global_rep,42,42,42,0,15,2,0.506777
pessimistic,50,bramev_global_rep,42,42,42,0,15,3,0.485799
pessimistic,50,bramev_global_rep,42,42,42,0,15,4,0.468766
pessimistic,50,bramev_global_rep,42,42,42,0,15,5,0.481848
pessimistic,50,bramev_global_rep,42,42,42,0,15,6,0.466556
pessimistic,50,bramev_global_rep,42,42,42,0,15,7,0.477153
pessimistic,50,bramev_global_rep,42,42,42,0,15,8,0.464765
pessimistic,50,bramev_global_rep,42,42,42,0,15,9,0.473349
pessimistic,50,bramev_global_rep,42,42,42,0,23,0,0.181183
pessimistic,50,bramev_global_rep,42,42,42,0,23,1,0.193591
pessimistic,50,bramev_global_rep,42,42,42,0,23,2,0.241061
pessimistic,50,bramev_global_rep,42,42,42,0,23,3,0.246655
pessimistic,50,bramev_global_rep,42,42,42,0,23,4,0.253536
pessimistic,50,bramev_global_rep,42,42,42,0,23,5,0.288142
pessimistic,50,bramev_global_rep,42,42,42,0,23,6,0.292219
pessimistic,50,bramev_global_rep,42,42,42,0,23,7,0.32025
pessimistic,50,bramev_global_rep,42,42,42,0,23,8,0.323553
pessimistic,50,bramev_global_rep,42,42,42,0,23,9,0.346258
pessimistic,50,bramev_global_rep,42,42,42,0,32,0,0.275578
pessimistic,50,bramev_global_rep,42,42,42,0,32,1,0.278547
pessimistic,50,bramev_global_rep,42,42,42,0,32,2,0.317521
pessimistic,50,bramev_global_rep,42,42,42,0,32,3,0.315469
pessimistic,50,bramev_global_rep,42,42,42,0,32,4,0.315469
pessimistic,50,bramev_global_rep,42,42,42,0,32,5,0.343881
pessimistic,50,bramev_global_rep,42,42,42,0,32,6,0.342385
pessimistic,50,bramev_global_rep,42,42,42,0,32,7,0.365399
pessimistic,50,bramev_global_rep,42,42,42,0,32,8,0.364187
pessimistic,50,bramev_global_rep,42,42,42,0,32,9,0.382829
pessimistic,50,bramev_global_rep,42,42,42,0,34,0,0.355302
pessimistic,50,bramev_global_rep,42,42,42,0,34,1,0.350298
pessimistic,50,bramev_global_rep,42,42,42,0,34,2,0.382097
pessimistic,50,bramev_global_rep,42,42,42,0,34,3,0.373587
pessimistic,50,bramev_global_rep,42,42,42,0,34,4,0.367776
pessimistic,50,bramev_global_rep,42,42,42,0,34,5,0.390957
pessimistic,50,bramev_global_rep,42,42,42,0,34,6,0.384754
pessimistic,50,bramev_global_rep,42,42,42,0,34,7,0.403531
pessimistic,50,bramev_global_rep,42,42,42,0,34,8,0.398506
pessimistic,50,bramev_global_rep,42,42,42,0,34,9,0.413715
pessimistic,50,bramev_global_rep,42,42,42,0,35,0,0.612853
pessimistic,50,bramev_global_rep,42,42,42,0,35,1,0.582095
pessimistic,50,bramev_global_rep,42,42,42,0,35,2,0.590714
pessimistic,50,bramev_global_rep,42,42,42,0,35,3,0.561343
pessimistic,50,bramev_global_rep,42,42,42,0,35,4,0.536755
pessimistic,50,bramev_global_rep,42,42,42,0,35,5,0.543039
pessimistic,50,bramev_global_rep,42,42,42,0,35,6,0.521627
pessimistic,50,bramev_global_rep,42,42,42,0,35,7,0.526717
pessimistic,50,bramev_global_rep,42,42,42,0,35,8,0.509373
pessimistic,50,bramev_global_rep,42,42,42,0,35,9,0.513496
pessimistic,50,bramev_global_rep,42,42,42,0,37,0,0.631187
pessimistic,50,bramev_global_rep,42,42,42,0,37,1,0.598595
pessimistic,50,bramev_global_rep,42,42,42,0,37,2,0.605565
