scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,50,bramev_global_rep,42,42,42,0,1,5,0.2876,0,duration,850,810,40,15,0,0,25,15,4,0,6,0,0,924,535,0.1283,0.0743,37.992
pessimistic,50,bramev_global_rep,42,42,42,1,2,5,0.2817,0,duration,919,861,58,57,0,0,1,1,0,0,0,0,0,38,36,0.0053,0.005,1.9
pessimistic,50,bramev_global_rep,42,42,42,2,1,5,0.4612,0,duration,434,407,27,27,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,3,1,5,0.5197,0,duration,895,830,65,56,0,0,9,5,0,0,4,0,0,304,179,0.0422,0.0249,14.908
pessimistic,50,bramev_global_rep,42,42,42,4,3,5,0.1598,0,duration,849,803,46,23,0,0,23,8,8,0,6,1,0,796,258,0.1106,0.0358,23.45
pessimistic,50,bramev_global_rep,42,42,42,5,1,4,0.26,0,duration,409,387,22,16,0,0,6,1,1,0,4,0,0,226,29,0.0392,0.005,9.517
pessimistic,50,bramev_global_rep,42,42,42,6,0,6,0.5506,0,duration,347,323,24,24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,7,1,6,0.396,0,duration,443,418,25,24,0,0,1,0,0,0,1,0,0,32,0,0.0037,0.0,1.867
pessimistic,50,bramev_global_rep,42,42,42,8,0,5,0.5891,0,duration,438,411,27,26,0,0,1,0,1,0,0,0,0,38,0,0.0053,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,9,2,4,0.3693,0,duration,864,818,46,39,0,0,7,3,0,0,4,0,0,255,101,0.0443,0.0175,11.292
pessimistic,50,bramev_global_rep,42,42,42,10,0,5,0.3943,0,duration,458,427,31,22,0,0,9,6,1,0,2,0,0,281,194,0.039,0.0269,12.542
pessimistic,50,bramev_global_rep,42,42,42,11,0,4,0.373,0,duration,906,858,48,21,0,0,27,13,5,0,9,0,0,966,441,0.1677,0.0766,39.35
pessimistic,50,bramev_global_rep,42,42,42,12,3,6,0.2272,0,duration,926,865,61,60,0,0,1,0,0,0,1,0,0,38,0,0.0044,0.0,2.217
pessimistic,50,bramev_global_rep,42,42,42,13,3,4,0.4178,0,duration,356,334,22,19,0,0,3,1,1,0,1,0,0,132,32,0.0229,0.0056,3.492
pessimistic,50,bramev_global_rep,42,42,42,14,3,4,0.3434,0,duration,899,849,50,41,0,0,9,5,2,0,2,0,0,333,161,0.0578,0.028,12.508
pessimistic,50,bramev_global_rep,42,42,42,15,0,5,0.4733,0,duration,389,369,20,13,0,0,7,2,3,0,2,0,0,299,70,0.0415,0.0097,7.05
pessimistic,50,bramev_global_rep,42,42,42,16,2,6,0.3832,0,duration,316,290,26,25,0,0,1,0,0,0,1,0,0,53,0,0.0061,0.0,2.208
pessimistic,50,bramev_global_rep,42,42,42,17,2,4,0.5001,0,duration,542,506,36,36,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,18,2,5,0.5111,0,duration,570,535,35,27,0,0,8,3,1,0,4,0,0,309,101,0.0429,0.014,11.367
pessimistic,50,bramev_global_rep,42,42,42,19,3,6,0.398,0,duration,364,341,23,22,0,0,1,1,0,0,0,0,0,30,28,0.0035,0.0032,2.0
pessimistic,50,bramev_global_rep,42,42,42,20,2,4,0.3735,0,duration,518,481,37,36,0,0,1,0,0,0,1,0,0,35,0,0.0061,0.0,1.458
pessimistic,50,bramev_global_rep,42,42,42,21,2,6,0.4914,0,duration,214,202,12,10,0,0,2,0,0,0,2,0,0,70,0,0.0081,0.0,3.483
pessimistic,50,bramev_global_rep,42,42,42,22,2,4,0.3931,0,duration,814,766,48,44,0,0,4,2,2,0,0,0,0,156,68,0.0271,0.0118,2.9
pessimistic,50,bramev_global_rep,42,42,42,23,0,4,0.3463,0,duration,420,391,29,26,0,0,3,1,1,0,1,0,0,104,40,0.0181,0.0069,2.783
pessimistic,50,bramev_global_rep,42,42,42,24,1,4,0.5231,0,duration,949,888,61,59,0,0,2,2,0,0,0,0,0,69,63,0.012,0.0109,3.833
pessimistic,50,bramev_global_rep,42,42,42,25,2,6,0.4287,0,duration,868,826,42,38,0,0,4,3,0,0,1,0,0,154,104,0.0178,0.012,7.917
pessimistic,50,bramev_global_rep,42,42,42,26,3,5,0.1669,0,duration,831,776,55,15,0,0,40,18,10,0,12,0,0,1315,633,0.1826,0.0879,48.242
pessimistic,50,bramev_global_rep,42,42,42,27,2,4,0.335,0,duration,422,399,23,21,0,0,2,0,2,0,0,0,0,87,0,0.0151,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,28,3,4,0.4516,0,duration,848,799,49,40,0,0,9,2,1,0,6,0,0,383,109,0.0665,0.0189,16.567
pessimistic,50,bramev_global_rep,42,42,42,29,3,5,0.1895,0,duration,913,871,42,34,0,0,8,6,0,0,2,0,0,331,233,0.046,0.0324,18.75
pessimistic,50,bramev_global_rep,42,42,42,30,1,6,0.215,0,duration,901,853,48,43,0,0,5,0,2,0,3,0,0,194,0,0.0225,0.0,4.2
pessimistic,50,bramev_global_rep,42,42,42,31,2,5,0.3662,0,duration,403,376,27,23,0,0,4,3,0,0,1,0,0,138,98,0.0192,0.0136,6.008
pessimistic,50,bramev_global_rep,42,42,42,32,0,5,0.3828,0,duration,185,173,12,9,0,0,3,2,1,0,0,0,0,108,77,0.015,0.0107,4.05
pessimistic,50,bramev_global_rep,42,42,42,33,1,4,0.4345,0,duration,175,164,11,10,0,0,1,1,0,0,0,0,0,52,50,0.009,0.0087,1.733
pessimistic,50,bramev_global_rep,42,42,42,34,0,5,0.4137,0,duration,177,167,10,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,35,0,6,0.5135,0,duration,420,396,24,21,0,0,3,1,1,0,1,0,0,130,52,0.015,0.006,3.317
pessimistic,50,bramev_global_rep,42,42,42,36,3,6,0.2656,0,duration,437,408,29,24,0,0,5,2,0,0,3,0,0,171,69,0.0198,0.008,7.667
pessimistic,50,bramev_global_rep,42,42,42,37,0,4,0.5206,0,duration,921,867,54,54,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,38,3,6,0.4106,0,duration,997,929,68,68,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,50,bramev_global_rep,42,42,42,39,1,6,0.4249,0,duration,381,358,23,22,0,0,1,0,0,0,1,0,0,46,0,0.0053,0.0,1.533
