scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,50,bramev_nearest_offer,42,42,42,t00000-c00008,8,0,6,6,True,1,117.72779098828323,2793.7619999866,1030.1579159859102,0.01720900763757527,3823.937124980148
pessimistic,50,bramev_nearest_offer,42,42,42,t00000-c00020,20,0,10,10,True,1,252.29316699551418,3571.816875017248,252.15774998650886,0.00808399636298418,3823.98270900012
pessimistic,50,bramev_nearest_offer,42,42,42,t00000-c00024,24,0,12,12,True,1,252.25916699855588,3823.8239170168526,0.15287499991245568,0.005999987479299307,3823.9827920042444
pessimistic,50,bramev_nearest_offer,42,42,42,t00000-c00025,25,0,5,5,True,1,538.8865410059225,3823.795957985567,0.17716700676828623,0.004958012141287327,3823.9780830044765
pessimistic,50,bramev_nearest_offer,42,42,42,t00000-c00033,33,0,5,5,True,1,117.5954170175828,2793.629709020024,1030.35491600167,0.004624977009370923,3823.9892499987036
pessimistic,50,bramev_nearest_offer,42,42,42,t00000-c00034,34,0,6,6,True,1,333.7263750145212,3616.1284590198193,207.85079099005088,0.004917004844173789,3823.9841670147143
pessimistic,50,bramev_nearest_offer,42,42,42,t00000-c00048,48,0,7,7,True,1,333.69550001225434,2793.571082991548,1030.4011670232285,0.004665984306484461,3823.976915999083
pessimistic,50,bramev_nearest_offer,42,42,42,t00001-c00025,25,1,5,5,True,1,57.95879100332968,392.57358299801126,0.019416998839005828,0.01633301144465804,392.6093330082949
pessimistic,50,bramev_nearest_offer,42,42,42,t00009-c00047,47,9,7,7,True,1,38.85329098557122,313.43687500339,0.02099998528137803,0.01575000351294875,313.47362499218434
pessimistic,50,bramev_nearest_offer,42,42,42,t00010-c00047,47,10,3,2,True,1,57.42341699078679,95.74124999926426,0.01591700129210949,0.012832984793931246,95.7699999853503
pessimistic,50,bramev_nearest_offer,42,42,42,t00011-c00019,19,11,15,15,True,1,67.04737502150238,792.3345410090405,0.02274999860674143,0.017125013982877135,792.3744160216302
pessimistic,50,bramev_nearest_offer,42,42,42,t00011-c00047,47,11,3,1,True,1,538.1922499800567,538.1922499800567,254.222125018714,0.005290989065542817,792.4196659878362
pessimistic,50,bramev_nearest_offer,42,42,42,t00012-c00019,19,12,11,6,True,1,96.76641598343849,485.0222079840023,0.014999997802078724,0.01650000922381878,485.0537079910282
pessimistic,50,bramev_nearest_offer,42,42,42,t00021-c00005,5,21,3,3,True,1,19.47391699650325,70.74062500032596,0.011124997399747372,0.01129199517890811,70.76304199290462
pessimistic,50,bramev_nearest_offer,42,42,42,t00022-c00031,31,22,3,3,True,1,32.52562502166256,138.74500000383705,0.01650000922381878,0.01391599653288722,138.77541600959376
pessimistic,50,bramev_nearest_offer,42,42,42,t00025-c00037,37,25,8,8,True,1,42.484582983888686,359.6737499756273,0.01895800232887268,0.014958000974729657,359.7076659789309
pessimistic,50,bramev_nearest_offer,42,42,42,t00026-c00037,37,26,10,9,True,1,52.38304199883714,351.0473750066012,0.020334002329036593,0.014124991139397025,351.08183400006965
pessimistic,50,bramev_nearest_offer,42,42,42,t00027-c00037,37,27,16,7,True,1,62.6029160048347,632.7286250016186,18.971540994243696,0.02129198401235044,651.7214579798747
pessimistic,50,bramev_nearest_offer,42,42,42,t00027-c00049,49,27,5,5,True,1,87.95212500263005,538.2905000005849,113.46220897394232,0.006750022293999791,651.7594589968212
pessimistic,50,bramev_nearest_offer,42,42,42,t00030-c00016,16,30,5,5,True,1,64.13566699484363,331.9021670031361,0.019291008356958628,0.017708982340991497,331.9391669938341
pessimistic,50,bramev_nearest_offer,42,42,42,t00031-c00016,16,31,5,3,True,1,64.74529200932011,225.656374997925,0.014707999071106315,0.014374993043020368,225.68545799003914
pessimistic,50,bramev_nearest_offer,42,42,42,t00032-c00033,33,32,7,6,True,1,53.15562500618398,256.8915419979021,0.01783299376256764,0.01400001929141581,256.9233750109561
pessimistic,50,bramev_nearest_offer,42,42,42,t00037-c00040,40,37,5,5,True,1,25.07816700381227,171.5780830127187,0.022041989723220468,0.013750017387792468,171.61387501982972
pessimistic,50,bramev_nearest_offer,42,42,42,t00038-c00005,5,38,3,3,True,1,24.076832982245833,483.7950420042034,166.9289999990724,0.014124991139397025,650.7381669944152
pessimistic,50,bramev_nearest_offer,42,42,42,t00038-c00010,10,38,9,9,True,1,80.19404101651162,650.6718750169966,0.11416597408242524,0.008041999535635114,650.7940829906147
pessimistic,50,bramev_nearest_offer,42,42,42,t00038-c00040,40,38,5,4,True,1,436.1667920020409,542.5793750036974,108.21612499421462,0.0048330111894756556,650.8003330091015
pessimistic,50,bramev_nearest_offer,42,42,42,t00039-c00005,5,39,7,6,True,1,116.55562499072403,765.5727079836652,281.88725002110004,0.014791992725804448,1047.474749997491
pessimistic,50,bramev_nearest_offer,42,42,42,t00039-c00010,10,39,7,4,True,1,308.0048749980051,1047.407000005478,0.10020899935625494,0.005624984623864293,1047.5128339894582
pessimistic,50,bramev_nearest_offer,42,42,42,t00039-c00014,14,39,7,7,True,1,81.11974998610094,989.4347919907887,58.06995800230652,0.006707996362820268,1047.511457989458
pessimistic,50,bramev_nearest_offer,42,42,42,t00044-c00027,27,44,3,3,True,1,35.209499998018146,136.04362498153932,0.015375000657513738,0.011167023330926895,136.07016700552776
