scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,50,bramev_nearest_offer,42,42,42,0,1,5,0.4088,1,duration,295,243,52,19,0,0,33,16,8,0,9,0,0,1355,659,0.1882,0.0915,48.792
pessimistic,50,bramev_nearest_offer,42,42,42,1,2,5,0.4006,2,duration,328,242,86,79,0,0,7,2,3,0,2,0,0,231,64,0.0321,0.0089,6.983
pessimistic,50,bramev_nearest_offer,42,42,42,2,1,5,0.5825,1,duration,144,112,32,23,0,0,9,2,2,0,5,0,0,399,76,0.0554,0.0106,13.125
pessimistic,50,bramev_nearest_offer,42,42,42,3,1,5,0.641,1,duration,313,245,68,44,0,0,24,12,3,0,9,0,0,996,507,0.1383,0.0704,41.8
pessimistic,50,bramev_nearest_offer,42,42,42,4,3,5,0.1556,3,duration,288,209,79,34,0,0,45,21,9,0,14,1,0,1699,751,0.236,0.1043,61.367
pessimistic,50,bramev_nearest_offer,42,42,42,5,1,4,0.3813,1,duration,137,109,28,21,0,0,7,3,2,0,2,0,0,286,133,0.0497,0.0231,10.5
pessimistic,50,bramev_nearest_offer,42,42,42,6,0,6,0.5123,0,duration,117,89,28,28,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,50,bramev_nearest_offer,42,42,42,7,1,6,0.5173,1,duration,144,113,31,26,0,0,5,1,2,0,2,0,0,183,38,0.0212,0.0044,5.742
pessimistic,50,bramev_nearest_offer,42,42,42,8,0,5,0.5508,0,duration,140,111,29,25,0,0,4,3,0,0,1,0,0,170,118,0.0236,0.0164,8.1
pessimistic,50,bramev_nearest_offer,42,42,42,9,2,4,0.4882,2,duration,284,207,77,63,0,0,14,6,4,0,4,0,0,543,221,0.0943,0.0384,17.5
pessimistic,50,bramev_nearest_offer,42,42,42,10,0,5,0.356,0,duration,148,113,35,23,0,0,12,7,5,0,0,0,0,432,259,0.06,0.036,13.392
