scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_rejected_request,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
pessimistic,20,greedy,42,42,42,12,3,144,1.115,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.91,0.91,18,0.4047,0.0,38,38,38,1.0,1.0,1.0,39.069,39.069,108.617,4.843,0.008,43.92,160.797,1.0,37.148,38,17,4,7,10,0,0,0.4474,0.1053,0.1842,0.2632,0.4474,0.1053,0.2105,0.2368,1,6.158,38,0,0,0,0,38,0.1505,0.0692,1206,581,0.5182,48.733,0,0,True
pessimistic,20,multistation,42,42,42,12,3,144,2.097,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.91,0.91,18,0.4047,0.0,38,38,38,1.0,1.0,1.842,38.661,80.716,385.454,5.98,0.009,86.705,442.126,1.0,35.369,38,17,4,7,10,0,0,0.4474,0.1053,0.1842,0.2632,0.4474,0.1053,0.2105,0.2368,1,6.158,70,32,0,0,0,70,0.1505,0.0692,1206,581,0.5182,48.733,0,0,True
pessimistic,20,multistation_rep,42,42,42,12,3,144,2.044,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.8869,0.8869,18,0.4259,0.0,134,32,32,0.2388,0.2388,0.388,46.408,74.54,295.599,5.372,0.008,79.92,338.645,1.0,8.883,32,15,3,5,9,0,0,0.4688,0.0938,0.1562,0.2812,0.4688,0.0938,0.1875,0.25,1,6.0,52,20,0,0,212,264,0.125,0.0618,1003,507,0.4945,41.592,0,0,True
pessimistic,20,bramev,42,42,42,12,3,144,2.062,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8869,0.8869,18,0.4259,0.0,134,32,32,0.2388,0.2388,0.388,46.35,75.052,295.386,5.247,0.009,80.308,338.128,1.0,9.028,32,15,3,5,9,0,0,0.4688,0.0938,0.1562,0.2812,0.4688,0.0938,0.1875,0.25,1,6.0,52,20,0,0,212,264,0.125,0.0618,1003,507,0.4945,41.592,0,0,True
pessimistic,20,bramev_nearest_offer,42,42,42,12,3,144,2.044,BRAM-EV / offre la plus proche,variant,True,True,True,nearest,sampled,society,duration,0.8869,0.8869,18,0.4259,0.0,134,32,32,0.2388,0.2388,0.388,46.501,74.666,297.195,5.328,0.008,80.003,340.552,1.0,8.868,32,15,3,5,9,0,0,0.4688,0.0938,0.1562,0.2812,0.4688,0.0938,0.1875,0.25,1,6.0,52,20,0,0,212,264,0.125,0.0618,1003,507,0.4945,41.592,0,0,True
pessimistic,20,bramev_fixed_alpha,42,42,42,12,3,144,2.167,BRAM-EV / alpha fixe,variant,True,True,True,utility,fixed,society,duration,0.8557,0.8557,18,0.409,0.0,138,32,32,0.2319,0.2319,0.406,43.964,74.822,301.583,5.024,0.009,79.856,344.755,1.0,9.002,32,15,3,5,9,0,0,0.4688,0.0938,0.1562,0.2812,0.4688,0.0938,0.1875,0.25,1,5.75,56,24,0,0,229,285,0.1233,0.061,983,495,0.4964,40.391,0,0,True
pessimistic,20,bramev_global_rep,42,42,42,12,3,144,4.699,BRAM-EV / réputation globale,variant,True,True,True,utility,sampled,global,duration,0.7059,0.7059,18,0.3881,0.0,621,21,21,0.0338,0.0338,0.058,52.251,81.353,151.382,13.88,0.011,95.244,161.621,1.0,5.872,21,10,3,3,5,0,0,0.4762,0.1429,0.1429,0.2381,0.4762,0.1429,0.1429,0.2381,0,5.81,36,15,0,0,1197,1233,0.0847,0.0404,673,335,0.5022,26.883,1,0,True
pessimistic,20,bramev_event_score,42,42,42,12,3,144,1.985,BRAM-EV / score par événement,variant,True,True,True,utility,sampled,society,event,0.91,0.91,18,0.4293,0.0,46,38,38,0.8261,0.8261,1.37,41.865,73.85,316.714,6.435,0.009,80.294,374.129,1.0,30.988,38,17,4,7,10,0,0,0.4474,0.1053,0.1842,0.2632,0.4474,0.1053,0.2105,0.2368,1,6.0,63,25,0,0,21,84,0.1471,0.0693,1199,581,0.5154,48.733,0,0,True
pessimistic,40,greedy,42,42,42,12,3,144,2.069,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.8524,0.8546,36,0.4094,1.23,71,71,71,1.0,1.0,1.0,49.381,49.381,205.465,11.043,0.007,60.431,260.492,1.0,35.17,71,34,10,10,17,0,0,0.4789,0.1408,0.1408,0.2394,0.4789,0.1408,0.1549,0.2254,1,6.704,71,0,0,0,0,71,0.2818,0.1339,2257,1114,0.5064,90.99,0,0,True
pessimistic,40,multistation,42,42,42,12,3,144,4.461,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.874,0.8762,36,0.3992,0.576,71,71,71,1.0,1.0,1.986,59.578,111.924,389.998,15.739,0.008,127.671,401.361,1.0,37.542,71,34,10,10,17,0,0,0.4789,0.1408,0.1408,0.2394,0.4789,0.1408,0.1549,0.2254,1,6.62,141,70,0,0,0,141,0.2828,0.1353,2261,1119,0.5051,91.216,0,0,True
