scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,20,bramev,42,42,42,8,5,0.375,0.0
pessimistic,20,bramev,42,42,42,19,1,0.3071,0.0
pessimistic,20,bramev,42,42,42,19,4,0.5936,0.0
pessimistic,20,bramev,42,42,42,16,0,0.4969,0.0
pessimistic,20,bramev,42,42,42,16,9,0.9185,0.0
pessimistic,20,bramev,42,42,42,10,9,0.1986,0.0
pessimistic,20,bramev,42,42,42,5,4,0.3017,0.0
pessimistic,20,bramev,42,42,42,10,4,0.3017,0.0
pessimistic,20,bramev,42,42,42,5,9,0.3285,0.0
pessimistic,20,bramev,42,42,42,2,2,0.6032,0.0
pessimistic,20,bramev,42,42,42,7,3,0.4483,0.0
pessimistic,20,bramev,42,42,42,13,3,0.0887,0.0
pessimistic,20,bramev,42,42,42,7,3,0.4483,0.0
pessimistic,20,bramev,42,42,42,13,3,0.4483,0.0
pessimistic,20,bramev,42,42,42,3,0,0.3382,0.0
pessimistic,20,bramev,42,42,42,12,8,0.3656,0.0
pessimistic,20,bramev,42,42,42,6,11,0.592,0.0
pessimistic,20,bramev,42,42,42,18,3,0.0643,0.0
pessimistic,20,bramev,42,42,42,0,6,0.373,0.0
pessimistic,20,bramev,42,42,42,18,0,0.3197,0.0
pessimistic,20,bramev,42,42,42,14,3,0.4483,0.0
pessimistic,20,bramev,42,42,42,1,3,0.9767,0.0
pessimistic,20,bramev,42,42,42,9,0,0.3382,0.0
pessimistic,20,bramev,42,42,42,14,4,0.3017,0.0
pessimistic,20,bramev,42,42,42,15,11,0.5366,0.0
pessimistic,20,bramev,42,42,42,15,9,0.6323,0.0
pessimistic,20,bramev,42,42,42,11,3,0.4483,0.0
pessimistic,20,bramev,42,42,42,1,4,0.3089,0.0
pessimistic,20,bramev,42,42,42,15,3,0.4483,0.0
