scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,20,bramev_nearest_offer,42,42,42,0,0,5,0.291,0,duration,18,12,6,2,0,0,4,3,0,1,0,0,0,148,104,0.2056,0.1444,7.042
pessimistic,20,bramev_nearest_offer,42,42,42,1,1,5,0.2613,1,duration,37,32,5,4,0,0,1,0,0,0,1,0,0,35,0,0.0486,0.0,1.458
pessimistic,20,bramev_nearest_offer,42,42,42,2,1,5,0.7392,1,duration,24,22,2,1,0,0,1,1,0,0,0,0,0,33,33,0.0458,0.0458,1.65
pessimistic,20,bramev_nearest_offer,42,42,42,3,1,5,0.8901,1,duration,28,19,9,0,0,0,9,3,0,2,4,0,0,236,80,0.3278,0.1111,11.608
pessimistic,20,bramev_nearest_offer,42,42,42,4,2,5,0.1427,2,duration,30,22,8,3,0,0,5,2,0,1,2,0,0,164,103,0.2278,0.1431,6.692
pessimistic,20,bramev_nearest_offer,42,42,42,5,0,4,0.2198,0,duration,20,17,3,1,0,0,2,1,1,0,0,0,0,102,45,0.1771,0.0781,2.25
pessimistic,20,bramev_nearest_offer,42,42,42,6,0,6,0.7086,0,duration,10,8,2,1,0,0,1,1,0,0,0,0,0,34,34,0.0394,0.0394,1.7
pessimistic,20,bramev_nearest_offer,42,42,42,7,0,6,0.5708,0,duration,24,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,20,bramev_nearest_offer,42,42,42,8,0,5,0.808,0,duration,8,6,2,1,0,0,1,1,0,0,0,0,0,23,23,0.0319,0.0319,0.958
pessimistic,20,bramev_nearest_offer,42,42,42,9,1,4,0.4875,1,duration,31,25,6,2,0,0,4,2,0,0,2,0,0,112,52,0.1944,0.0903,5.692
pessimistic,20,bramev_nearest_offer,42,42,42,10,0,5,0.3053,0,duration,9,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,20,bramev_nearest_offer,42,42,42,11,0,4,0.2502,0,duration,25,20,5,1,0,0,4,1,2,1,0,0,0,116,33,0.2014,0.0573,2.542
