scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,40,bramev_event_score,42,42,42,t00000-c00008,8,0,2,2,True,1,104.44274998735636,314.3779590027407,89.90291599184275,0.01291697844862938,404.29379197303206
pessimistic,40,bramev_event_score,42,42,42,t00000-c00020,20,0,3,3,True,1,223.28958299476653,381.56100001651794,22.77337497798726,0.006291025783866644,404.34066602028906
pessimistic,40,bramev_event_score,42,42,42,t00000-c00024,24,0,1,1,True,1,223.26762496959418,223.26762496959418,181.072416016832,0.00404199818149209,404.34408298460767
pessimistic,40,bramev_event_score,42,42,42,t00000-c00025,25,0,1,1,True,1,381.5190839814022,381.5190839814022,22.82087499042973,0.0035410048440098763,404.34349997667596
pessimistic,40,bramev_event_score,42,42,42,t00000-c00033,33,0,1,1,True,1,104.35220901854336,104.35220901854336,300.001457973849,0.004208006430417299,404.3578749988228
pessimistic,40,bramev_event_score,42,42,42,t00000-c00034,34,0,2,2,True,1,245.5673750373535,404.15858302731067,0.19579200306907296,0.0038329744711518288,404.3582080048509
pessimistic,40,bramev_event_score,42,42,42,t00001-c00025,25,1,1,1,True,1,32.571749994531274,32.571749994531274,0.008000002708286047,0.008000002708286047,32.587749999947846
pessimistic,40,bramev_event_score,42,42,42,t00011-c00019,19,11,3,3,True,1,20.77950001694262,86.52529102982953,0.010124989785254002,0.011208991054445505,86.54662501066923
pessimistic,40,bramev_event_score,42,42,42,t00012-c00019,19,12,3,2,True,1,72.4227920291014,117.39145801402628,0.012833974324166775,0.012541015166789293,117.41683300351724
pessimistic,40,bramev_event_score,42,42,42,t00021-c00005,5,21,1,1,True,1,9.99554101144895,9.99554101144895,0.005209003575146198,0.006499991286545992,10.007250006310642
pessimistic,40,bramev_event_score,42,42,42,t00022-c00031,31,22,1,1,True,1,22.738917032256722,22.738917032256722,0.005999987479299307,0.0062909675762057304,22.751207987312227
pessimistic,40,bramev_event_score,42,42,42,t00025-c00037,37,25,2,2,True,1,29.172750015277416,47.17170901130885,0.008957984391599894,0.008875038474798203,47.18954203417525
pessimistic,40,bramev_event_score,42,42,42,t00026-c00037,37,26,4,4,True,1,37.237374985124916,104.37749995617196,0.009707990102469921,0.009417010005563498,104.39662495628
pessimistic,40,bramev_event_score,42,42,42,t00027-c00037,37,27,3,3,True,1,28.68733397917822,76.32679201196879,0.008624978363513947,0.008458038792014122,76.34387502912432
pessimistic,40,bramev_event_score,42,42,42,t00030-c00016,16,30,2,2,True,1,51.75849999068305,82.34879199881107,0.010957999620586634,0.011458003427833319,82.37120800185949
pessimistic,40,bramev_event_score,42,42,42,t00031-c00016,16,31,2,2,True,1,49.47508295299485,85.01979196444154,0.012500036973506212,0.012999982573091984,85.04529198398814
pessimistic,40,bramev_event_score,42,42,42,t00038-c00010,10,38,3,3,True,1,33.50058401701972,98.81283401045948,0.012415985111147165,0.013749988283962011,98.83899998385459
pessimistic,40,bramev_event_score,42,42,42,t00039-c00005,5,39,3,3,True,1,100.10329098440707,402.6541659841314,0.013209006283432245,0.012791017070412636,402.68016600748524
pessimistic,40,bramev_event_score,42,42,42,t00039-c00010,10,39,3,2,True,1,274.89620802225545,402.626583003439,0.12199999764561653,0.005749985575675964,402.7543329866603
pessimistic,40,bramev_event_score,42,42,42,t00039-c00014,14,39,3,3,True,1,64.5816660253331,333.1587910070084,69.60383401019499,0.004749977961182594,402.7673749951646
pessimistic,40,bramev_event_score,42,42,42,t00040-c00033,33,40,4,2,True,1,54.533249989617616,97.51400002278388,10.871124977711588,0.024333014152944088,108.40945801464841
pessimistic,40,bramev_event_score,42,42,42,t00041-c00005,5,41,3,2,True,1,8.93983303103596,23.397041019052267,0.0071249669417738914,0.008875038474798203,23.41304102446884
pessimistic,40,bramev_event_score,42,42,42,t00044-c00027,27,44,1,1,True,1,22.615124995354563,22.615124995354563,0.005167035851627588,0.006374961230903864,22.626666992437094
pessimistic,40,bramev_event_score,42,42,42,t00045-c00002,2,45,3,3,True,1,26.219707971904427,103.56554196914658,0.010125047992914915,0.010957999620586634,103.58662501676008
pessimistic,40,bramev_event_score,42,42,42,t00050-c00007,7,50,1,1,True,1,40.081834013108164,40.081834013108164,0.0072499969974160194,0.007916009053587914,40.09700001915917
pessimistic,40,bramev_event_score,42,42,42,t00050-c00013,13,50,1,1,True,1,40.0570830097422,40.0570830097422,0.06445799954235554,0.00462500611320138,40.12616601539776
pessimistic,40,bramev_event_score,42,42,42,t00051-c00007,7,51,1,1,True,1,75.2154589863494,75.2154589863494,0.009500014130026102,0.008833012543618679,75.23379201302305
pessimistic,40,bramev_event_score,42,42,42,t00051-c00013,13,51,1,1,True,1,75.19033399876207,75.19033399876207,0.06450002547353506,0.004749977961182594,75.25958400219679
pessimistic,40,bramev_event_score,42,42,42,t00052-c00038,38,52,1,1,True,1,24.13649996742606,24.13649996742606,0.005792011506855488,0.006832997314631939,24.14912497624755
pessimistic,40,bramev_event_score,42,42,42,t00054-c00025,25,54,1,0,False,0,,,,,
pessimistic,40,bramev_event_score,42,42,42,t00055-c00025,25,55,1,0,False,0,,,,,
pessimistic,40,bramev_event_score,42,42,42,t00056-c00025,25,56,1,1,True,1,64.60933299968019,64.60933299968019,0.008624978363513947,0.009874987881630659,64.62783296592534
pessimistic,40,bramev_event_score,42,42,42,t00057-c00023,23,57,1,1,True,1,56.69791699619964,56.69791699619964,74.93529102066532,0.009167008101940155,131.6423750249669
pessimistic,40,bramev_event_score,42,42,42,t00057-c00038,38,57,3,3,True,1,88.67858402663842,131.59891701070592,0.07854198338463902,0.005791021976619959,131.68325001606718
pessimistic,40,bramev_event_score,42,42,42,t00058-c00001,1,58,1,1,True,1,105.43391696410254,105.43391696410254,0.006415997631847858,0.008375034667551517,105.44870799640194
pessimistic,40,bramev_event_score,42,42,42,t00058-c00038,38,58,3,2,True,1,37.76666696649045,61.856792017351836,43.61104097915813,0.005542009603232145,105.4733750061132
pessimistic,40,bramev_event_score,42,42,42,t00060-c00003,3,60,1,1,True,1,40.74766597477719,40.74766597477719,0.007416994776576757,0.008750008419156075,40.763832977972925
pessimistic,40,bramev_event_score,42,42,42,t00061-c00012,12,61,4,4,True,1,28.55950000230223,82.35474996035919,0.011125055607408285,0.009374984074383974,82.37525000004098
pessimistic,40,bramev_event_score,42,42,42,t00063-c00037,37,63,1,1,True,1,37.87891601677984,37.87891601677984,0.007209018804132938,0.0072499969974160194,37.89337503258139
pessimistic,40,bramev_event_score,42,42,42,t00064-c00023,23,64,3,2,True,1,48.61400002846494,112.3758340254426,0.01033296575769782,0.010917021427303553,112.3970840126276
pessimistic,40,bramev_event_score,42,42,42,t00066-c00036,36,66,3,3,True,1,41.510459035634995,103.15195901785046,0.01029099803417921,0.009209034033119678,103.17145904991776
pessimistic,40,bramev_event_score,42,42,42,t00067-c00039,39,67,4,4,True,1,49.67741703148931,130.5837090476416,0.012207950931042433,0.009958050213754177,130.6058750487864
pessimistic,40,bramev_event_score,42,42,42,t00070-c00039,39,70,3,3,True,1,40.977500029839575,93.46866700798273,0.01183303538709879,0.00925001222640276,93.48975005559623
pessimistic,40,bramev_event_score,42,42,42,t00085-c00006,6,85,1,1,True,1,20.198750018607825,20.198750018607825,0.006916990969330072,0.008791976142674685,20.21445898571983
pessimistic,40,bramev_event_score,42,42,42,t00089-c00018,18,89,1,1,True,1,22.06550003029406,22.06550003029406,0.005292007699608803,0.006332993507385254,22.077125031501055
pessimistic,40,bramev_event_score,42,42,42,t00091-c00032,32,91,3,3,True,1,38.29754202160984,96.77329199621454,0.009792041964828968,0.008999952115118504,96.79208399029449
pessimistic,40,bramev_event_score,42,42,42,t00095-c00000,0,95,3,3,True,1,76.16195798618719,145.10699996026233,0.007958034984767437,0.008917006198316813,145.1238750014454
pessimistic,40,bramev_event_score,42,42,42,t00095-c00018,18,95,1,1,True,1,29.27366702351719,29.27366702351719,115.87066599167883,0.004708999767899513,145.14904201496392
pessimistic,40,bramev_event_score,42,42,42,t00097-c00030,30,97,3,3,True,1,69.33349999599159,195.35350002115592,0.014166987966746092,0.010666029993444681,195.37833303911611
pessimistic,40,bramev_event_score,42,42,42,t00097-c00032,32,97,3,2,True,1,69.31204098509625,195.3322910121642,0.08229201193898916,0.005291949491947889,195.41987497359514
pessimistic,40,bramev_event_score,42,42,42,t00099-c00028,28,99,1,1,True,1,22.906458005309105,22.906458005309105,0.005375011824071407,0.007958966307342052,22.91979198344052
pessimistic,40,bramev_event_score,42,42,42,t00102-c00014,14,102,1,1,True,1,10.256291017867625,10.256291017867625,0.005292007699608803,0.006499991286545992,10.26808301685378
pessimistic,40,bramev_event_score,42,42,42,t00103-c00014,14,103,2,1,True,1,12.945541006047279,12.945541006047279,22.8789999964647,0.006874965038150549,35.83141596755013
pessimistic,40,bramev_event_score,42,42,42,t00103-c00022,22,103,1,1,True,1,35.798166994936764,35.798166994936764,0.04791701212525368,0.00462500611320138,35.85070901317522
pessimistic,40,bramev_event_score,42,42,42,t00104-c00014,14,104,2,1,True,1,12.15037499787286,12.15037499787286,3.404917020816356,0.006582995411008596,15.561875014100224
pessimistic,40,bramev_event_score,42,42,42,t00105-c00014,14,105,2,1,True,1,11.86383399181068,11.86383399181068,3.3239159965887666,0.00666698906570673,15.194416977465153
pessimistic,40,bramev_event_score,42,42,42,t00106-c00022,22,106,1,0,False,0,,,,,
pessimistic,40,bramev_event_score,42,42,42,t00107-c00001,1,107,2,1,True,1,41.472457989584655,41.472457989584655,3.8511670427396894,0.007374968845397234,45.33100000116974
pessimistic,40,bramev_event_score,42,42,42,t00107-c00009,9,107,1,1,True,1,28.038208023644984,28.038208023644984,17.306916997767985,0.004375004209578037,45.34950002562255
pessimistic,40,bramev_event_score,42,42,42,t00107-c00022,22,107,1,1,True,1,41.428916971199214,41.428916971199214,3.917000023648143,0.003167020622640848,45.34908401547
pessimistic,40,bramev_event_score,42,42,42,t00110-c00001,1,110,1,1,True,1,3.0279160127975047,3.0279160127975047,0.003834022209048271,0.005790963768959045,3.037540998775512
pessimistic,40,bramev_event_score,42,42,42,t00111-c00001,1,111,1,1,True,1,3.309749998152256,3.309749998152256,0.0035830307751893997,0.005582987796515226,3.3189160167239606
pessimistic,40,bramev_event_score,42,42,42,t00113-c00001,1,113,2,1,True,1,2.692667010705918,2.692667010705918,2.553416008595377,0.007833994459360838,5.253917013760656
pessimistic,40,bramev_event_score,42,42,42,t00117-c00015,15,117,1,1,True,1,9.078833041712642,9.078833041712642,0.004457950126379728,0.005959009286016226,9.089250001125038
pessimistic,40,bramev_event_score,42,42,42,t00118-c00015,15,118,2,2,True,1,12.143165979068726,19.843165995553136,0.005499983672052622,0.006334041245281696,19.85500002047047
pessimistic,40,bramev_event_score,42,42,42,t00119-c00037,37,119,1,1,True,1,1.7161659779958427,1.7161659779958427,0.003999972250312567,0.005250039976090193,1.7254159902222455
pessimistic,40,bramev_event_score,42,42,42,t00120-c00011,11,120,1,0,False,0,,,,,
pessimistic,40,bramev_event_score,42,42,42,t00121-c00011,11,121,4,4,True,1,6.523582967929542,27.853291016072035,0.0076249707490205765,0.006999995093792677,27.867915981914848
pessimistic,40,bramev_event_score,42,42,42,t00121-c00015,15,121,1,1,True,1,27.831667044665664,27.831667044665664,0.042290950659662485,0.004458997864276171,27.878416993189603
pessimistic,40,bramev_event_score,42,42,42,t00125-c00015,15,125,2,1,True,1,8.083083957899362,8.083083957899362,2.1139580057933927,0.006749993190169334,10.203791956882924
pessimistic,40,bramev_event_score,42,42,42,t00125-c00021,21,125,1,0,False,0,,,,,
pessimistic,40,bramev_event_score,42,42,42,t00126-c00015,15,126,2,1,True,1,8.632084005512297,8.632084005512297,2.2114579915069044,0.007792026735842228,10.851334023755044
pessimistic,40,bramev_event_score,42,42,42,t00126-c00021,21,126,1,0,False,0,,,,,
pessimistic,40,bramev_event_score,42,42,42,t00127-c00021,21,127,2,2,True,1,5.76366699533537,11.4258750109002,0.00604201341047883,0.005875015631318092,11.437792039941996
pessimistic,40,bramev_event_score,42,42,42,t00132-c00030,30,132,1,1,True,1,3.825749969109893,3.825749969109893,0.00404199818149209,0.005708017852157354,3.8354999851435423
pessimistic,40,bramev_event_score,42,42,42,t00133-c00030,30,133,2,2,True,1,2.539833018090576,5.0438750186003745,0.004749977961182594,0.006416987162083387,5.05504198372364
pessimistic,40,bramev_event_score,42,42,42,t00137-c00026,26,137,3,3,True,1,1.5708329738117754,4.572291974909604,0.005249981768429279,0.005791021976619959,4.583332978654653
