scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,bramev_fixed_alpha,42,42,42,0,0,5,0.5,0,duration,45,36,9,2,0,0,7,4,1,1,1,0,0,261,136,0.3625,0.1889,10.95
pessimistic,40,bramev_fixed_alpha,42,42,42,1,1,5,0.5,1,duration,63,50,13,10,0,0,3,2,0,0,1,0,0,117,82,0.1625,0.1139,4.692
pessimistic,40,bramev_fixed_alpha,42,42,42,2,1,5,0.5,1,duration,39,35,4,1,0,0,3,3,0,0,0,0,0,74,74,0.1028,0.1028,3.408
pessimistic,40,bramev_fixed_alpha,42,42,42,3,1,5,0.5,1,duration,54,42,12,0,0,0,12,6,0,3,3,0,0,331,161,0.4597,0.2236,16.317
pessimistic,40,bramev_fixed_alpha,42,42,42,4,2,5,0.5,2,duration,54,36,18,6,0,0,12,5,2,1,4,0,0,399,227,0.5542,0.3153,15.558
pessimistic,40,bramev_fixed_alpha,42,42,42,5,0,4,0.5,0,duration,30,25,5,2,0,0,3,1,2,0,0,0,0,153,45,0.2656,0.0781,2.25
pessimistic,40,bramev_fixed_alpha,42,42,42,6,0,6,0.5,0,duration,29,23,6,4,0,0,2,1,0,1,0,0,0,62,34,0.0718,0.0394,3.1
pessimistic,40,bramev_fixed_alpha,42,42,42,7,0,6,0.5,0,duration,39,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,40,bramev_fixed_alpha,42,42,42,8,0,5,0.5,0,duration,33,26,7,6,0,0,1,1,0,0,0,0,0,23,23,0.0319,0.0319,0.958
pessimistic,40,bramev_fixed_alpha,42,42,42,9,1,4,0.5,1,duration,58,44,14,6,0,0,8,4,0,0,4,0,0,259,123,0.4497,0.2135,12.933
pessimistic,40,bramev_fixed_alpha,42,42,42,10,0,5,0.5,0,duration,27,20,7,5,0,0,2,1,1,0,0,0,0,29,28,0.0403,0.0389,1.4
pessimistic,40,bramev_fixed_alpha,42,42,42,11,0,4,0.5,0,duration,71,58,13,3,0,0,10,3,2,2,3,0,0,285,91,0.4948,0.158,11.175
