scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,40,bramev_nearest_offer,42,42,42,t00000-c00008,8,0,2,2,True,1,102.83783305203542,314.3366660224274,90.08170902961865,0.012665987014770508,404.4310410390608
pessimistic,40,bramev_nearest_offer,42,42,42,t00000-c00020,20,0,3,3,True,1,223.05083298124373,381.51587499305606,22.969166981056333,0.005832989700138569,404.49087496381253
pessimistic,40,bramev_nearest_offer,42,42,42,t00000-c00024,24,0,1,1,True,1,223.03254203870893,223.03254203870893,181.46095797419548,0.0038330326788127422,404.4973330455832
pessimistic,40,bramev_nearest_offer,42,42,42,t00000-c00025,25,0,1,1,True,1,381.48041698150337,381.48041698150337,23.01558299222961,0.003208988346159458,404.49920896207914
pessimistic,40,bramev_nearest_offer,42,42,42,t00000-c00033,33,0,1,1,True,1,102.76191600132734,102.76191600132734,301.7494169762358,0.0035830307751893997,404.51491600833833
pessimistic,40,bramev_nearest_offer,42,42,42,t00000-c00034,34,0,2,2,True,1,245.35841698525473,404.3134580133483,0.19874999998137355,0.003500026650726795,404.5157080399804
pessimistic,40,bramev_nearest_offer,42,42,42,t00001-c00025,25,1,1,1,True,1,32.320250000339,32.320250000339,0.008167000487446785,0.00962504418566823,32.338042045012116
pessimistic,40,bramev_nearest_offer,42,42,42,t00011-c00019,19,11,3,3,True,1,20.831125031691045,86.80491702398285,0.010083022061735392,0.008791976142674685,86.82379202218726
pessimistic,40,bramev_nearest_offer,42,42,42,t00012-c00019,19,12,3,1,True,1,71.78100000601262,71.78100000601262,5.258499993942678,0.011124997399747372,77.05062499735504
pessimistic,40,bramev_nearest_offer,42,42,42,t00021-c00005,5,21,1,1,True,1,10.099457984324545,10.099457984324545,0.005166977643966675,0.00662502134218812,10.1112499833107
pessimistic,40,bramev_nearest_offer,42,42,42,t00022-c00031,31,22,1,1,True,1,23.106500040739775,23.106500040739775,0.005707959644496441,0.006667047273367643,23.11887504765764
pessimistic,40,bramev_nearest_offer,42,42,42,t00025-c00037,37,25,2,2,True,1,29.47508404031396,47.680834017228335,0.008916016668081284,0.008000002708286047,47.6977500366047
pessimistic,40,bramev_nearest_offer,42,42,42,t00026-c00037,37,26,4,4,True,1,36.96291596861556,104.46883301483467,0.014791963621973991,0.010374991688877344,104.49399997014552
pessimistic,40,bramev_nearest_offer,42,42,42,t00027-c00037,37,27,3,1,True,1,28.692124993540347,28.692124993540347,4.358000005595386,0.007541966624557972,33.05766696576029
pessimistic,40,bramev_nearest_offer,42,42,42,t00030-c00016,16,30,2,2,True,1,51.246332994196564,81.98962500318885,0.009832961950451136,0.013125012628734112,82.01258297776803
pessimistic,40,bramev_nearest_offer,42,42,42,t00031-c00016,16,31,2,0,False,0,,,,,
pessimistic,40,bramev_nearest_offer,42,42,42,t00032-c00016,16,32,2,0,False,0,,,,,
