scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,multistation_rep,42,42,42,0,0,5,0.291,0,duration,44,35,9,2,0,0,7,4,1,1,1,0,0,261,136,0.3625,0.1889,10.95
pessimistic,40,multistation_rep,42,42,42,1,1,5,0.2613,1,duration,61,48,13,10,0,0,3,2,0,0,1,0,0,117,82,0.1625,0.1139,4.692
pessimistic,40,multistation_rep,42,42,42,2,1,5,0.7392,1,duration,39,36,3,1,0,0,2,2,0,0,0,0,0,72,72,0.1,0.1,3.275
pessimistic,40,multistation_rep,42,42,42,3,1,5,0.8901,1,duration,56,41,15,0,0,0,15,8,0,3,4,0,0,408,223,0.5667,0.3097,20.792
pessimistic,40,multistation_rep,42,42,42,4,2,5,0.1427,2,duration,53,36,17,6,0,0,11,5,2,1,3,0,0,392,227,0.5444,0.3153,15.15
pessimistic,40,multistation_rep,42,42,42,5,0,4,0.2198,0,duration,28,23,5,2,0,0,3,1,2,0,0,0,0,153,45,0.2656,0.0781,2.25
pessimistic,40,multistation_rep,42,42,42,6,0,6,0.7086,0,duration,24,19,5,3,0,0,2,1,0,1,0,0,0,62,34,0.0718,0.0394,3.1
pessimistic,40,multistation_rep,42,42,42,7,0,6,0.5708,0,duration,39,37,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,40,multistation_rep,42,42,42,8,0,5,0.808,0,duration,26,20,6,4,0,0,2,2,0,0,0,0,0,28,28,0.0389,0.0389,1.292
pessimistic,40,multistation_rep,42,42,42,9,1,4,0.4875,1,duration,57,43,14,6,0,0,8,4,0,0,4,0,0,259,123,0.4497,0.2135,12.933
pessimistic,40,multistation_rep,42,42,42,10,0,5,0.3053,0,duration,23,17,6,5,0,0,1,0,1,0,0,0,0,1,0,0.0014,0.0,0.0
pessimistic,40,multistation_rep,42,42,42,11,0,4,0.2502,0,duration,62,51,11,2,0,0,9,2,2,2,3,0,0,263,69,0.4566,0.1198,9.708
