scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,multistation,42,42,42,0,0,5,0.291,0,duration,12,0,12,2,0,0,10,7,1,1,1,0,0,395,270,0.5486,0.375,17.542
pessimistic,40,multistation,42,42,42,1,1,5,0.2613,1,duration,16,0,16,11,0,0,5,3,1,0,1,0,0,200,132,0.2778,0.1833,6.775
pessimistic,40,multistation,42,42,42,2,1,5,0.7392,1,duration,3,0,3,2,0,0,1,1,0,0,0,0,0,33,33,0.0458,0.0458,1.65
pessimistic,40,multistation,42,42,42,3,1,5,0.8901,1,duration,16,0,16,1,0,0,15,8,0,4,3,0,0,433,223,0.6014,0.3097,20.033
pessimistic,40,multistation,42,42,42,4,2,5,0.1427,2,duration,15,0,15,7,0,0,8,4,1,0,3,0,0,258,141,0.3583,0.1958,12.1
pessimistic,40,multistation,42,42,42,5,0,4,0.2198,0,duration,9,0,9,6,0,0,3,1,2,0,0,0,0,153,45,0.2656,0.0781,2.25
pessimistic,40,multistation,42,42,42,6,0,6,0.7086,0,duration,9,0,9,7,0,0,2,1,0,1,0,0,0,62,34,0.0718,0.0394,3.1
pessimistic,40,multistation,42,42,42,7,0,6,0.5708,0,duration,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,40,multistation,42,42,42,8,0,5,0.808,0,duration,12,0,12,11,0,0,1,1,0,0,0,0,0,23,23,0.0319,0.0319,0.958
pessimistic,40,multistation,42,42,42,9,1,4,0.4875,1,duration,16,0,16,12,0,0,4,1,0,0,3,0,0,140,37,0.2431,0.0642,5.858
pessimistic,40,multistation,42,42,42,10,0,5,0.3053,0,duration,10,0,10,5,0,0,5,2,1,1,1,0,0,86,40,0.1194,0.0556,4.15
pessimistic,40,multistation,42,42,42,11,0,4,0.2502,0,duration,21,0,21,4,0,0,17,5,4,3,5,0,0,478,141,0.8299,0.2448,16.8
