scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,20,bramev_fixed_alpha,42,42,42,8,5,0.375,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,19,1,0.3071,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,19,4,0.5936,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,16,0,0.4969,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,16,2,1.208,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,10,9,0.1986,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,10,4,0.3017,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,5,9,2.4318,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,2,2,0.6032,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,5,4,3.1179,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,7,3,0.4483,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,13,3,0.0887,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,7,5,1.5182,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,13,5,1.5182,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,3,0,0.3382,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,12,8,0.3656,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,6,11,0.592,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,18,3,0.0643,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,0,6,0.373,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,18,5,1.512,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,14,2,1.3983,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,14,4,0.8844,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,9,0,0.3382,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,1,9,2.4318,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,1,4,3.7568,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,15,11,0.5366,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,15,9,0.6323,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,11,3,0.4483,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,15,4,2.7523,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,4,11,0.5073,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,17,4,0.3017,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,17,1,0.5594,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,4,9,1.8464,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,17,7,1.9935,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,5,4,2.7986,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,12,4,0.3017,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,12,11,0.4146,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,18,11,0.592,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,12,9,2.041,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,19,0,0.5169,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,6,10,0.3501,0.0
pessimistic,20,bramev_fixed_alpha,42,42,42,2,1,0.6067,0.0
