scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,20,bramev,42,42,42,0,0,5,0.291,0,duration,322,316,6,2,0,0,4,3,0,1,0,0,0,142,98,0.0986,0.0681,7.008
pessimistic,20,bramev,42,42,42,1,1,5,0.3242,1,duration,366,356,10,7,0,0,3,0,0,0,3,0,0,71,0,0.0493,0.0,3.55
pessimistic,20,bramev,42,42,42,2,1,5,0.7542,1,duration,341,336,5,2,0,0,3,2,0,1,0,0,0,116,76,0.0806,0.0528,5.492
pessimistic,20,bramev,42,42,42,3,1,5,0.8901,1,duration,355,344,11,3,0,0,8,5,0,1,2,0,0,211,137,0.1465,0.0951,11.825
pessimistic,20,bramev,42,42,42,4,2,5,0.1427,2,duration,354,341,13,6,0,0,7,2,0,1,4,0,0,278,103,0.1931,0.0715,11.592
pessimistic,20,bramev,42,42,42,5,0,4,0.227,0,duration,358,353,5,2,0,0,3,2,1,0,0,0,0,136,79,0.1181,0.0686,3.383
pessimistic,20,bramev,42,42,42,6,0,6,0.6669,0,duration,419,413,6,5,0,0,1,1,0,0,0,0,0,34,34,0.0197,0.0197,1.7
pessimistic,20,bramev,42,42,42,7,0,6,0.5428,0,duration,339,336,3,2,0,0,1,0,0,0,1,0,0,30,0,0.0174,0.0,1.75
pessimistic,20,bramev,42,42,42,8,0,5,0.7563,0,duration,412,406,6,5,0,0,1,1,0,0,0,0,0,23,23,0.016,0.016,0.958
pessimistic,20,bramev,42,42,42,9,1,4,0.5278,1,duration,364,354,10,4,0,0,6,2,0,0,4,0,0,192,71,0.1667,0.0616,8.55
pessimistic,20,bramev,42,42,42,10,0,5,0.3038,0,duration,405,400,5,4,0,0,1,0,0,0,1,0,0,2,0,0.0014,0.0,0.083
pessimistic,20,bramev,42,42,42,11,0,4,0.2543,0,duration,402,392,10,1,0,0,9,2,4,2,1,0,0,276,49,0.2396,0.0425,7.425
