scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,bramev_event_score,42,42,42,0,0,5,0.3427,0,event,38,23,15,3,0,0,12,5,3,1,3,0,0,393,173,0.2729,0.1201,15.425
pessimistic,40,bramev_event_score,42,42,42,1,1,5,0.3242,1,event,38,16,22,16,0,0,6,2,1,0,3,0,0,186,82,0.1292,0.0569,6.783
pessimistic,40,bramev_event_score,42,42,42,2,1,5,0.7542,1,event,27,14,13,9,0,0,4,1,2,1,0,0,0,112,33,0.0778,0.0229,2.983
pessimistic,40,bramev_event_score,42,42,42,3,1,5,0.8901,1,event,37,11,26,3,0,0,23,12,4,3,4,0,0,734,390,0.5097,0.2708,31.008
pessimistic,40,bramev_event_score,42,42,42,4,2,5,0.1427,2,event,36,15,21,8,0,0,13,6,2,1,4,0,0,473,220,0.3285,0.1528,18.9
pessimistic,40,bramev_event_score,42,42,42,5,0,4,0.2787,0,event,32,22,10,7,0,0,3,1,2,0,0,0,0,153,45,0.1328,0.0391,2.25
pessimistic,40,bramev_event_score,42,42,42,6,0,6,0.7186,0,event,33,13,20,17,0,0,3,2,0,1,0,0,0,99,71,0.0573,0.0411,4.642
pessimistic,40,bramev_event_score,42,42,42,7,0,6,0.5945,0,event,24,17,7,4,0,0,3,3,0,0,0,0,0,55,55,0.0318,0.0318,2.308
pessimistic,40,bramev_event_score,42,42,42,8,0,5,0.808,0,event,36,11,25,9,0,0,16,7,2,2,5,0,0,509,209,0.3535,0.1451,22.075
pessimistic,40,bramev_event_score,42,42,42,9,1,4,0.5278,1,event,37,11,26,16,0,0,10,3,1,2,4,0,0,381,139,0.3307,0.1207,15.908
pessimistic,40,bramev_event_score,42,42,42,10,0,5,0.3555,0,event,35,22,13,9,0,0,4,0,1,1,2,0,0,117,0,0.0813,0.0,3.5
pessimistic,40,bramev_event_score,42,42,42,11,0,4,0.306,0,event,44,24,20,4,0,0,16,5,4,2,5,0,0,532,172,0.4618,0.1493,20.308
