scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,40,bramev_fixed_alpha,42,42,42,t00000-c00008,8,0,2,0,2,True,1,107.84466698532924,326.9791670027189,93.3108750032261,0.012416974641382694,420.3024589805864
pessimistic,40,bramev_fixed_alpha,42,42,42,t00000-c00020,20,0,3,0,3,True,1,230.04895797930658,395.9772079833783,24.372209038119763,0.006707967258989811,420.3561249887571
pessimistic,40,bramev_fixed_alpha,42,42,42,t00000-c00024,24,0,1,0,1,True,1,230.02799996174872,230.02799996174872,190.33025001408532,0.004458008334040642,420.3627079841681
pessimistic,40,bramev_fixed_alpha,42,42,42,t00000-c00025,25,0,1,0,1,True,1,395.9368339856155,395.9368339856155,24.424250004813075,0.0037910067476332188,420.36487499717623
pessimistic,40,bramev_fixed_alpha,42,42,42,t00000-c00033,33,0,1,0,1,True,1,107.75758302770555,107.75758302770555,312.61887500295416,0.004458997864276171,420.380917028524
pessimistic,40,bramev_fixed_alpha,42,42,42,t00000-c00034,34,0,2,0,2,True,1,254.21874999301508,420.17379199387506,0.2049999893642962,0.0038330326788127422,420.38262501591817
pessimistic,40,bramev_fixed_alpha,42,42,42,t00001-c00025,25,1,1,0,1,True,1,34.33062502881512,34.33062502881512,0.005915993824601173,0.0071249669417738914,34.343665989581496
pessimistic,40,bramev_fixed_alpha,42,42,42,t00011-c00019,19,11,3,0,3,True,1,22.578082978725433,91.67616599006578,0.011417025234550238,0.010666961316019297,91.69824997661635
pessimistic,40,bramev_fixed_alpha,42,42,42,t00012-c00019,19,12,3,0,1,True,1,76.2958750128746,76.2958750128746,6.80350000038743,0.025999965146183968,83.12537497840822
pessimistic,40,bramev_fixed_alpha,42,42,42,t00021-c00005,5,21,1,0,1,True,1,11.727374978363514,11.727374978363514,0.00825000461190939,0.01029198756441474,11.745916970539838
pessimistic,40,bramev_fixed_alpha,42,42,42,t00022-c00031,31,22,1,0,1,True,1,25.18058300483972,25.18058300483972,0.011584023013710976,0.011374999303370714,25.2035420271568
pessimistic,40,bramev_fixed_alpha,42,42,42,t00025-c00037,37,25,2,0,2,True,1,32.10616600699723,52.1231250022538,0.014666002243757248,0.013375014532357454,52.151166019029915
pessimistic,40,bramev_fixed_alpha,42,42,42,t00026-c00037,37,26,4,0,4,True,1,39.61137501755729,112.21937503432855,0.014040968380868435,0.013417040463536978,112.24683304317296
pessimistic,40,bramev_fixed_alpha,42,42,42,t00027-c00037,37,27,3,0,1,True,1,32.0112089975737,32.0112089975737,5.519250000361353,0.009083014447242022,37.5395420123823
pessimistic,40,bramev_fixed_alpha,42,42,42,t00030-c00016,16,30,2,0,2,True,1,53.27320797368884,85.25529102189466,0.00908400397747755,0.010165967978537083,85.27454099385068
pessimistic,40,bramev_fixed_alpha,42,42,42,t00031-c00016,16,31,4,1,1,True,1,77.92712497757748,77.92712497757748,14.667500043287873,0.014666991773992777,92.60929201263934
pessimistic,40,bramev_fixed_alpha,42,42,42,t00038-c00010,10,38,3,0,3,True,1,40.48716597026214,115.26637501083314,0.01391599653288722,0.014374963939189911,115.29466597130522
pessimistic,40,bramev_fixed_alpha,42,42,42,t00039-c00005,5,39,9,3,4,True,1,390.2779169729911,437.13533302070573,9.744042006786913,0.014416989870369434,446.893792017363
pessimistic,40,bramev_fixed_alpha,42,42,42,t00039-c00010,10,39,3,0,1,True,1,223.81125000538304,223.81125000538304,73.41008400544524,0.018624996300786734,297.2399590071291
pessimistic,40,bramev_fixed_alpha,42,42,42,t00039-c00014,14,39,3,0,3,True,1,88.12225004658103,285.8553749974817,11.434792017098516,0.0075410353019833565,297.2977080498822
pessimistic,40,bramev_fixed_alpha,42,42,42,t00040-c00033,33,40,1,0,1,True,1,35.991459037177265,35.991459037177265,21.516207954846323,0.014458026271313429,57.5221250182949
pessimistic,40,bramev_fixed_alpha,42,42,42,t00044-c00005,5,44,12,3,1,True,1,238.70499996701255,238.70499996701255,38.01916603697464,0.012416974641382694,276.7365829786286
pessimistic,40,bramev_fixed_alpha,42,42,42,t00044-c00027,27,44,1,0,1,True,1,33.028332982212305,33.028332982212305,11.270458984654397,0.009166018571704626,44.30795798543841
pessimistic,40,bramev_fixed_alpha,42,42,42,t00045-c00002,2,45,3,0,3,True,1,32.29883295716718,121.2994169909507,11.499540996737778,0.017499958630651236,132.81645794631913
pessimistic,40,bramev_fixed_alpha,42,42,42,t00050-c00007,7,50,1,0,1,True,1,80.62424999661744,80.62424999661744,0.010791991371661425,0.01133297337219119,80.64637496136129
pessimistic,40,bramev_fixed_alpha,42,42,42,t00050-c00013,13,50,1,0,1,True,1,80.59729204978794,80.59729204978794,0.08979096310213208,0.005834037438035011,80.6929170503281
pessimistic,40,bramev_fixed_alpha,42,42,42,t00051-c00013,13,51,5,2,4,True,1,84.22600000631064,192.45554198278114,0.09849999332800508,0.006958027370274067,192.56100000347942
pessimistic,40,bramev_fixed_alpha,42,42,42,t00052-c00007,7,52,2,1,1,True,1,77.61766598559916,77.61766598559916,108.23966702446342,0.011582975275814533,185.8689159853384
pessimistic,40,bramev_fixed_alpha,42,42,42,t00052-c00038,38,52,1,0,1,True,1,34.424500016029924,34.424500016029924,0.015874975360929966,0.00866700429469347,34.44904199568555
