scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,bramev_global_rep,42,42,42,0,0,5,0.291,0,duration,2214,2204,10,2,0,0,8,4,1,1,2,0,0,275,139,0.191,0.0965,11.567
pessimistic,40,bramev_global_rep,42,42,42,1,1,5,0.3242,0,duration,2404,2391,13,9,0,0,4,2,0,0,2,0,0,118,82,0.0819,0.0569,4.742
pessimistic,40,bramev_global_rep,42,42,42,2,1,5,0.7542,0,duration,2347,2343,4,3,0,0,1,1,0,0,0,0,0,33,33,0.0229,0.0229,1.65
pessimistic,40,bramev_global_rep,42,42,42,3,1,5,0.8901,0,duration,2222,2207,15,2,0,0,13,7,1,2,3,0,0,409,252,0.284,0.175,20.6
pessimistic,40,bramev_global_rep,42,42,42,4,2,5,0.1427,0,duration,2304,2293,11,4,0,0,7,1,3,0,3,0,0,205,40,0.1424,0.0278,7.225
pessimistic,40,bramev_global_rep,42,42,42,5,0,4,0.227,0,duration,2333,2328,5,3,0,0,2,1,1,0,0,0,0,102,45,0.0885,0.0391,2.25
pessimistic,40,bramev_global_rep,42,42,42,6,0,6,0.6669,0,duration,2590,2582,8,7,0,0,1,1,0,0,0,0,0,34,34,0.0197,0.0197,1.7
pessimistic,40,bramev_global_rep,42,42,42,7,0,6,0.5428,0,duration,2333,2331,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,40,bramev_global_rep,42,42,42,8,0,5,0.7563,0,duration,2488,2479,9,6,0,0,3,2,0,1,0,0,0,77,41,0.0535,0.0285,3.208
pessimistic,40,bramev_global_rep,42,42,42,9,1,4,0.5278,0,duration,2359,2348,11,8,0,0,3,1,0,0,2,0,0,119,37,0.1033,0.0321,4.633
pessimistic,40,bramev_global_rep,42,42,42,10,0,5,0.3038,0,duration,2474,2463,11,7,0,0,4,0,1,1,2,0,0,117,0,0.0813,0.0,3.5
pessimistic,40,bramev_global_rep,42,42,42,11,0,4,0.2543,0,duration,2338,2323,15,3,0,0,12,2,4,2,4,0,0,405,69,0.3516,0.0599,13.75
