scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,40,multistation_rep,42,42,42,8,5,0.375,0.0
pessimistic,40,multistation_rep,42,42,42,20,1,0.402,0.0
pessimistic,40,multistation_rep,42,42,42,24,1,0.7915,0.0
pessimistic,40,multistation_rep,42,42,42,25,9,0.9272,0.0
pessimistic,40,multistation_rep,42,42,42,34,3,0.7657,0.0
pessimistic,40,multistation_rep,42,42,42,19,1,0.3071,0.0
pessimistic,40,multistation_rep,42,42,42,19,4,0.5936,0.0
pessimistic,40,multistation_rep,42,42,42,31,11,0.592,0.0
pessimistic,40,multistation_rep,42,42,42,37,3,0.193,0.0
pessimistic,40,multistation_rep,42,42,42,37,6,0.2634,0.0
pessimistic,40,multistation_rep,42,42,42,16,0,0.4969,0.0
pessimistic,40,multistation_rep,42,42,42,16,2,1.208,0.0
pessimistic,40,multistation_rep,42,42,42,10,9,0.1986,0.0
pessimistic,40,multistation_rep,42,42,42,10,4,0.3017,0.0
pessimistic,40,multistation_rep,42,42,42,33,3,0.4483,0.0
pessimistic,40,multistation_rep,42,42,42,5,9,2.4318,0.0
pessimistic,40,multistation_rep,42,42,42,5,3,0.7006,0.0
pessimistic,40,multistation_rep,42,42,42,27,0,0.3382,0.0
pessimistic,40,multistation_rep,42,42,42,2,2,0.6032,0.0
pessimistic,40,multistation_rep,42,42,42,7,3,0.4483,5.0
pessimistic,40,multistation_rep,42,42,42,13,3,0.0887,0.0
pessimistic,40,multistation_rep,42,42,42,13,3,0.4483,0.0
pessimistic,40,multistation_rep,42,42,42,7,3,0.0591,5.0
pessimistic,40,multistation_rep,42,42,42,38,11,0.4663,0.0
pessimistic,40,multistation_rep,42,42,42,25,4,2.0439,0.0
pessimistic,40,multistation_rep,42,42,42,23,0,0.3382,0.0
pessimistic,40,multistation_rep,42,42,42,38,9,0.3792,0.0
pessimistic,40,multistation_rep,42,42,42,3,0,0.3382,5.0
pessimistic,40,multistation_rep,42,42,42,38,4,2.2452,0.0
pessimistic,40,multistation_rep,42,42,42,12,8,0.3656,0.0
pessimistic,40,multistation_rep,42,42,42,23,2,0.9489,0.0
pessimistic,40,multistation_rep,42,42,42,36,9,0.2378,0.0
pessimistic,40,multistation_rep,42,42,42,39,11,0.4046,0.0
pessimistic,40,multistation_rep,42,42,42,39,4,0.3767,0.0
pessimistic,40,multistation_rep,42,42,42,6,11,0.592,0.0
pessimistic,40,multistation_rep,42,42,42,18,3,0.0643,0.0
pessimistic,40,multistation_rep,42,42,42,32,4,0.3017,5.0
pessimistic,40,multistation_rep,42,42,42,0,6,0.373,0.0
pessimistic,40,multistation_rep,42,42,42,18,5,1.512,0.0
pessimistic,40,multistation_rep,42,42,42,32,9,0.3344,0.0
pessimistic,40,multistation_rep,42,42,42,28,3,0.4483,0.0
pessimistic,40,multistation_rep,42,42,42,14,2,1.3983,0.0
pessimistic,40,multistation_rep,42,42,42,22,11,0.4904,0.0
pessimistic,40,multistation_rep,42,42,42,14,4,0.8844,0.0
pessimistic,40,multistation_rep,42,42,42,9,0,0.3382,0.0
pessimistic,40,multistation_rep,42,42,42,22,9,2.041,0.0
pessimistic,40,multistation_rep,42,42,42,1,9,2.4318,5.0
pessimistic,40,multistation_rep,42,42,42,1,4,3.7568,0.0
pessimistic,40,multistation_rep,42,42,42,15,11,0.5366,0.0
pessimistic,40,multistation_rep,42,42,42,15,9,0.6323,0.0
pessimistic,40,multistation_rep,42,42,42,11,3,0.4483,0.0
pessimistic,40,multistation_rep,42,42,42,15,4,2.7523,0.0
pessimistic,40,multistation_rep,42,42,42,21,3,0.4483,0.0
pessimistic,40,multistation_rep,42,42,42,30,9,0.5798,0.0
pessimistic,40,multistation_rep,42,42,42,30,11,0.592,0.0
pessimistic,40,multistation_rep,42,42,42,4,11,0.5073,0.0
pessimistic,40,multistation_rep,42,42,42,17,4,0.3017,0.0
pessimistic,40,multistation_rep,42,42,42,17,1,0.5594,0.0
pessimistic,40,multistation_rep,42,42,42,4,9,1.8464,0.0
pessimistic,40,multistation_rep,42,42,42,29,3,0.2135,0.0
pessimistic,40,multistation_rep,42,42,42,5,3,0.4483,0.0
pessimistic,40,multistation_rep,42,42,42,17,7,1.9935,0.0
pessimistic,40,multistation_rep,42,42,42,26,3,1.4065,0.0
pessimistic,40,multistation_rep,42,42,42,12,4,0.3017,0.0
pessimistic,40,multistation_rep,42,42,42,20,4,0.3017,0.0
pessimistic,40,multistation_rep,42,42,42,31,10,0.8232,0.0
pessimistic,40,multistation_rep,42,42,42,31,10,0.8232,0.0
pessimistic,40,multistation_rep,42,42,42,12,11,0.4146,0.0
pessimistic,40,multistation_rep,42,42,42,31,8,0.0978,0.0
pessimistic,40,multistation_rep,42,42,42,31,8,0.3349,0.0
pessimistic,40,multistation_rep,42,42,42,25,4,0.3017,5.0
pessimistic,40,multistation_rep,42,42,42,18,11,0.592,0.0
pessimistic,40,multistation_rep,42,42,42,24,0,0.6794,0.0
pessimistic,40,multistation_rep,42,42,42,12,9,2.041,0.0
pessimistic,40,multistation_rep,42,42,42,24,2,1.0632,0.0
pessimistic,40,multistation_rep,42,42,42,19,0,0.5169,0.0
pessimistic,40,multistation_rep,42,42,42,6,10,0.3501,0.0
pessimistic,40,multistation_rep,42,42,42,2,1,0.6067,0.0
