kind,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_worlds,mean_value_from,mean_value_to,mean_delta,mean_delta_pct,nb_improved,share_improved
ladder,exact_satisfaction,Satisfaction exacte,up,%,1,Recherche multi-stations,greedy,multistation,2,0.8824,0.8817,-0.0007,-0.0818,0,0.0
ladder,needs_satisfaction,Besoins satisfaits,up,%,1,Recherche multi-stations,greedy,multistation,2,0.88375,0.8834,-0.00035,-0.0408,0,0.0
ladder,confirm_rate,Taux de confirmation,up,%,1,Recherche multi-stations,greedy,multistation,2,0.9255,0.9214,-0.0041,-0.443,0,0.0
ladder,mean_waiting_time_min,Attente moyenne,down,min,1,Recherche multi-stations,greedy,multistation,2,0.249,0.252,0.003,1.2048,0,0.0
ladder,mean_travel_distance_km,Distance moyenne,down,km,1,Recherche multi-stations,greedy,multistation,2,0.4041,0.4028,-0.0013,-0.3151,1,0.5
ladder,rate_pres,Taux de présentation,up,%,1,Recherche multi-stations,greedy,multistation,2,0.39085,0.3882,-0.00265,-0.6452,0,0.0
ladder,rate_abs,Taux de no-show,down,%,1,Recherche multi-stations,greedy,multistation,2,0.1708,0.1717,0.0009,0.4582,0,0.0
ladder,nb_no_show,No-shows,down,,1,Recherche multi-stations,greedy,multistation,2,15.5,15.5,0.0,0.0,0,0.0
ladder,nb_reservations,Réservations confirmées,up,,1,Recherche multi-stations,greedy,multistation,2,87.0,86.5,-0.5,-0.4465,0,0.0
ladder,mean_occupancy_rate,Taux d'occupation,up,%,1,Recherche multi-stations,greedy,multistation,2,0.18235,0.1823,-5e-05,-0.0215,0,0.0
ladder,mean_service_rate,Taux de service,up,%,1,Recherche multi-stations,greedy,multistation,2,0.0728,0.0728,0.0,0.0,0,0.0
ladder,slot_waste_rate,Slots réservés perdus,down,%,1,Recherche multi-stations,greedy,multistation,2,0.59985,0.6004,0.00055,0.0954,0,0.0
ladder,nb_rejected_request,Demandes rejetées,down,,1,Recherche multi-stations,greedy,multistation,2,24.0,146.0,122.0,513.3333,0,0.0
ladder,total_ms_mean,Latence bout-en-bout,down,ms,1,Recherche multi-stations,greedy,multistation,2,55.259,115.8665,60.6075,111.044,0,0.0
ladder,wall_time_s,Temps de calcul,down,s,1,Recherche multi-stations,greedy,multistation,2,3.25,6.786,3.536,109.8915,0,0.0
ladder,exact_satisfaction,Satisfaction exacte,up,%,2,Réputation,multistation,multistation_rep,2,0.8817,0.88185,0.00015,0.0175,1,0.5
ladder,needs_satisfaction,Besoins satisfaits,up,%,2,Réputation,multistation,multistation_rep,2,0.8834,0.88345,5e-05,0.0059,1,0.5
ladder,confirm_rate,Taux de confirmation,up,%,2,Réputation,multistation,multistation_rep,2,0.9214,0.92935,0.00795,0.8666,1,0.5
