scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,40,bramev_event_score,42,42,42,t00000-c00008,8,0,2,0,2,True,1,105.49391602398828,321.49362500058487,93.60370802460238,0.01287501072511077,415.11020803591236
pessimistic,40,bramev_event_score,42,42,42,t00000-c00020,20,0,3,0,3,True,1,226.49762500077486,390.90145903173834,24.254374962765723,0.005708017852157354,415.1615420123562
pessimistic,40,bramev_event_score,42,42,42,t00000-c00024,24,0,1,0,1,True,1,226.47837497061118,226.47837497061118,188.68474999908358,0.004250032361596823,415.16737500205636
pessimistic,40,bramev_event_score,42,42,42,t00000-c00025,25,0,1,0,1,True,1,390.8643339527771,390.8643339527771,24.301041034050286,0.003208988346159458,415.16858397517353
pessimistic,40,bramev_event_score,42,42,42,t00000-c00033,33,0,1,0,1,True,1,105.4117499734275,105.4117499734275,309.7664579981938,0.0038750004023313522,415.18208297202364
pessimistic,40,bramev_event_score,42,42,42,t00000-c00034,34,0,2,0,2,True,1,250.02891599433497,414.98666600091383,0.1919170026667416,0.0034580007195472717,415.1820410043001
pessimistic,40,bramev_event_score,42,42,42,t00001-c00025,25,1,1,0,1,True,1,33.977707964368165,33.977707964368165,0.00762502895668149,0.009541981853544712,33.99487497517839
pessimistic,40,bramev_event_score,42,42,42,t00011-c00019,19,11,3,0,3,True,1,22.15612499276176,90.32166696852073,0.012625008821487427,0.012083037290722132,90.34637501463294
pessimistic,40,bramev_event_score,42,42,42,t00012-c00019,19,12,3,0,3,True,1,60.638791997917,174.14583399659023,0.015333003830164671,0.016291975043714046,174.1774589754641
pessimistic,40,bramev_event_score,42,42,42,t00021-c00005,5,21,1,0,1,True,1,10.873624996747822,10.873624996747822,0.006291957106441259,0.00820803688839078,10.888124990742654
pessimistic,40,bramev_event_score,42,42,42,t00022-c00031,31,22,1,0,1,True,1,24.01241596089676,24.01241596089676,0.006166985258460045,0.007875030860304832,24.026457977015525
pessimistic,40,bramev_event_score,42,42,42,t00025-c00037,37,25,2,0,2,True,1,30.338125012349337,49.14670903235674,0.00829098280519247,0.008584000170230865,49.16358401533216
pessimistic,40,bramev_event_score,42,42,42,t00026-c00037,37,26,4,0,4,True,1,39.37066701473668,110.98333401605487,0.011124997399747372,0.010457995813339949,111.00491700926796
pessimistic,40,bramev_event_score,42,42,42,t00027-c00037,37,27,3,0,3,True,1,26.12870797747746,86.80024999193847,0.009582960046827793,0.008209026418626308,86.81804197840393
pessimistic,40,bramev_event_score,42,42,42,t00030-c00016,16,30,2,0,2,True,1,52.759042009711266,84.51066695852205,0.01083302777260542,0.011000025551766157,84.53250001184642
pessimistic,40,bramev_event_score,42,42,42,t00031-c00016,16,31,2,0,2,True,1,54.161083011422306,93.89600000577047,0.009083014447242022,0.009750016033649445,93.91483303625137
pessimistic,40,bramev_event_score,42,42,42,t00038-c00010,10,38,3,0,3,True,1,22.793208016082644,98.91887503908947,0.010499963536858559,0.010333023965358734,98.93970802659169
pessimistic,40,bramev_event_score,42,42,42,t00039-c00005,5,39,1,0,1,True,1,406.70983301242813,406.70983301242813,0.009500014130026102,0.01108401920646429,406.7304170457646
pessimistic,40,bramev_event_score,42,42,42,t00039-c00010,10,39,3,0,3,True,1,120.04150002030656,397.50500000081956,9.284500032663345,0.006707967258989811,406.7962080007419
