scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_rejected_request,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,greedy,42,42,42,0,0,5,0.291,0,duration,29,11,18,0,0,0,18,7,5,1,5,0,0,575,248,0.3993,0.1722,22.758
pessimistic,40,greedy,42,42,42,1,1,5,0.2613,1,duration,9,0,9,0,0,0,9,5,1,0,3,0,0,271,169,0.1882,0.1174,10.908
pessimistic,40,greedy,42,42,42,2,1,5,0.7392,1,duration,4,3,1,0,0,0,1,1,0,0,0,0,0,33,33,0.0229,0.0229,1.65
pessimistic,40,greedy,42,42,42,3,1,5,0.8901,1,duration,29,4,25,0,0,0,25,12,4,3,6,0,0,791,390,0.5493,0.2708,34.275
pessimistic,40,greedy,42,42,42,4,2,5,0.1427,2,duration,19,4,15,0,0,0,15,6,3,2,4,0,0,503,204,0.3493,0.1417,20.65
pessimistic,40,greedy,42,42,42,5,0,4,0.2198,0,duration,6,2,4,0,0,0,4,1,2,1,0,0,0,193,45,0.1675,0.0391,3.583
pessimistic,40,greedy,42,42,42,6,0,6,0.7086,0,duration,3,0,3,0,0,0,3,2,0,1,0,0,0,99,71,0.0573,0.0411,4.642
pessimistic,40,greedy,42,42,42,7,0,6,0.5708,0,duration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,40,greedy,42,42,42,8,0,5,0.808,0,duration,8,5,3,0,0,0,3,2,0,1,0,0,0,77,41,0.0535,0.0285,3.208
pessimistic,40,greedy,42,42,42,9,1,4,0.4875,1,duration,7,1,6,0,0,0,6,2,0,0,4,0,0,273,105,0.237,0.0911,10.442
pessimistic,40,greedy,42,42,42,10,0,5,0.3053,0,duration,7,0,7,0,0,0,7,1,3,1,2,0,0,235,33,0.1632,0.0229,5.425
pessimistic,40,greedy,42,42,42,11,0,4,0.2502,0,duration,21,0,21,0,0,0,21,7,4,3,7,0,0,701,251,0.6085,0.2179,28.675
