scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,20,bramev,42,42,42,t00000-c00008,8,0,2,0,2,True,1,56.585708050988615,94.84095801599324,0.0118750031106174,0.012542004697024822,94.86537502380088
pessimistic,20,bramev,42,42,42,t00011-c00019,19,11,3,0,3,True,1,38.394958013668656,104.81479100417346,0.015500001609325409,0.018291990272700787,104.84858299605548
pessimistic,20,bramev,42,42,42,t00012-c00019,19,12,3,0,3,True,1,64.78899996727705,176.49912496563047,0.011958996765315533,0.011791009455919266,176.5228749718517
pessimistic,20,bramev,42,42,42,t00021-c00005,5,21,1,0,1,True,1,10.684666980523616,10.684666980523616,0.004999979864805937,0.006500049494206905,10.696167009882629
pessimistic,20,bramev,42,42,42,t00030-c00016,16,30,2,0,2,True,1,53.170041006524116,84.18770803837106,0.009541981853544712,0.008500006515532732,84.20575002674013
pessimistic,20,bramev,42,42,42,t00031-c00016,16,31,2,0,2,True,1,53.21504198946059,86.43037499859929,0.008417002391070127,0.009167008101940155,86.4479590090923
pessimistic,20,bramev,42,42,42,t00038-c00010,10,38,3,0,3,True,1,33.27395801898092,107.85770800430328,0.010167015716433525,0.010749965440481901,107.87862498546019
pessimistic,20,bramev,42,42,42,t00039-c00005,5,39,1,0,1,True,1,411.8865000200458,411.8865000200458,0.008749950211495161,0.00962504418566823,411.90487501444295
pessimistic,20,bramev,42,42,42,t00039-c00010,10,39,3,0,3,True,1,134.7197910072282,400.4671660368331,11.48937497055158,0.005667039658874273,411.96220804704353
pessimistic,20,bramev,42,42,42,t00039-c00014,14,39,3,0,3,True,1,67.94966699089855,348.7829170189798,63.180249999277294,0.0038750004023313522,411.9670420186594
pessimistic,20,bramev,42,42,42,t00041-c00005,5,41,1,0,1,True,1,13.61545902909711,13.61545902909711,0.004541012458503246,0.005833979230374098,13.625834020785987
pessimistic,20,bramev,42,42,42,t00045-c00002,2,45,3,0,3,True,1,27.61079097399488,109.25966600188985,0.01237494871020317,0.011334021110087633,109.28337497171015
pessimistic,20,bramev,42,42,42,t00050-c00007,7,50,1,0,1,True,1,39.94037501979619,39.94037501979619,0.0072499969974160194,0.010249961633235216,39.957874978426844
