scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,20,greedy,42,42,42,t00000-c00008,8,0,1,0,1,True,1,40.58174998499453,40.58174998499453,0.01937500201165676,0.014542019926011562,40.6156670069322
pessimistic,20,greedy,42,42,42,t00011-c00019,19,11,1,0,1,True,1,38.373124960344285,38.373124960344285,0.010125047992914915,0.012082979083061218,38.39533298742026
pessimistic,20,greedy,42,42,42,t00012-c00019,19,12,1,0,1,True,1,64.96679200790823,64.96679200790823,0.010417017620056868,0.013290962669998407,64.99049998819828
pessimistic,20,greedy,42,42,42,t00021-c00005,5,21,1,0,1,True,1,10.700124956201762,10.700124956201762,0.005041016265749931,0.00662502134218812,10.7117909938097
pessimistic,20,greedy,42,42,42,t00030-c00016,16,30,1,0,1,True,1,52.37129202578217,52.37129202578217,0.006999995093792677,0.008083006832748652,52.38637502770871
pessimistic,20,greedy,42,42,42,t00031-c00016,16,31,1,0,1,True,1,63.645207963418216,63.645207963418216,0.01325004268437624,0.012459000572562218,63.670917006675154
pessimistic,20,greedy,42,42,42,t00038-c00010,10,38,1,0,1,True,1,30.56420898064971,30.56420898064971,0.010999967344105244,0.01329102087765932,30.588499968871474
pessimistic,20,greedy,42,42,42,t00039-c00005,5,39,1,0,1,True,1,139.2370000248775,139.2370000248775,0.009541981853544712,0.011791998986154795,139.2583340057172
pessimistic,20,greedy,42,42,42,t00039-c00010,10,39,1,0,1,True,1,75.29829104896635,75.29829104896635,64.01837494922802,0.005917041562497616,139.32258303975686
pessimistic,20,greedy,42,42,42,t00039-c00014,14,39,1,0,1,True,1,128.14095796784386,128.14095796784386,11.185542040038854,0.004375004209578037,139.3308750120923
pessimistic,20,greedy,42,42,42,t00041-c00005,5,41,1,0,1,True,1,13.123915996402502,13.123915996402502,0.004792003892362118,0.00666698906570673,13.135374989360571
pessimistic,20,greedy,42,42,42,t00045-c00002,2,45,1,0,1,True,1,33.020708011463284,33.020708011463284,0.005375011824071407,0.006874965038150549,33.03295798832551
pessimistic,20,greedy,42,42,42,t00050-c00007,7,50,1,0,1,True,1,39.72016699844971,39.72016699844971,0.009040988516062498,0.012959004379808903,39.742166991345584
pessimistic,20,greedy,42,42,42,t00050-c00013,13,50,1,0,1,True,1,39.6949170390144,39.6949170390144,0.0773330102674663,0.004833971615880728,39.777084020897746
pessimistic,20,greedy,42,42,42,t00051-c00007,7,51,1,0,1,True,1,76.22679101768881,76.22679101768881,0.014583987649530172,0.011124997399747372,76.25250000273809
pessimistic,20,greedy,42,42,42,t00051-c00013,13,51,1,0,1,True,1,76.20270800543949,76.20270800543949,0.09866699110716581,0.005208014044910669,76.30658301059157
pessimistic,20,greedy,42,42,42,t00058-c00001,1,58,1,0,1,True,1,40.37529195193201,40.37529195193201,0.012792006600648165,0.01837499439716339,40.406458952929825
pessimistic,20,greedy,42,42,42,t00060-c00003,3,60,1,0,1,True,1,61.49162497604266,61.49162497604266,0.007540977094322443,0.00962504418566823,61.50879099732265
pessimistic,20,greedy,42,42,42,t00061-c00012,12,61,1,0,1,True,1,21.41633298015222,21.41633298015222,0.00604201341047883,0.0075830030255019665,21.4299579965882
pessimistic,20,greedy,42,42,42,t00085-c00006,6,85,1,0,1,True,1,20.11675003450364,20.11675003450364,0.00604201341047883,0.008957984391599894,20.131750032305717
pessimistic,20,greedy,42,42,42,t00089-c00018,18,89,1,0,1,True,1,31.543291988782585,31.543291988782585,0.0075410353019833565,0.0077919685281813145,31.55862499261275
pessimistic,20,greedy,42,42,42,t00095-c00000,0,95,1,0,1,True,1,81.72562497202307,81.72562497202307,0.005999987479299307,0.007333001121878624,81.73895796062425
pessimistic,20,greedy,42,42,42,t00095-c00018,18,95,1,0,1,True,1,34.665999992284924,34.665999992284924,47.08495904924348,0.004749977961182594,81.75570901948959
pessimistic,20,greedy,42,42,42,t00101-c00014,14,101,1,0,1,True,1,31.693958037067205,31.693958037067205,0.005707959644496441,0.007416994776576757,31.707082991488278
pessimistic,20,greedy,42,42,42,t00102-c00014,14,102,1,0,1,True,1,57.464499957859516,57.464499957859516,0.005415990017354488,0.00700005330145359,57.476916001178324
pessimistic,20,greedy,42,42,42,t00103-c00014,14,103,1,0,1,True,1,124.09870803821832,124.09870803821832,0.01333397813141346,0.012625008821487427,124.12466702517122
pessimistic,20,greedy,42,42,42,t00104-c00014,14,104,1,0,1,True,1,74.65450000017881,74.65450000017881,0.01716596307232976,0.01912500010803342,74.69079096335918
pessimistic,20,greedy,42,42,42,t00107-c00001,1,107,1,0,1,True,1,80.91829199111089,80.91829199111089,0.010542047675698996,0.013124954421073198,80.94195899320766
pessimistic,20,greedy,42,42,42,t00107-c00009,9,107,1,0,1,True,1,54.99637499451637,54.99637499451637,26.0048329946585,0.005999987479299307,81.00720797665417
pessimistic,20,greedy,42,42,42,t00108-c00001,1,108,1,0,1,True,1,23.30775000154972,23.30775000154972,0.009874987881630659,0.01283304300159216,23.330458032432944
pessimistic,20,greedy,42,42,42,t00109-c00001,1,109,1,0,1,True,1,39.927042031195015,39.927042031195015,0.01191598130390048,0.01387501833960414,39.95283303083852
pessimistic,20,greedy,42,42,42,t00111-c00001,1,111,1,0,1,True,1,55.54066697368398,55.54066697368398,0.011124997399747372,0.012542004697024822,55.564333975780755
pessimistic,20,greedy,42,42,42,t00117-c00015,15,117,1,0,1,True,1,17.96387496870011,17.96387496870011,0.009292038157582283,0.012458011042326689,17.98562501790002
pessimistic,20,greedy,42,42,42,t00118-c00015,15,118,1,0,1,True,1,12.71483296295628,12.71483296295628,0.009958050213754177,0.011083960998803377,12.735874974168837
pessimistic,20,greedy,42,42,42,t00120-c00011,11,120,1,0,1,True,1,41.070542007219046,41.070542007219046,0.011666968930512667,0.011666037607938051,41.0938750137575
pessimistic,20,greedy,42,42,42,t00121-c00015,15,121,1,0,1,True,1,17.132542037870735,17.132542037870735,0.011208001524209976,0.012457952834665775,17.15620799222961
pessimistic,20,greedy,42,42,42,t00125-c00015,15,125,1,0,1,True,1,23.288458003662527,23.288458003662527,0.010957999620586634,0.011958996765315533,23.31137500004843
pessimistic,20,greedy,42,42,42,t00126-c00015,15,126,1,0,1,True,1,17.265583970583975,17.265583970583975,0.007916009053587914,0.009791983757168055,17.28329196339473
pessimistic,20,greedy,42,42,42,t00155-c00004,4,155,1,0,1,True,1,64.07645804574713,64.07645804574713,0.012082979083061218,0.01291697844862938,64.10145800327882
pessimistic,20,greedy,42,42,42,t00156-c00004,4,156,1,0,1,True,1,98.04100001929328,98.04100001929328,0.01108401920646429,0.012165983207523823,98.06425002170727
pessimistic,20,greedy,42,42,42,t00156-c00017,17,156,1,0,1,True,1,32.46412501903251,32.46412501903251,65.63983397791162,0.005541020072996616,98.10950001701713
pessimistic,20,greedy,42,42,42,t00157-c00017,17,157,1,0,1,True,1,38.09266700409353,38.09266700409353,0.011541997082531452,0.010916031897068024,38.11512503307313
pessimistic,20,greedy,42,42,42,t00160-c00005,5,160,1,0,1,True,1,18.670583958737552,18.670583958737552,0.008083006832748652,0.009583018254488707,18.68824998382479
pessimistic,20,greedy,42,42,42,t00162-c00017,17,162,1,0,1,True,1,30.264791974332184,30.264791974332184,0.01129100564867258,0.011917029041796923,30.288000009022653
pessimistic,20,greedy,42,42,42,t00165-c00017,17,165,1,0,1,True,1,25.09141602786258,25.09141602786258,0.013166980352252722,0.011749973054975271,25.116332981269807
pessimistic,20,greedy,42,42,42,t00167-c00001,1,167,1,0,1,True,1,48.000416019931436,48.000416019931436,0.010791991371661425,0.01191697083413601,48.02312498213723
pessimistic,20,greedy,42,42,42,t00171-c00017,17,171,1,0,1,True,1,35.91229201992974,35.91229201992974,0.01291598891839385,0.01191697083413601,35.93712497968227
pessimistic,20,greedy,42,42,42,t00178-c00017,17,178,1,0,1,True,1,35.86633299710229,35.86633299710229,0.0072499969974160194,0.008291972335428,35.881874966435134
pessimistic,20,greedy,42,42,42,t00181-c00017,17,181,1,0,1,True,1,24.28187499754131,24.28187499754131,0.006125017534941435,0.007166003342717886,24.295166018418968
pessimistic,20,greedy,42,42,42,t00183-c00017,17,183,1,0,1,True,1,26.85983304399997,26.85983304399997,0.006749993190169334,0.007374968845397234,26.873958006035537
pessimistic,20,greedy,42,42,42,t00186-c00017,17,186,1,0,1,True,1,24.433374986983836,24.433374986983836,0.005125009920448065,0.006374961230903864,24.444874958135188
pessimistic,20,greedy,42,42,42,t00213-c00001,1,213,1,0,1,True,1,27.18379202997312,27.18379202997312,0.004792003892362118,0.006332993507385254,27.194917027372867
pessimistic,20,greedy,42,42,42,t00215-c00012,12,215,1,0,1,True,1,27.986957982648164,27.986957982648164,0.006999995093792677,0.011458003427833319,28.00541598116979
pessimistic,20,greedy,42,42,42,t00222-c00012,12,222,1,0,1,True,1,20.92050004284829,20.92050004284829,0.005542009603232145,0.007166003342717886,20.93320805579424
pessimistic,20,greedy,42,42,42,t00224-c00012,12,224,1,0,1,True,1,24.69474996905774,24.69474996905774,0.005499983672052622,0.0072080292738974094,24.70745798200369
pessimistic,20,greedy,42,42,42,t00242-c00001,1,242,1,0,1,True,1,40.820333000738174,40.820333000738174,0.00600004568696022,0.008167000487446785,40.83450004691258
pessimistic,20,greedy,42,42,42,t00269-c00012,12,269,1,0,1,True,1,3.7439159932546318,3.7439159932546318,0.004542001988738775,0.006332993507385254,3.754790988750756
pessimistic,20,greedy,42,42,42,t00272-c00018,18,272,1,0,1,True,1,3.697416977956891,3.697416977956891,0.005458015948534012,0.017042038962244987,3.71991703286767
pessimistic,20,greedy,42,42,42,t00275-c00007,7,275,1,0,1,True,1,2.578666026238352,2.578666026238352,0.0036669662222266197,0.005375011824071407,2.58770800428465
pessimistic,20,greedy,42,42,42,t00279-c00008,8,279,1,4,0,False,0,,,,,
pessimistic,20,greedy,42,42,42,t00281-c00002,2,281,1,4,0,False,0,,,,,
pessimistic,20,greedy,42,42,42,t00281-c00019,19,281,1,0,1,True,1,1.592292042914778,1.592292042914778,1.3961659860797226,0.005916983354836702,2.9943750123493373
pessimistic,20,greedy,42,42,42,t00284-c00006,6,284,1,0,1,True,1,4.641166015062481,4.641166015062481,0.006583984941244125,0.005415990017354488,4.65316599002108
pessimistic,20,greedy,42,42,42,t00284-c00008,8,284,1,3,0,False,0,,,,,
pessimistic,20,greedy,42,42,42,t00285-c00006,6,285,1,2,0,False,0,,,,,
pessimistic,20,greedy,42,42,42,t00286-c00002,2,286,1,0,1,True,1,1.4912920305505395,1.4912920305505395,2.61929101543501,0.005749985575675964,4.116333031561226
pessimistic,20,greedy,42,42,42,t00287-c00002,2,287,1,0,0,False,0,,,,,
