scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,20,random_feasible,42,42,42,0,0,5,0.291,0,duration,15,6,9,5,0,0,4,4,0,0,0,0,0,184,184,0.1278,0.1278,9.117
pessimistic,20,random_feasible,42,42,42,1,1,5,0.2613,1,duration,29,13,16,8,0,0,8,4,0,1,3,0,0,350,178,0.2431,0.1236,14.725
pessimistic,20,random_feasible,42,42,42,2,1,5,0.7392,1,duration,13,9,4,2,0,0,2,0,1,0,1,0,0,58,0,0.0403,0.0,0.05
pessimistic,20,random_feasible,42,42,42,3,1,5,0.8901,1,duration,19,5,14,0,0,0,14,6,2,2,4,0,0,420,171,0.2917,0.1187,17.958
pessimistic,20,random_feasible,42,42,42,4,2,5,0.1427,2,duration,27,12,15,11,0,0,4,1,0,0,3,0,0,153,53,0.1062,0.0368,6.05
pessimistic,20,random_feasible,42,42,42,5,0,4,0.2198,0,duration,14,7,7,3,0,0,4,1,0,2,1,0,0,113,1,0.0981,0.0009,5.575
pessimistic,20,random_feasible,42,42,42,6,0,6,0.7086,0,duration,17,10,7,3,0,0,4,2,2,0,0,0,0,145,98,0.0839,0.0567,4.367
pessimistic,20,random_feasible,42,42,42,7,0,6,0.5708,0,duration,11,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,20,random_feasible,42,42,42,8,0,5,0.808,0,duration,18,8,10,7,0,0,3,1,0,1,1,0,0,89,27,0.0618,0.0187,5.192
pessimistic,20,random_feasible,42,42,42,9,1,4,0.4875,1,duration,27,12,15,10,0,0,5,1,1,0,3,0,0,162,7,0.1406,0.0061,5.758
pessimistic,20,random_feasible,42,42,42,10,0,5,0.3053,0,duration,15,8,7,4,0,0,3,1,1,0,1,0,0,70,23,0.0486,0.016,1.042
pessimistic,20,random_feasible,42,42,42,11,0,4,0.2502,0,duration,25,8,17,6,0,0,11,2,2,2,5,0,0,337,42,0.2925,0.0365,13.742
