scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,40,multistation,42,42,42,t00000-c00008,8,0,2,0,2,True,1,106.16320802364498,323.0091250152327,91.6336250375025,0.012457952834665775,414.6552080055699
pessimistic,40,multistation,42,42,42,t00000-c00020,20,0,3,0,3,True,1,227.56824997486547,390.8252500114031,23.87670800089836,0.006249989382922649,414.7082080016844
pessimistic,40,multistation,42,42,42,t00000-c00024,24,0,1,0,1,True,1,227.54975000862032,227.54975000862032,187.16904195025563,0.004333036486059427,414.723124995362
pessimistic,40,multistation,42,42,42,t00000-c00025,25,0,1,0,1,True,1,390.78937500016764,390.78937500016764,23.934207973070443,0.003292050678282976,414.72687502391636
pessimistic,40,multistation,42,42,42,t00000-c00033,33,0,1,0,1,True,1,106.08541697729379,106.08541697729379,308.65324998740107,0.003958004526793957,414.74262496922165
pessimistic,40,multistation,42,42,42,t00000-c00034,34,0,2,0,2,True,1,251.44170800922439,414.53695797827095,0.2038750099018216,0.003958994057029486,414.7447919822298
pessimistic,40,multistation,42,42,42,t00001-c00025,25,1,1,0,1,True,1,34.8979999544099,34.8979999544099,0.014125020243227482,0.0201669754460454,34.93229195009917
pessimistic,40,multistation,42,42,42,t00011-c00019,19,11,3,0,3,True,1,23.14416697481647,91.98016696609557,0.014125020243227482,0.013625016435980797,92.00791700277478
pessimistic,40,multistation,42,42,42,t00012-c00019,19,12,3,0,3,True,1,57.61754198465496,170.9242090000771,0.015125027857720852,0.013624958228319883,170.95295898616314
pessimistic,40,multistation,42,42,42,t00021-c00005,5,21,1,0,1,True,1,11.17741595953703,11.17741595953703,0.004500034265220165,0.006374961230903864,11.188290955033153
pessimistic,40,multistation,42,42,42,t00022-c00031,31,22,1,0,1,True,1,24.380500020924956,24.380500020924956,0.00804202863946557,0.008917006198316813,24.397459055762738
pessimistic,40,multistation,42,42,42,t00025-c00037,37,25,2,0,2,True,1,30.358457996044308,49.50124997412786,0.009207986295223236,0.009500014130026102,49.51995797455311
pessimistic,40,multistation,42,42,42,t00026-c00037,37,26,4,0,4,True,1,38.69604202918708,110.19950004993007,0.013291952200233936,0.010792049579322338,110.22358405170962
pessimistic,40,multistation,42,42,42,t00027-c00037,37,27,3,0,3,True,1,24.251499969977885,84.48016701731831,0.014166987966746092,0.014416000340133905,84.50875000562519
pessimistic,40,multistation,42,42,42,t00030-c00016,16,30,2,0,2,True,1,52.379957982338965,84.10674997139722,0.013083044905215502,0.013999990187585354,84.13383300649002
pessimistic,40,multistation,42,42,42,t00031-c00016,16,31,2,0,2,True,1,53.9839580305852,94.43600004306063,0.011582975275814533,0.012542004697024822,94.46012502303347
pessimistic,40,multistation,42,42,42,t00038-c00010,10,38,3,0,3,True,1,22.264208004344255,98.05904200766236,0.011583033483475447,0.01133297337219119,98.08195801451802
pessimistic,40,multistation,42,42,42,t00039-c00005,5,39,1,0,1,True,1,403.7953750230372,403.7953750230372,0.009957992006093264,0.010791991371661425,403.81612500641495
pessimistic,40,multistation,42,42,42,t00039-c00010,10,39,3,0,3,True,1,117.81924997922033,394.7021249914542,9.181124973110855,0.00662502134218812,403.8898749859072
pessimistic,40,multistation,42,42,42,t00039-c00014,14,39,3,0,3,True,1,65.5273330048658,342.6339579746127,61.26074999338016,0.004875008016824722,403.8995829760097
