scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,answer_rate,confirm_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_station_level_rejections,nb_station_requests,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
pessimistic,20,greedy,42,42,42,12,3,288,2.199,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,0.925,42.079,42.079,100.278,3.626,0.009,45.714,125.272,1.0,29.874,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,62,0,0,0,18,80,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation,42,42,42,12,3,288,4.708,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.149,94.368,343.322,6.493,0.009,100.87,407.345,1.0,23.768,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,multistation_rep,42,42,42,12,3,288,4.773,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.916,95.51,344.193,6.585,0.011,102.106,409.323,1.0,24.094,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev,42,42,42,12,3,288,4.766,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,51.062,95.504,345.651,6.524,0.009,102.038,410.517,1.0,24.039,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,min_waiting,42,42,42,12,3,288,4.755,Minimum Waiting Time,baseline,True,False,False,waiting,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,50.621,95.351,347.78,6.486,0.008,101.846,411.447,1.0,24.017,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,load_aware,42,42,42,12,3,288,4.743,Load-Aware,baseline,True,False,False,load,sampled,society,duration,0.9089,0.9089,20,0.4157,0.0,67,62,62,0.9254,0.9254,1.761,50.599,95.241,349.324,6.536,0.009,101.787,414.143,1.0,23.893,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1292,0.0468,2082,785,0.623,83.65,0,0,True
pessimistic,20,random_feasible,42,42,42,12,3,288,4.936,Random Feasible,baseline,True,False,False,random,sampled,society,duration,0.9089,0.9089,20,0.5506,0.0,67,62,62,0.9254,0.9254,1.836,51.643,99.301,372.083,6.707,0.011,106.019,441.358,1.0,24.304,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,123,61,0,0,107,230,0.1279,0.0451,2081,784,0.6233,83.576,0,0,True
pessimistic,20,bramev_nearest_offer,42,42,42,12,3,288,4.808,BRAM-EV / nearest offer,variant,True,True,True,nearest,sampled,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,51.803,96.685,363.08,6.572,0.01,103.268,428.564,1.0,24.231,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_fixed_alpha,42,42,42,12,3,288,4.897,BRAM-EV / fixed alpha,variant,True,True,True,utility,fixed,society,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,52.413,98.832,374.126,6.7,0.011,105.543,441.919,1.0,24.745,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
pessimistic,20,bramev_global_rep,42,42,42,12,3,288,4.819,BRAM-EV / global reputation,variant,True,True,True,utility,sampled,global,duration,0.9089,0.9089,20,0.3957,0.0,67,62,62,0.9254,0.9254,1.761,51.523,96.699,356.761,6.583,0.011,103.293,423.808,1.0,24.295,62,23,9,8,22,0,0,0.371,0.1452,0.129,0.3548,0.371,0.1452,0.1935,0.2903,4,6.29,118,56,0,0,114,232,0.1317,0.0485,2080,783,0.6236,83.532,0,0,True
