scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,20,bramev_event_score,42,42,42,0,0,0,0.290955
pessimistic,20,bramev_event_score,42,42,42,0,0,1,0.283844
pessimistic,20,bramev_event_score,42,42,42,0,0,2,0.277444
pessimistic,20,bramev_event_score,42,42,42,0,0,3,0.277444
pessimistic,20,bramev_event_score,42,42,42,0,0,4,0.274476
pessimistic,20,bramev_event_score,42,42,42,0,0,5,0.275415
pessimistic,20,bramev_event_score,42,42,42,0,0,6,0.27626
pessimistic,20,bramev_event_score,42,42,42,0,0,7,0.274097
pessimistic,20,bramev_event_score,42,42,42,0,0,8,0.272149
pessimistic,20,bramev_event_score,42,42,42,0,0,9,0.270397
pessimistic,20,bramev_event_score,42,42,42,0,0,10,0.268819
pessimistic,20,bramev_event_score,42,42,42,0,0,11,0.2674
pessimistic,20,bramev_event_score,42,42,42,0,5,0,0.219847
pessimistic,20,bramev_event_score,42,42,42,0,5,1,0.219847
pessimistic,20,bramev_event_score,42,42,42,0,5,2,0.219847
pessimistic,20,bramev_event_score,42,42,42,0,5,3,0.225606
pessimistic,20,bramev_event_score,42,42,42,0,5,4,0.227822
pessimistic,20,bramev_event_score,42,42,42,0,5,5,0.233427
pessimistic,20,bramev_event_score,42,42,42,0,5,6,0.23847
pessimistic,20,bramev_event_score,42,42,42,0,5,7,0.240086
pessimistic,20,bramev_event_score,42,42,42,0,5,8,0.24154
pessimistic,20,bramev_event_score,42,42,42,0,5,9,0.242848
pessimistic,20,bramev_event_score,42,42,42,0,5,10,0.244025
pessimistic,20,bramev_event_score,42,42,42,0,5,11,0.245085
pessimistic,20,bramev_event_score,42,42,42,0,6,0,0.708626
pessimistic,20,bramev_event_score,42,42,42,0,6,1,0.659748
pessimistic,20,bramev_event_score,42,42,42,0,6,2,0.615758
pessimistic,20,bramev_event_score,42,42,42,0,6,3,0.581926
pessimistic,20,bramev_event_score,42,42,42,0,6,4,0.54851
pessimistic,20,bramev_event_score,42,42,42,0,6,5,0.522046
pessimistic,20,bramev_event_score,42,42,42,0,6,6,0.498228
pessimistic,20,bramev_event_score,42,42,42,0,6,7,0.473867
pessimistic,20,bramev_event_score,42,42,42,0,6,8,0.451943
pessimistic,20,bramev_event_score,42,42,42,0,6,9,0.432211
pessimistic,20,bramev_event_score,42,42,42,0,6,10,0.414452
pessimistic,20,bramev_event_score,42,42,42,0,6,11,0.398469
pessimistic,20,bramev_event_score,42,42,42,0,7,0,0.57078
pessimistic,20,bramev_event_score,42,42,42,0,7,1,0.535687
pessimistic,20,bramev_event_score,42,42,42,0,7,2,0.504103
pessimistic,20,bramev_event_score,42,42,42,0,7,3,0.481437
pessimistic,20,bramev_event_score,42,42,42,0,7,4,0.45807
pessimistic,20,bramev_event_score,42,42,42,0,7,5,0.440649
pessimistic,20,bramev_event_score,42,42,42,0,7,6,0.424971
pessimistic,20,bramev_event_score,42,42,42,0,7,7,0.407936
pessimistic,20,bramev_event_score,42,42,42,0,7,8,0.392605
pessimistic,20,bramev_event_score,42,42,42,0,7,9,0.378807
pessimistic,20,bramev_event_score,42,42,42,0,7,10,0.366388
pessimistic,20,bramev_event_score,42,42,42,0,7,11,0.355212
pessimistic,20,bramev_event_score,42,42,42,0,8,0,0.80801
pessimistic,20,bramev_event_score,42,42,42,0,8,1,0.749194
pessimistic,20,bramev_event_score,42,42,42,0,8,2,0.696259
pessimistic,20,bramev_event_score,42,42,42,0,8,3,0.654378
pessimistic,20,bramev_event_score,42,42,42,0,8,4,0.613716
pessimistic,20,bramev_event_score,42,42,42,0,8,5,0.580731
pessimistic,20,bramev_event_score,42,42,42,0,8,6,0.551045
pessimistic,20,bramev_event_score,42,42,42,0,8,7,0.521403
pessimistic,20,bramev_event_score,42,42,42,0,8,8,0.494725
pessimistic,20,bramev_event_score,42,42,42,0,8,9,0.470715
pessimistic,20,bramev_event_score,42,42,42,0,8,10,0.449105
pessimistic,20,bramev_event_score,42,42,42,0,8,11,0.429657
pessimistic,20,bramev_event_score,42,42,42,0,10,0,0.305265
pessimistic,20,bramev_event_score,42,42,42,0,10,1,0.296723
pessimistic,20,bramev_event_score,42,42,42,0,10,2,0.289036
pessimistic,20,bramev_event_score,42,42,42,0,10,3,0.287877
pessimistic,20,bramev_event_score,42,42,42,0,10,4,0.283865
pessimistic,20,bramev_event_score,42,42,42,0,10,5,0.283865
pessimistic,20,bramev_event_score,42,42,42,0,10,6,0.283865
pessimistic,20,bramev_event_score,42,42,42,0,10,7,0.280941
pessimistic,20,bramev_event_score,42,42,42,0,10,8,0.278309
pessimistic,20,bramev_event_score,42,42,42,0,10,9,0.275941
pessimistic,20,bramev_event_score,42,42,42,0,10,10,0.273809
pessimistic,20,bramev_event_score,42,42,42,0,10,11,0.271891
pessimistic,20,bramev_event_score,42,42,42,0,11,0,0.250242
pessimistic,20,bramev_event_score,42,42,42,0,11,1,0.247202
pessimistic,20,bramev_event_score,42,42,42,0,11,2,0.244467
pessimistic,20,bramev_event_score,42,42,42,0,11,3,0.247764
pessimistic,20,bramev_event_score,42,42,42,0,11,4,0.247764
pessimistic,20,bramev_event_score,42,42,42,0,11,5,0.251375
pessimistic,20,bramev_event_score,42,42,42,0,11,6,0.254624
pessimistic,20,bramev_event_score,42,42,42,0,11,7,0.254624
pessimistic,20,bramev_event_score,42,42,42,0,11,8,0.254624
pessimistic,20,bramev_event_score,42,42,42,0,11,9,0.254624
pessimistic,20,bramev_event_score,42,42,42,0,11,10,0.254624
pessimistic,20,bramev_event_score,42,42,42,0,11,11,0.254624
pessimistic,20,bramev_event_score,42,42,42,1,1,0,0.261312
pessimistic,20,bramev_event_score,42,42,42,1,1,1,0.261312
pessimistic,20,bramev_event_score,42,42,42,1,1,2,0.261312
pessimistic,20,bramev_event_score,42,42,42,1,1,3,0.312243
pessimistic,20,bramev_event_score,42,42,42,1,1,4,0.358081
pessimistic,20,bramev_event_score,42,42,42,1,1,5,0.372921
pessimistic,20,bramev_event_score,42,42,42,1,1,6,0.386277
pessimistic,20,bramev_event_score,42,42,42,1,1,7,0.398297
pessimistic,20,bramev_event_score,42,42,42,1,1,8,0.398297
pessimistic,20,bramev_event_score,42,42,42,1,1,9,0.425364
pessimistic,20,bramev_event_score,42,42,42,1,1,10,0.449725
pessimistic,20,bramev_event_score,42,42,42,1,1,11,0.471649
pessimistic,20,bramev_event_score,42,42,42,1,2,0,0.739154
pessimistic,20,bramev_event_score,42,42,42,1,2,1,0.69137
pessimistic,20,bramev_event_score,42,42,42,1,2,2,0.648364
pessimistic,20,bramev_event_score,42,42,42,1,2,3,0.66059
pessimistic,20,bramev_event_score,42,42,42,1,2,4,0.671594
pessimistic,20,bramev_event_score,42,42,42,1,2,5,0.655082
pessimistic,20,bramev_event_score,42,42,42,1,2,6,0.640222
pessimistic,20,bramev_event_score,42,42,42,1,2,7,0.626848
pessimistic,20,bramev_event_score,42,42,42,1,2,8,0.603993
pessimistic,20,bramev_event_score,42,42,42,1,2,9,0.61049
pessimistic,20,bramev_event_score,42,42,42,1,2,10,0.616338
pessimistic,20,bramev_event_score,42,42,42,1,2,11,0.621601
pessimistic,20,bramev_event_score,42,42,42,1,3,0,0.890094
pessimistic,20,bramev_event_score,42,42,42,1,3,1,0.827215
pessimistic,20,bramev_event_score,42,42,42,1,3,2,0.770625
pessimistic,20,bramev_event_score,42,42,42,1,3,3,0.770625
pessimistic,20,bramev_event_score,42,42,42,1,3,4,0.770625
pessimistic,20,bramev_event_score,42,42,42,1,3,5,0.74421
pessimistic,20,bramev_event_score,42,42,42,1,3,6,0.720437
pessimistic,20,bramev_event_score,42,42,42,1,3,7,0.699042
pessimistic,20,bramev_event_score,42,42,42,1,3,8,0.668967
pessimistic,20,bramev_event_score,42,42,42,1,3,9,0.668967
pessimistic,20,bramev_event_score,42,42,42,1,3,10,0.668967
