scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,20,min_waiting,42,42,42,0,0,5,0.291,0,duration,22,10,12,3,0,0,9,5,0,1,3,0,0,305,167,0.2118,0.116,16.533
pessimistic,20,min_waiting,42,42,42,1,1,5,0.2613,1,duration,23,11,12,9,0,0,3,1,0,0,2,0,0,86,50,0.0597,0.0347,3.592
pessimistic,20,min_waiting,42,42,42,2,1,5,0.7392,1,duration,15,11,4,3,0,0,1,1,0,0,0,0,0,33,33,0.0229,0.0229,1.65
pessimistic,20,min_waiting,42,42,42,3,1,5,0.8901,1,duration,22,6,16,0,0,0,16,6,2,2,6,0,0,476,171,0.3306,0.1187,21.225
pessimistic,20,min_waiting,42,42,42,4,2,5,0.1427,2,duration,22,10,12,6,0,0,6,2,0,1,3,0,0,228,60,0.1583,0.0417,9.492
pessimistic,20,min_waiting,42,42,42,5,0,4,0.2198,0,duration,17,9,8,5,0,0,3,1,1,1,0,0,0,142,45,0.1233,0.0391,3.583
pessimistic,20,min_waiting,42,42,42,6,0,6,0.7086,0,duration,17,10,7,6,0,0,1,1,0,0,0,0,0,34,34,0.0197,0.0197,1.7
pessimistic,20,min_waiting,42,42,42,7,0,6,0.5708,0,duration,13,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,20,min_waiting,42,42,42,8,0,5,0.808,0,duration,19,9,10,9,0,0,1,1,0,0,0,0,0,23,23,0.016,0.016,0.958
pessimistic,20,min_waiting,42,42,42,9,1,4,0.4875,1,duration,22,10,12,8,0,0,4,1,0,0,3,0,0,193,68,0.1675,0.059,7.108
pessimistic,20,min_waiting,42,42,42,10,0,5,0.3053,0,duration,16,9,7,4,0,0,3,0,2,0,1,0,0,87,0,0.0604,0.0,0.083
pessimistic,20,min_waiting,42,42,42,11,0,4,0.2502,0,duration,24,8,16,1,0,0,15,4,4,3,4,0,0,473,132,0.4106,0.1146,17.608
