scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,0,0.290955
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,1,0.283844
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,2,0.277444
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,3,0.277444
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,4,0.277444
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,5,0.274773
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,6,0.272369
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,7,0.270205
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,8,0.27089
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,9,0.269137
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,10,0.26756
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,11,0.26756
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,0,0.219847
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,1,0.219847
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,2,0.219847
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,3,0.225606
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,4,0.23079
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,5,0.232784
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,6,0.234579
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,7,0.236195
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,8,0.24028
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,9,0.241588
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,10,0.242766
pessimistic,40,bramev_nearest_offer,42,42,42,0,5,11,0.245245
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,0,0.708626
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,1,0.659748
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,2,0.615758
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,3,0.581926
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,4,0.551478
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,5,0.521404
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,6,0.494337
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,7,0.469976
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,8,0.450684
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,9,0.430952
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,10,0.413193
pessimistic,40,bramev_nearest_offer,42,42,42,0,6,11,0.39863
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,0,0.57078
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,1,0.535687
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,2,0.504103
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,3,0.481437
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,4,0.461038
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,5,0.440007
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,6,0.42108
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,7,0.404045
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,8,0.391345
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,9,0.377547
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,10,0.365129
pessimistic,40,bramev_nearest_offer,42,42,42,0,7,11,0.355372
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,0,0.80801
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,1,0.749194
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,2,0.696259
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,3,0.654378
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,4,0.616684
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,5,0.580089
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,6,0.547153
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,7,0.517511
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,8,0.493465
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,9,0.469455
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,10,0.447846
pessimistic,40,bramev_nearest_offer,42,42,42,0,8,11,0.429817
pessimistic,40,bramev_nearest_offer,42,42,42,0,10,0,0.305265
pessimistic,40,bramev_nearest_offer,42,42,42,0,10,1,0.296723
pessimistic,40,bramev_nearest_offer,42,42,42,0,10,2,0.289036
pessimistic,40,bramev_nearest_offer,42,42,42,0,10,3,0.287877
pessimistic,40,bramev_nearest_offer,42,42,42,0,10,4,0.286833
pessimistic,40,bramev_nearest_offer,42,42,42,0,10,5,0.283223
