scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,bramev_nearest_offer,42,42,42,0,0,5,0.2676,0,duration,36,14,22,3,0,0,19,8,5,1,5,0,0,576,249,0.4,0.1729,22.8
pessimistic,40,bramev_nearest_offer,42,42,42,1,1,5,0.544,1,duration,39,12,27,18,0,0,9,5,1,0,3,0,0,271,169,0.1882,0.1174,10.908
pessimistic,40,bramev_nearest_offer,42,42,42,2,1,5,0.6939,1,duration,21,14,7,6,0,0,1,1,0,0,0,0,0,33,33,0.0229,0.0229,1.65
pessimistic,40,bramev_nearest_offer,42,42,42,3,1,5,0.7413,1,duration,38,11,27,2,0,0,25,12,4,3,6,0,0,791,390,0.5493,0.2708,34.275
pessimistic,40,bramev_nearest_offer,42,42,42,4,2,5,0.1427,2,duration,37,10,27,12,0,0,15,6,3,2,4,0,0,503,204,0.3493,0.1417,20.65
pessimistic,40,bramev_nearest_offer,42,42,42,5,0,4,0.2452,0,duration,29,15,14,10,0,0,4,1,2,1,0,0,0,193,45,0.1675,0.0391,3.583
pessimistic,40,bramev_nearest_offer,42,42,42,6,0,6,0.3986,0,duration,25,12,13,10,0,0,3,2,0,1,0,0,0,99,71,0.0573,0.0411,4.642
pessimistic,40,bramev_nearest_offer,42,42,42,7,0,6,0.3554,0,duration,18,13,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,40,bramev_nearest_offer,42,42,42,8,0,5,0.4298,0,duration,28,11,17,14,0,0,3,2,0,1,0,0,0,77,41,0.0535,0.0285,3.208
pessimistic,40,bramev_nearest_offer,42,42,42,9,1,4,0.6149,1,duration,38,11,27,21,0,0,6,2,0,0,4,0,0,273,105,0.237,0.0911,10.442
pessimistic,40,bramev_nearest_offer,42,42,42,10,0,5,0.2721,0,duration,28,11,17,10,0,0,7,1,3,1,2,0,0,235,33,0.1632,0.0229,5.425
pessimistic,40,bramev_nearest_offer,42,42,42,11,0,4,0.2548,0,duration,34,9,25,4,0,0,21,7,4,3,7,0,0,700,251,0.6076,0.2179,28.675
