scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,40,multistation,42,42,42,0,0,5,0.291,0,duration,42,21,21,3,0,0,18,7,5,1,5,0,0,575,248,0.3993,0.1722,22.758
pessimistic,40,multistation,42,42,42,1,1,5,0.2613,1,duration,39,14,25,19,0,0,6,3,1,0,2,0,0,201,132,0.1396,0.0917,6.825
pessimistic,40,multistation,42,42,42,2,1,5,0.7392,1,duration,27,20,7,6,0,0,1,1,0,0,0,0,0,33,33,0.0229,0.0229,1.65
pessimistic,40,multistation,42,42,42,3,1,5,0.8901,1,duration,40,13,27,2,0,0,25,12,4,3,6,0,0,791,390,0.5493,0.2708,34.275
pessimistic,40,multistation,42,42,42,4,2,5,0.1427,2,duration,36,11,25,9,0,0,16,6,3,2,5,0,0,536,204,0.3722,0.1417,22.575
pessimistic,40,multistation,42,42,42,5,0,4,0.2198,0,duration,34,21,13,9,0,0,4,1,2,1,0,0,0,193,45,0.1675,0.0391,3.583
pessimistic,40,multistation,42,42,42,6,0,6,0.7086,0,duration,27,13,14,11,0,0,3,2,0,1,0,0,0,99,71,0.0573,0.0411,4.642
pessimistic,40,multistation,42,42,42,7,0,6,0.5708,0,duration,24,19,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
pessimistic,40,multistation,42,42,42,8,0,5,0.808,0,duration,30,12,18,15,0,0,3,2,0,1,0,0,0,77,41,0.0535,0.0285,3.208
pessimistic,40,multistation,42,42,42,9,1,4,0.4875,1,duration,37,12,25,19,0,0,6,2,0,0,4,0,0,273,105,0.237,0.0911,10.442
pessimistic,40,multistation,42,42,42,10,0,5,0.3053,0,duration,29,12,17,10,0,0,7,1,3,1,2,0,0,234,33,0.1625,0.0229,5.383
pessimistic,40,multistation,42,42,42,11,0,4,0.2502,0,duration,36,10,26,4,0,0,22,8,4,3,7,0,0,730,280,0.6337,0.2431,30.367
