kind,scenario,nb_cars,world_seed,metric,metric_label,goal,unit,step,component,from_method,to_method,value_from,value_to,delta,delta_pct,improvement
ladder,pessimistic,150,1,exact_satisfaction,Exact satisfaction,up,%,1,Multi-station search,greedy,multistation,0.6333,0.8141,0.1808,28.5489,True
ladder,pessimistic,150,1,needs_satisfaction,Needs satisfied,up,%,1,Multi-station search,greedy,multistation,0.6474,0.8221,0.1747,26.9849,True
ladder,pessimistic,150,1,confirm_rate,Confirmation rate,up,%,1,Multi-station search,greedy,multistation,0.9186,0.9817,0.0631,6.8691,True
ladder,pessimistic,150,1,mean_waiting_time_min,Mean waiting time,down,min,1,Multi-station search,greedy,multistation,45.048,12.648,-32.4,-71.9233,True
ladder,pessimistic,150,1,mean_travel_distance_km,Mean distance,down,km,1,Multi-station search,greedy,multistation,0.7827,0.8277,0.045,5.7493,False
ladder,pessimistic,150,1,rate_pres,Show-up rate,up,%,1,Multi-station search,greedy,multistation,0.4236,0.4186,-0.005,-1.1804,False
ladder,pessimistic,150,1,rate_abs,No-show rate,down,%,1,Multi-station search,greedy,multistation,0.197,0.2023,0.0053,2.6904,False
ladder,pessimistic,150,1,nb_no_show,No-shows,down,,1,Multi-station search,greedy,multistation,80.0,87.0,7.0,8.75,False
ladder,pessimistic,150,1,nb_reservations,Confirmed reservations,up,,1,Multi-station search,greedy,multistation,406.0,430.0,24.0,5.9113,True
ladder,pessimistic,150,1,mean_occupancy_rate,Occupancy rate,up,%,1,Multi-station search,greedy,multistation,0.6941,0.8816,0.1875,27.0134,True
ladder,pessimistic,150,1,mean_service_rate,Service rate,up,%,1,Multi-station search,greedy,multistation,0.2757,0.3583,0.0826,29.9601,True
ladder,pessimistic,150,1,slot_waste_rate,Wasted reserved slots,down,%,1,Multi-station search,greedy,multistation,0.603,0.5949,-0.0081,-1.3433,True
ladder,pessimistic,150,1,no_offer_rate,Demands with no offer,down,%,1,Multi-station search,greedy,multistation,0.0814,0.0183,-0.0631,-77.5184,True
ladder,pessimistic,150,1,abandon_rate,Abandoned searches,down,%,1,Multi-station search,greedy,multistation,0.0724,0.0091,-0.0633,-87.4309,True
ladder,pessimistic,150,1,request_rejection_rate,Unserved demands,down,%,1,Multi-station search,greedy,multistation,0.0814,0.0183,-0.0631,-77.5184,True
ladder,pessimistic,150,1,nb_station_level_rejections,Rejected demands,down,,1,Multi-station search,greedy,multistation,169.0,163.0,-6.0,-3.5503,True
ladder,pessimistic,150,1,station_rejection_rate,Station rejection rate,down,%,1,Multi-station search,greedy,multistation,0.2939,0.1221,-0.1718,-58.4553,True
ladder,pessimistic,150,1,total_ms_mean,End-to-end latency,down,ms,1,Multi-station search,greedy,multistation,160.225,616.457,456.232,284.7446,False
