kind,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_worlds,mean_value_from,mean_value_to,mean_delta,mean_delta_pct,nb_improved,share_improved
ladder,exact_satisfaction,Exact satisfaction,up,%,1,Multi-station search,greedy,multistation,3,0.595433,0.7505,0.155067,26.1865,3,1.0
ladder,needs_satisfaction,Needs satisfied,up,%,1,Multi-station search,greedy,multistation,3,0.6092,0.762367,0.153167,25.279,3,1.0
ladder,confirm_rate,Confirmation rate,up,%,1,Multi-station search,greedy,multistation,3,0.918733,0.981233,0.0625,6.8166,3,1.0
ladder,mean_waiting_time_min,Mean waiting time,down,min,1,Multi-station search,greedy,multistation,3,46.306,20.56,-25.746,-57.3693,3,1.0
ladder,mean_travel_distance_km,Mean distance,down,km,1,Multi-station search,greedy,multistation,3,0.6647,0.7271,0.0624,9.8279,0,0.0
ladder,rate_pres,Show-up rate,up,%,1,Multi-station search,greedy,multistation,3,0.417967,0.410667,-0.0073,-1.7545,0,0.0
ladder,rate_abs,No-show rate,down,%,1,Multi-station search,greedy,multistation,3,0.217367,0.2203,0.002933,1.3488,1,0.3333
ladder,nb_no_show,No-shows,down,,1,Multi-station search,greedy,multistation,3,87.0,95.333333,8.333333,9.5997,0,0.0
ladder,nb_reservations,Confirmed reservations,up,,1,Multi-station search,greedy,multistation,3,401.0,434.0,33.0,8.1932,3,1.0
ladder,mean_occupancy_rate,Occupancy rate,up,%,1,Multi-station search,greedy,multistation,3,0.6842,0.832333,0.148133,21.6484,3,1.0
ladder,mean_service_rate,Service rate,up,%,1,Multi-station search,greedy,multistation,3,0.2777,0.336667,0.058967,21.2697,3,1.0
ladder,slot_waste_rate,Wasted reserved slots,down,%,1,Multi-station search,greedy,multistation,3,0.595033,0.595333,0.0003,0.0738,2,0.6667
ladder,no_offer_rate,Demands with no offer,down,%,1,Multi-station search,greedy,multistation,3,0.081267,0.018767,-0.0625,-76.7689,3,1.0
ladder,abandon_rate,Abandoned searches,down,%,1,Multi-station search,greedy,multistation,3,0.074533,0.0126,-0.061933,-83.515,3,1.0
ladder,request_rejection_rate,Unserved demands,down,%,1,Multi-station search,greedy,multistation,3,0.081267,0.018767,-0.0625,-76.7689,3,1.0
ladder,nb_station_level_rejections,Rejected demands,down,,1,Multi-station search,greedy,multistation,3,179.0,264.666667,85.666667,42.9535,1,0.3333
ladder,station_rejection_rate,Station rejection rate,down,%,1,Multi-station search,greedy,multistation,3,0.306233,0.2104,-0.095833,-33.2206,3,1.0
ladder,total_ms_mean,End-to-end latency,down,ms,1,Multi-station search,greedy,multistation,3,131.954333,501.245667,369.291333,264.0521,0,0.0
ladder,wall_time_s,Wall time,down,s,1,Multi-station search,greedy,multistation,3,12.902333,42.607667,29.705333,223.4302,0,0.0
ladder,exact_satisfaction,Exact satisfaction,up,%,2,Reputation,multistation,multistation_rep,3,0.7505,0.754067,0.003567,0.4722,3,1.0
ladder,needs_satisfaction,Needs satisfied,up,%,2,Reputation,multistation,multistation_rep,3,0.762367,0.7656,0.003233,0.4123,3,1.0
ladder,confirm_rate,Confirmation rate,up,%,2,Reputation,multistation,multistation_rep,3,0.981233,0.985533,0.0043,0.4383,3,1.0
ladder,mean_waiting_time_min,Mean waiting time,down,min,2,Reputation,multistation,multistation_rep,3,20.56,21.13,0.57,1.533,1,0.3333
ladder,mean_travel_distance_km,Mean distance,down,km,2,Reputation,multistation,multistation_rep,3,0.7271,0.7332,0.0061,0.8189,1,0.3333
ladder,rate_pres,Show-up rate,up,%,2,Reputation,multistation,multistation_rep,3,0.410667,0.412867,0.0022,0.5357,2,0.6667
ladder,rate_abs,No-show rate,down,%,2,Reputation,multistation,multistation_rep,3,0.2203,0.219067,-0.001233,-0.4889,2,0.6667
ladder,nb_no_show,No-shows,down,,2,Reputation,multistation,multistation_rep,3,95.333333,94.0,-1.333333,-1.3776,3,1.0
ladder,nb_reservations,Confirmed reservations,up,,2,Reputation,multistation,multistation_rep,3,434.0,430.0,-4.0,-0.8844,0,0.0
ladder,mean_occupancy_rate,Occupancy rate,up,%,2,Reputation,multistation,multistation_rep,3,0.832333,0.8235,-0.008833,-1.1021,1,0.3333
ladder,mean_service_rate,Service rate,up,%,2,Reputation,multistation,multistation_rep,3,0.336667,0.3423,0.005633,1.7066,3,1.0
ladder,slot_waste_rate,Wasted reserved slots,down,%,2,Reputation,multistation,multistation_rep,3,0.595333,0.584933,-0.0104,-1.7415,3,1.0
ladder,no_offer_rate,Demands with no offer,down,%,2,Reputation,multistation,multistation_rep,3,0.018767,0.014467,-0.0043,-22.9238,3,1.0
ladder,abandon_rate,Abandoned searches,down,%,2,Reputation,multistation,multistation_rep,3,0.0126,0.009067,-0.003533,-31.3284,2,0.6667
ladder,request_rejection_rate,Unserved demands,down,%,2,Reputation,multistation,multistation_rep,3,0.018767,0.014467,-0.0043,-22.9238,3,1.0
ladder,nb_station_level_rejections,Rejected demands,down,,2,Reputation,multistation,multistation_rep,3,264.666667,216.333333,-48.333333,-23.5956,3,1.0
ladder,station_rejection_rate,Station rejection rate,down,%,2,Reputation,multistation,multistation_rep,3,0.2104,0.1804,-0.03,-20.2367,3,1.0
ladder,total_ms_mean,End-to-end latency,down,ms,2,Reputation,multistation,multistation_rep,3,501.245667,516.426,15.180333,3.5363,0,0.0
ladder,wall_time_s,Wall time,down,s,2,Reputation,multistation,multistation_rep,3,42.607667,44.224667,1.617,4.6919,0,0.0
ladder,exact_satisfaction,Exact satisfaction,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.754067,0.751467,-0.0026,-0.3335,0,0.0
ladder,needs_satisfaction,Needs satisfied,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.7656,0.763967,-0.001633,-0.2055,0,0.0
ladder,confirm_rate,Confirmation rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.985533,0.980667,-0.004867,-0.4947,1,0.3333
ladder,mean_waiting_time_min,Mean waiting time,down,min,3,Cross-station adaptation,multistation_rep,bramev,3,21.13,21.026,-0.104,0.3231,2,0.6667
ladder,mean_travel_distance_km,Mean distance,down,km,3,Cross-station adaptation,multistation_rep,bramev,3,0.7332,0.720633,-0.012567,-1.6901,2,0.6667
ladder,rate_pres,Show-up rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.412867,0.412233,-0.000633,-0.143,2,0.6667
ladder,rate_abs,No-show rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.219067,0.2196,0.000533,0.2241,0,0.0
ladder,nb_no_show,No-shows,down,,3,Cross-station adaptation,multistation_rep,bramev,3,94.0,94.666667,0.666667,0.6233,1,0.3333
ladder,nb_reservations,Confirmed reservations,up,,3,Cross-station adaptation,multistation_rep,bramev,3,430.0,431.666667,1.666667,0.3939,2,0.6667
ladder,mean_occupancy_rate,Occupancy rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.8235,0.826033,0.002533,0.3834,2,0.6667
ladder,mean_service_rate,Service rate,up,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.3423,0.340767,-0.001533,-0.4392,1,0.3333
ladder,slot_waste_rate,Wasted reserved slots,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.584933,0.5893,0.004367,0.7603,1,0.3333
ladder,no_offer_rate,Demands with no offer,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.014467,0.019333,0.004867,31.4142,1,0.3333
ladder,abandon_rate,Abandoned searches,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.009067,0.0149,0.005833,127.171,0,0.0
ladder,request_rejection_rate,Unserved demands,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.014467,0.019333,0.004867,31.4142,1,0.3333
ladder,nb_station_level_rejections,Rejected demands,down,,3,Cross-station adaptation,multistation_rep,bramev,3,216.333333,286.333333,70.0,43.0165,0,0.0
ladder,station_rejection_rate,Station rejection rate,down,%,3,Cross-station adaptation,multistation_rep,bramev,3,0.1804,0.222667,0.042267,35.2196,0,0.0
ladder,total_ms_mean,End-to-end latency,down,ms,3,Cross-station adaptation,multistation_rep,bramev,3,516.426,513.328667,-3.097333,-0.7798,2,0.6667
ladder,wall_time_s,Wall time,down,s,3,Cross-station adaptation,multistation_rep,bramev,3,44.224667,43.955333,-0.269333,-1.0674,2,0.6667
variant,exact_satisfaction,Exact satisfaction,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.751467,0.7477,-0.003767,-0.5637,1,0.3333
variant,needs_satisfaction,Needs satisfied,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.763967,0.760967,-0.003,-0.4411,1,0.3333
variant,confirm_rate,Confirmation rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.980667,0.9832,0.002533,0.264,2,0.6667
variant,mean_waiting_time_min,Mean waiting time,down,min,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,21.026,21.086,0.06,-0.9736,1,0.3333
variant,mean_travel_distance_km,Mean distance,down,km,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.720633,0.7404,0.019767,2.8412,0,0.0
variant,rate_pres,Show-up rate,up,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.412233,0.412033,-0.0002,-0.0533,1,0.3333
variant,rate_abs,No-show rate,down,%,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,0.2196,0.222533,0.002933,1.2998,0,0.0
variant,nb_no_show,No-shows,down,,0,Alpha heterogeneity,bramev,bramev_fixed_alpha,3,94.666667,95.0,0.333333,0.3472,0,0.0
