kind,scenario,nb_cars,metric,metric_label,goal,unit,step,component,from_method,to_method,nb_pairs,seeds,mean_value_from,mean_value_to,mean_delta,sd_delta,sem_delta,ci95_low,ci95_high,mean_delta_pct,t_stat,p_value,significant_95,nb_improved,share_improved,verdict
ladder,pessimistic,150,exact_satisfaction,Exact satisfaction,up,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.595433,0.7505,0.155067,0.022776,0.01315,0.098488,0.211645,26.1865,11.7924,0.007114,True,3,1.0,better
ladder,pessimistic,150,needs_satisfaction,Needs satisfied,up,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.6092,0.762367,0.153167,0.019052,0.011,0.105839,0.200494,25.279,13.9248,0.005118,True,3,1.0,better
ladder,pessimistic,150,confirm_rate,Confirmation rate,up,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.918733,0.981233,0.0625,0.011612,0.006704,0.033655,0.091345,6.8166,9.3228,0.011311,True,3,1.0,better
ladder,pessimistic,150,mean_waiting_time_min,Mean waiting time,down,min,1,Multi-station search,greedy,multistation,3,1|2|3,46.306,20.56,-25.746,5.76625,3.329146,-40.070158,-11.421842,-57.3693,-7.7335,0.016312,True,3,1.0,better
ladder,pessimistic,150,mean_travel_distance_km,Mean distance,down,km,1,Multi-station search,greedy,multistation,3,1|2|3,0.6647,0.7271,0.0624,0.016922,0.00977,0.020363,0.104437,9.8279,6.3869,0.023648,True,0,0.0,worse
ladder,pessimistic,150,rate_pres,Show-up rate,up,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.417967,0.410667,-0.0073,0.002718,0.00157,-0.014053,-0.000547,-1.7545,-4.6512,0.043248,True,0,0.0,worse
ladder,pessimistic,150,rate_abs,No-show rate,down,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.217367,0.2203,0.002933,0.00351,0.002027,-0.005787,0.011654,1.3488,1.4473,0.284766,False,1,0.3333,ns
ladder,pessimistic,150,nb_no_show,No-shows,down,,1,Multi-station search,greedy,multistation,3,1|2|3,87.0,95.333333,8.333333,1.527525,0.881917,4.53875,12.127916,9.5997,9.4491,0.011015,True,0,0.0,worse
ladder,pessimistic,150,nb_reservations,Confirmed reservations,up,,1,Multi-station search,greedy,multistation,3,1|2|3,401.0,434.0,33.0,14.73092,8.504901,-3.593634,69.593634,8.1932,3.8801,0.060461,False,3,1.0,ns
ladder,pessimistic,150,mean_occupancy_rate,Occupancy rate,up,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.6842,0.832333,0.148133,0.037267,0.021516,0.055558,0.240709,21.6484,6.8848,0.020452,True,3,1.0,better
ladder,pessimistic,150,mean_service_rate,Service rate,up,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.2777,0.336667,0.058967,0.020625,0.011908,0.007731,0.110203,21.2697,4.9518,0.038445,True,3,1.0,better
ladder,pessimistic,150,slot_waste_rate,Wasted reserved slots,down,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.595033,0.595333,0.0003,0.012774,0.007375,-0.031432,0.032032,0.0738,0.0407,0.971248,False,2,0.6667,ns
ladder,pessimistic,150,no_offer_rate,Demands with no offer,down,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.081267,0.018767,-0.0625,0.011612,0.006704,-0.091345,-0.033655,-76.7689,-9.3228,0.011311,True,3,1.0,better
ladder,pessimistic,150,abandon_rate,Abandoned searches,down,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.074533,0.0126,-0.061933,0.005969,0.003446,-0.07676,-0.047107,-83.515,-17.9729,0.003081,True,3,1.0,better
ladder,pessimistic,150,request_rejection_rate,Unserved demands,down,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.081267,0.018767,-0.0625,0.011612,0.006704,-0.091345,-0.033655,-76.7689,-9.3228,0.011311,True,3,1.0,better
ladder,pessimistic,150,nb_station_level_rejections,Rejected demands,down,,1,Multi-station search,greedy,multistation,3,1|2|3,179.0,264.666667,85.666667,106.837883,61.682881,-179.733349,351.066682,42.9535,1.3888,0.299327,False,1,0.3333,ns
ladder,pessimistic,150,station_rejection_rate,Station rejection rate,down,%,1,Multi-station search,greedy,multistation,3,1|2|3,0.306233,0.2104,-0.095833,0.078079,0.045079,-0.289793,0.098127,-33.2206,-2.1259,0.1674,False,3,1.0,ns
ladder,pessimistic,150,total_ms_mean,End-to-end latency,down,ms,1,Multi-station search,greedy,multistation,3,1|2|3,131.954333,501.245667,369.291333,197.965213,114.295269,-122.481517,861.064183,264.0521,3.231,0.083909,False,0,0.0,ns
ladder,pessimistic,150,wall_time_s,Wall time,down,s,1,Multi-station search,greedy,multistation,3,1|2|3,12.902333,42.607667,29.705333,12.064841,6.965639,-0.265394,59.676061,223.4302,4.2646,0.05083,False,0,0.0,ns
ladder,pessimistic,150,exact_satisfaction,Exact satisfaction,up,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.7505,0.754067,0.003567,0.002715,0.001568,-0.003179,0.010312,0.4722,2.2751,0.150713,False,3,1.0,ns
ladder,pessimistic,150,needs_satisfaction,Needs satisfied,up,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.762367,0.7656,0.003233,0.00294,0.001697,-0.00407,0.010537,0.4123,1.9049,0.197085,False,3,1.0,ns
ladder,pessimistic,150,confirm_rate,Confirmation rate,up,%,2,Reputation,multistation,multistation_rep,3,1|2|3,0.981233,0.985533,0.0043,0.002291,0.001323,-0.001392,0.009992,0.4383,3.2505,0.083028,False,3,1.0,ns
