scenario,nb_cars,method,seed,world_seed,grid_seed,nb_stations,nb_societies,total_time,wall_time_s,method_label,method_family,broadcast,reputation,adaptation,offer_choice,alpha_mode,reputation_scope,score_weighting,exact_satisfaction,needs_satisfaction,nb_cars_evaluated,mean_travel_distance_km,mean_waiting_time_min,nb_demands,nb_demands_answered,nb_demands_confirmed,nb_demands_abandoned,answer_rate,confirm_rate,no_offer_rate,request_rejection_rate,abandon_rate,mean_offers_per_demand,first_offer_ms_mean,last_offer_ms_mean,last_offer_ms_p95,selection_ms_mean,confirmation_ms_mean,total_ms_mean,total_ms_p95,mean_confirm_attempts,mean_processing_ms,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,rate_pres,rate_abs,rate_early,rate_late,intent_pres,intent_abs,intent_early,intent_late,early_intent_realized_late,mean_lead_slots,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_station_level_rejections,nb_station_requests,station_rejection_rate,mean_occupancy_rate,mean_service_rate,nb_slots_reserved,nb_slots_served,slot_waste_rate,total_station_demand_kwh,nb_breakdowns,nb_diagnostics,invariant_ok
pessimistic,150,greedy,1,1,1,12,3,288,14.143,Nearest,ablation,False,False,False,utility,sampled,society,duration,0.6333,0.6474,150,0.7827,45.048,442,406,406,32,0.9186,0.9186,0.0814,0.0814,0.0724,0.919,113.486,113.486,391.492,46.732,0.007,160.225,588.205,1.0,38.475,406,172,80,63,84,7,0,0.4236,0.197,0.1552,0.2069,0.4236,0.2143,0.1576,0.2044,1,15.837,406,0,0,2,169,575,0.2939,0.6941,0.2757,12952,5142,0.603,443.131,12,0,True
pessimistic,150,multistation,1,1,1,12,3,288,52.737,Multi-Station Only,ablation,True,False,False,utility,sampled,society,duration,0.8141,0.8221,150,0.8277,12.648,438,430,430,4,0.9817,0.9817,0.0183,0.0183,0.0091,2.676,267.724,514.729,1796.31,101.721,0.008,616.457,1881.106,1.0,51.932,430,180,87,65,91,7,0,0.4186,0.2023,0.1512,0.2116,0.4186,0.2186,0.1605,0.2023,4,9.658,1172,742,0,1,163,1335,0.1221,0.8816,0.3583,15839,6417,0.5949,570.543,8,0,True
pessimistic,150,multistation_rep,1,1,1,12,3,288,54.937,Multi-Station + Reputation,ablation,True,True,False,utility,sampled,society,duration,0.816,0.8245,150,0.8465,12.372,434,429,429,1,0.9885,0.9885,0.0115,0.0115,0.0023,2.719,289.421,539.825,1639.681,105.004,0.007,644.836,1695.561,1.0,55.107,429,179,86,65,91,8,0,0.4172,0.2005,0.1515,0.2121,0.4172,0.2191,0.1608,0.2028,4,9.653,1180,751,0,0,78,1258,0.062,0.8841,0.3605,15931,6467,0.5941,577.283,8,0,True
pessimistic,150,bramev,1,1,1,12,3,288,56.948,BRAM-EV Full,ablation,True,True,True,utility,sampled,society,duration,0.8107,0.8211,150,0.8265,13.434,431,424,424,4,0.9838,0.9838,0.0162,0.0162,0.0093,2.717,291.411,566.345,2354.594,106.02,0.008,672.373,2597.219,1.0,53.904,424,178,85,65,89,7,0,0.4198,0.2005,0.1533,0.2099,0.4198,0.217,0.1604,0.2028,3,9.896,1171,747,0,0,143,1314,0.1088,0.8691,0.3601,15655,6409,0.5906,564.657,8,0,True
pessimistic,150,nearest_available,1,1,1,12,3,288,62.662,Nearest Available,baseline,True,False,False,nearest,sampled,society,duration,0.7055,0.7203,150,0.8082,38.28,481,469,469,5,0.9751,0.9751,0.0249,0.0249,0.0104,2.678,266.762,552.248,1937.378,102.599,0.007,654.855,2205.175,1.0,53.338,469,198,93,71,100,7,0,0.4222,0.1983,0.1514,0.2132,0.4222,0.2132,0.1599,0.2047,4,14.906,1288,819,0,3,250,1538,0.1625,0.7547,0.3106,13915,5731,0.5881,500.634,8,0,True
pessimistic,150,min_waiting,1,1,1,12,3,288,57.241,Minimum Waiting Time,baseline,True,False,False,waiting,sampled,society,duration,0.8328,0.8381,150,0.8925,8.916,424,419,419,2,0.9882,0.9882,0.0118,0.0118,0.0047,2.715,303.238,589.368,2401.954,111.608,0.007,700.983,2727.598,1.0,57.088,419,175,84,63,90,7,0,0.4177,0.2005,0.1504,0.2148,0.4177,0.2172,0.1623,0.2029,5,8.959,1151,732,0,0,73,1224,0.0596,0.8876,0.3599,15779,6414,0.5935,570.692,8,0,True
pessimistic,150,load_aware,1,1,1,12,3,288,61.318,Load-Aware,baseline,True,False,False,load,sampled,society,duration,0.8424,0.8502,150,0.9557,7.356,427,418,418,4,0.9789,0.9789,0.0211,0.0211,0.0094,2.707,329.237,621.937,2384.783,119.927,0.008,741.872,2773.487,1.0,57.828,418,176,82,61,92,7,0,0.4211,0.1962,0.1459,0.2201,0.4211,0.2129,0.1627,0.2033,7,8.608,1156,738,0,0,162,1318,0.1229,0.8895,0.3611,15950,6464,0.5947,579.884,8,0,True
pessimistic,150,random_feasible,1,1,1,12,3,288,58.241,Random Feasible,baseline,True,False,False,random,sampled,society,duration,0.7887,0.8001,150,0.9458,21.186,441,436,436,4,0.9887,0.9887,0.0113,0.0113,0.0091,2.676,326.773,576.056,1697.485,103.051,0.008,679.115,1870.972,1.0,56.934,436,184,87,63,94,8,0,0.422,0.1995,0.1445,0.2156,0.422,0.2179,0.1537,0.2064,4,11.454,1180,744,0,0,181,1361,0.133,0.8493,0.3466,15026,6110,0.5934,546.3,8,0,True
pessimistic,150,bramev_nearest_offer,1,1,1,12,3,288,64.432,BRAM-EV / nearest offer,variant,True,True,True,nearest,sampled,society,duration,0.6966,0.712,150,0.8133,41.1,472,464,464,5,0.9831,0.9831,0.0169,0.0169,0.0106,2.699,298.734,590.75,2086.727,122.92,0.008,713.678,2701.86,1.0,55.964,464,196,97,71,93,7,0,0.4224,0.2091,0.153,0.2004,0.4224,0.2241,0.1573,0.1961,2,15.209,1274,810,0,4,276,1550,0.1781,0.7656,0.3177,14122,5852,0.5856,501.558,8,0,True
pessimistic,150,bramev_fixed_alpha,1,1,1,12,3,288,58.932,BRAM-EV / fixed alpha,variant,True,True,True,utility,fixed,society,duration,0.8153,0.8253,150,0.8449,12.282,426,422,422,2,0.9906,0.9906,0.0094,0.0094,0.0047,2.716,309.535,593.624,2631.136,106.059,0.008,699.691,2760.821,1.0,58.071,422,176,85,65,88,8,0,0.4171,0.2014,0.154,0.2085,0.4171,0.2204,0.1611,0.2014,3,9.621,1157,735,0,1,101,1258,0.0803,0.8733,0.358,15739,6416,0.5924,567.559,8,0,True
