scenario,nb_cars,method,method_label,method_family,metric,metric_label,goal,unit,nb_seeds,seeds,mean,sd,sem,ci95_low,ci95_high,ci95_halfwidth,min,max
pessimistic,150,bramev,BRAM-EV Full,ablation,exact_satisfaction,Exact satisfaction,up,%,3,1|2|3,0.751467,0.076054,0.04391,0.562537,0.940396,0.188929,0.6657,0.8107
pessimistic,150,bramev,BRAM-EV Full,ablation,needs_satisfaction,Needs satisfied,up,%,3,1|2|3,0.763967,0.074877,0.04323,0.577961,0.949972,0.186005,0.6792,0.8211
pessimistic,150,bramev,BRAM-EV Full,ablation,confirm_rate,Confirmation rate,up,%,3,1|2|3,0.980667,0.009496,0.005482,0.957077,1.004256,0.023589,0.97,0.9882
pessimistic,150,bramev,BRAM-EV Full,ablation,mean_waiting_time_min,Mean waiting time,down,min,3,1|2|3,21.026,12.906281,7.451445,-11.034979,53.086979,32.060979,13.434,35.928
pessimistic,150,bramev,BRAM-EV Full,ablation,mean_travel_distance_km,Mean distance,down,km,3,1|2|3,0.720633,0.096312,0.055606,0.48138,0.959886,0.239253,0.6382,0.8265
pessimistic,150,bramev,BRAM-EV Full,ablation,rate_pres,Show-up rate,up,%,3,1|2|3,0.412233,0.009265,0.005349,0.389217,0.435249,0.023016,0.4019,0.4198
pessimistic,150,bramev,BRAM-EV Full,ablation,rate_abs,No-show rate,down,%,3,1|2|3,0.2196,0.023899,0.013798,0.160231,0.278969,0.059369,0.2005,0.2464
pessimistic,150,bramev,BRAM-EV Full,ablation,nb_no_show,No-shows,down,,3,1|2|3,94.666667,9.073772,5.238745,72.126168,117.207165,22.540499,85.0,103.0
pessimistic,150,bramev,BRAM-EV Full,ablation,nb_reservations,Confirmed reservations,up,,3,1|2|3,431.666667,18.717194,10.806377,385.17058,478.162753,46.496086,418.0,453.0
pessimistic,150,bramev,BRAM-EV Full,ablation,mean_occupancy_rate,Occupancy rate,up,%,3,1|2|3,0.826033,0.038124,0.022011,0.731327,0.920739,0.094706,0.7966,0.8691
pessimistic,150,bramev,BRAM-EV Full,ablation,mean_service_rate,Service rate,up,%,3,1|2|3,0.340767,0.016829,0.009716,0.298961,0.382573,0.041806,0.3294,0.3601
pessimistic,150,bramev,BRAM-EV Full,ablation,slot_waste_rate,Wasted reserved slots,down,%,3,1|2|3,0.5893,0.001253,0.000723,0.586187,0.592413,0.003113,0.5881,0.5906
pessimistic,150,bramev,BRAM-EV Full,ablation,no_offer_rate,Demands with no offer,down,%,3,1|2|3,0.019333,0.009496,0.005482,-0.004256,0.042923,0.023589,0.0118,0.03
pessimistic,150,bramev,BRAM-EV Full,ablation,abandon_rate,Abandoned searches,down,%,3,1|2|3,0.0149,0.007637,0.004409,-0.004072,0.033872,0.018972,0.0093,0.0236
pessimistic,150,bramev,BRAM-EV Full,ablation,request_rejection_rate,Unserved demands,down,%,3,1|2|3,0.019333,0.009496,0.005482,-0.004256,0.042923,0.023589,0.0118,0.03
pessimistic,150,bramev,BRAM-EV Full,ablation,nb_station_level_rejections,Rejected demands,down,,3,1|2|3,286.333333,188.606292,108.891893,-182.190669,754.857336,468.524002,143.0,500.0
pessimistic,150,bramev,BRAM-EV Full,ablation,station_rejection_rate,Station rejection rate,down,%,3,1|2|3,0.222667,0.140657,0.081208,-0.126744,0.572077,0.349411,0.1088,0.3799
pessimistic,150,bramev,BRAM-EV Full,ablation,total_ms_mean,End-to-end latency,down,ms,3,1|2|3,513.328667,237.887471,137.344395,-77.616571,1104.273905,590.945238,239.85,672.373
pessimistic,150,bramev,BRAM-EV Full,ablation,wall_time_s,Wall time,down,s,3,1|2|3,43.955333,14.625915,8.444276,7.622547,80.288119,36.332786,28.115,56.948
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,exact_satisfaction,Exact satisfaction,up,%,3,1|2|3,0.754533,0.074717,0.043138,0.568926,0.940141,0.185607,0.6709,0.8147
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,needs_satisfaction,Needs satisfied,up,%,3,1|2|3,0.766433,0.072239,0.041707,0.586982,0.945885,0.179451,0.685,0.8228
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,confirm_rate,Confirmation rate,up,%,3,1|2|3,0.983533,0.00715,0.004128,0.965772,1.001295,0.017762,0.9764,0.9907
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,mean_waiting_time_min,Mean waiting time,down,min,3,1|2|3,22.18,14.038391,8.105069,-12.693297,57.053297,34.873297,13.848,38.388
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,mean_travel_distance_km,Mean distance,down,km,3,1|2|3,0.727767,0.098739,0.057007,0.482486,0.973047,0.245281,0.648,0.8382
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,rate_pres,Show-up rate,up,%,3,1|2|3,0.4104,0.008216,0.004744,0.389989,0.430811,0.020411,0.4014,0.4175
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,rate_abs,No-show rate,down,%,3,1|2|3,0.221767,0.023176,0.013381,0.164194,0.279339,0.057572,0.2028,0.2476
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,nb_no_show,No-shows,down,,3,1|2|3,95.666667,8.736895,5.044249,73.963016,117.370317,21.70365,86.0,103.0
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,nb_reservations,Confirmed reservations,up,,3,1|2|3,432.0,21.16601,12.220202,379.420715,484.579285,52.579285,416.0,456.0
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,mean_occupancy_rate,Occupancy rate,up,%,3,1|2|3,0.828333,0.038668,0.022325,0.732276,0.92439,0.096057,0.8018,0.8727
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,mean_service_rate,Service rate,up,%,3,1|2|3,0.339667,0.016638,0.009606,0.298336,0.380997,0.04133,0.3286,0.3588
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,slot_waste_rate,Wasted reserved slots,down,%,3,1|2|3,0.591567,0.001762,0.001017,0.587191,0.595943,0.004376,0.5896,0.593
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,no_offer_rate,Demands with no offer,down,%,3,1|2|3,0.016467,0.00715,0.004128,-0.001295,0.034228,0.017762,0.0093,0.0236
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,abandon_rate,Abandoned searches,down,%,3,1|2|3,0.009767,0.004416,0.00255,-0.001204,0.020737,0.010971,0.0047,0.0128
pessimistic,150,bramev_event_score,BRAM-EV / event score,variant,request_rejection_rate,Unserved demands,down,%,3,1|2|3,0.016467,0.00715,0.004128,-0.001295,0.034228,0.017762,0.0093,0.0236
