scenario,nb_cars,method,seed,world_seed,grid_seed,car_id,station_id,distance_km,waiting_time_min
pessimistic,150,bramev_nearest_offer,1,1,1,32,6,0.446,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,38,4,0.4811,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,40,11,0.7973,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,58,10,0.2345,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,64,8,0.2944,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,82,7,0.3755,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,96,1,0.7238,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,107,8,0.6961,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,145,10,0.2857,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,8,3,1.2851,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,10,3,1.3727,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,107,0,0.7017,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,2,4,0.2065,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,114,6,0.7887,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,137,6,0.828,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,37,10,0.3277,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,122,6,0.828,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,96,0,0.6394,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,38,4,0.451,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,39,11,1.0342,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,38,4,0.451,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,89,8,0.8403,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,103,10,0.414,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,23,7,0.3106,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,142,11,2.0601,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,15,0,0.2018,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,38,4,0.4196,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,15,0,0.7017,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,15,6,0.828,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,18,3,1.1837,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,51,6,0.9526,75.0
pessimistic,150,bramev_nearest_offer,1,1,1,138,11,2.0601,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,149,10,0.3346,10.0
pessimistic,150,bramev_nearest_offer,1,1,1,138,10,0.1911,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,144,2,0.2076,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,20,4,0.4969,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,45,1,0.6992,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,113,11,1.4788,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,144,0,0.3223,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,27,4,0.616,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,45,0,0.398,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,140,0,0.594,5.0
pessimistic,150,bramev_nearest_offer,1,1,1,144,0,0.3223,0.0
pessimistic,150,bramev_nearest_offer,1,1,1,18,8,0.3763,0.0
