scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,bramev_nearest_offer,1,1,1,0,1,6,0.7334,1,duration,134,18,116,33,0,0,83,35,16,17,13,2,0,2367,912,1.3698,0.5278,82.717
pessimistic,150,bramev_nearest_offer,1,1,1,1,1,6,0.5752,1,duration,88,17,71,64,0,0,7,1,3,2,1,0,0,121,32,0.07,0.0185,4.717
pessimistic,150,bramev_nearest_offer,1,1,1,2,2,4,0.6609,2,duration,146,17,129,123,0,0,6,4,1,1,0,0,0,201,92,0.1745,0.0799,7.567
pessimistic,150,bramev_nearest_offer,1,1,1,3,1,6,0.5002,1,duration,138,16,122,82,0,0,40,20,5,3,12,0,0,1340,599,0.7755,0.3466,58.108
pessimistic,150,bramev_nearest_offer,1,1,1,4,2,6,0.5812,2,duration,126,19,107,34,0,1,73,32,13,11,15,2,0,2426,1053,1.4039,0.6094,84.5
pessimistic,150,bramev_nearest_offer,1,1,1,5,0,6,0.6348,0,duration,139,17,122,118,0,0,4,0,2,0,2,0,0,141,0,0.0816,0.0,3.458
pessimistic,150,bramev_nearest_offer,1,1,1,6,1,5,0.6003,1,duration,161,51,110,18,0,3,92,32,22,17,20,1,0,2355,722,1.6354,0.5014,78.158
pessimistic,150,bramev_nearest_offer,1,1,1,7,1,5,0.4983,1,duration,84,17,67,50,0,0,17,8,6,1,2,0,0,623,286,0.4326,0.1986,18.783
pessimistic,150,bramev_nearest_offer,1,1,1,8,0,5,0.56,0,duration,81,19,62,30,0,0,32,10,7,6,7,2,0,1266,353,0.8792,0.2451,43.792
pessimistic,150,bramev_nearest_offer,1,1,1,9,0,4,0.6212,0,duration,105,20,85,66,0,0,19,7,5,0,7,0,0,489,189,0.4245,0.1641,18.658
pessimistic,150,bramev_nearest_offer,1,1,1,10,2,5,0.5748,2,duration,191,18,173,140,0,0,33,19,6,4,4,0,0,1122,653,0.7792,0.4535,42.75
pessimistic,150,bramev_nearest_offer,1,1,1,11,0,5,0.6531,0,duration,157,47,110,52,0,0,58,28,11,9,10,0,0,1671,961,1.1604,0.6674,58.35
