scenario,nb_cars,method,seed,world_seed,grid_seed,station_id,society_id,nb_charg_spot,alpha,score_index,score_weighting,nb_request,nb_station_level_rejections,nb_offer_issued,nb_offer_expired,nb_confirm_refused,nb_stale_confirm,nb_reservations,nb_pres,nb_no_show,nb_early_canc,nb_late_canc,nb_breakdown_canc,nb_unresolved,nb_slots_reserved,nb_slots_served,occupancy_rate,service_rate,demand_kwh
pessimistic,150,bramev,1,1,1,0,1,6,0.7049,1,duration,115,14,101,48,0,0,53,22,10,11,8,2,0,1961,729,1.1348,0.4219,66.483
pessimistic,150,bramev,1,1,1,1,1,6,0.5467,1,duration,64,9,55,47,0,0,8,2,2,1,3,0,0,190,58,0.11,0.0336,9.317
pessimistic,150,bramev,1,1,1,2,2,4,0.6624,2,duration,131,14,117,94,0,0,23,12,3,3,4,1,0,841,440,0.73,0.3819,33.325
pessimistic,150,bramev,1,1,1,3,1,6,0.4717,1,duration,126,14,112,58,0,0,54,22,6,9,17,0,0,1984,769,1.1481,0.445,83.817
pessimistic,150,bramev,1,1,1,4,2,6,0.5827,2,duration,111,11,100,41,0,0,59,26,12,9,10,2,0,2287,968,1.3235,0.5602,76.383
pessimistic,150,bramev,1,1,1,5,0,6,0.5666,0,duration,118,13,105,97,0,0,8,1,4,2,1,0,0,286,9,0.1655,0.0052,6.458
pessimistic,150,bramev,1,1,1,6,1,5,0.5718,1,duration,128,11,117,47,0,0,70,23,17,11,18,1,0,2207,678,1.5326,0.4708,77.4
pessimistic,150,bramev,1,1,1,7,1,5,0.4698,1,duration,62,9,53,33,0,0,20,6,7,3,4,0,0,739,232,0.5132,0.1611,23.217
pessimistic,150,bramev,1,1,1,8,0,5,0.4918,0,duration,69,11,58,25,0,0,33,11,10,5,6,1,0,1379,369,0.9576,0.2562,40.833
pessimistic,150,bramev,1,1,1,9,0,4,0.5529,0,duration,83,10,73,47,0,0,26,11,2,7,6,0,0,1083,503,0.9401,0.4366,45.533
pessimistic,150,bramev,1,1,1,10,2,5,0.5763,2,duration,172,13,159,122,0,0,37,25,4,2,6,0,0,1351,868,0.9382,0.6028,56.233
pessimistic,150,bramev,1,1,1,11,0,5,0.5849,0,duration,135,14,121,88,0,0,33,17,8,2,6,0,0,1347,786,0.9354,0.5458,45.658
