scenario,nb_cars,method,seed,world_seed,grid_seed,society_id,station_id,update_step,alpha
pessimistic,150,load_aware,1,1,1,0,5,0,0.594761
pessimistic,150,load_aware,1,1,1,0,8,0,0.356455
pessimistic,150,load_aware,1,1,1,0,9,0,0.551288
pessimistic,150,load_aware,1,1,1,0,11,0,0.653141
pessimistic,150,load_aware,1,1,1,1,0,0,0.870332
pessimistic,150,load_aware,1,1,1,1,1,0,0.366186
pessimistic,150,load_aware,1,1,1,1,3,0,0.127374
pessimistic,150,load_aware,1,1,1,1,6,0,0.446114
pessimistic,150,load_aware,1,1,1,1,7,0,0.121337
pessimistic,150,load_aware,1,1,1,2,2,0,0.838204
pessimistic,150,load_aware,1,1,1,2,4,0,0.584396
pessimistic,150,load_aware,1,1,1,2,10,0,0.563905
