scenario,nb_cars,method,seed,world_seed,grid_seed,demand_id,car_id,slot,nb_stations,search_retries,nb_offers,confirmed,abandoned,confirm_attempts,first_offer_ms,last_offer_ms,selection_ms,confirmation_ms,total_ms
pessimistic,150,min_waiting,1,1,1,t00000-c00000,0,0,3,0,3,True,False,1,2095.494749955833,3320.989500032738,3466.939999954775,0.014874967746436596,6787.944374955259
pessimistic,150,min_waiting,1,1,1,t00000-c00008,8,0,3,1,3,True,False,1,7146.080625010654,7671.914333011955,0.017707934603095055,0.013292068615555763,7671.945333015174
pessimistic,150,min_waiting,1,1,1,t00000-c00010,10,0,3,1,3,True,False,1,7146.056375000626,7671.889916993678,0.1075830077752471,0.005749985575675964,7672.0032499870285
pessimistic,150,min_waiting,1,1,1,t00000-c00032,32,0,4,0,4,True,False,1,1024.8793748905882,5696.41408289317,1091.522250091657,0.006499933078885078,6787.942832917906
pessimistic,150,min_waiting,1,1,1,t00000-c00038,38,0,2,0,2,True,False,1,2095.3964999644086,6787.809125031345,0.13954099267721176,0.004416913725435734,6787.953082937747
pessimistic,150,min_waiting,1,1,1,t00000-c00040,40,0,2,0,2,True,False,1,6081.916708033532,6787.789708003402,0.17612497322261333,0.0037919962778687477,6787.969624972902
pessimistic,150,min_waiting,1,1,1,t00000-c00047,47,0,6,2,6,True,False,1,7693.181041977368,7959.152667084709,0.10837498120963573,0.007916940376162529,7959.268959006295
pessimistic,150,min_waiting,1,1,1,t00000-c00058,58,0,4,0,4,True,False,1,2095.3377090627328,6787.750834017061,0.19816600251942873,0.003583962097764015,6787.952583981678
pessimistic,150,min_waiting,1,1,1,t00000-c00062,62,0,2,0,2,True,False,1,3038.68158289697,5696.315541979857,1091.6337079834193,0.0031669624149799347,6787.952416925691
pessimistic,150,min_waiting,1,1,1,t00000-c00064,64,0,3,0,3,True,False,1,471.1330420104787,3741.1753749474883,3046.7734170379117,0.004083034582436085,6787.9528750199825
pessimistic,150,min_waiting,1,1,1,t00000-c00066,66,0,2,0,2,True,False,1,1753.3276249887422,2451.7309160437435,4336.218375014141,0.0035419361665844917,6787.952832994051
pessimistic,150,min_waiting,1,1,1,t00000-c00076,76,0,4,0,4,True,False,1,1024.7242079349235,5696.259625023231,1091.6894580004737,0.003916909918189049,6787.952999933623
pessimistic,150,min_waiting,1,1,1,t00000-c00082,82,0,3,0,3,True,False,1,1024.7060830006376,5696.241541998461,1091.7086249683052,0.0038329744711518288,6787.953999941237
pessimistic,150,min_waiting,1,1,1,t00000-c00096,96,0,5,0,5,True,False,1,1024.6830000542104,5696.218625060283,1091.7299999855459,0.003916909918189049,6787.952541955747
pessimistic,150,min_waiting,1,1,1,t00000-c00107,107,0,3,0,3,True,False,1,471.03470796719193,3741.0778329940513,3046.8787499703467,0.0035830307751893997,6787.960165995173
pessimistic,150,min_waiting,1,1,1,t00000-c00118,118,0,2,0,2,True,False,1,471.01637499872595,1673.4054579865187,5114.555582986213,0.003500026650726795,6787.964540999383
pessimistic,150,min_waiting,1,1,1,t00000-c00145,145,0,4,0,4,True,False,1,2095.1634160010144,6787.576625007205,0.38537499494850636,0.0035410048440098763,6787.965541006997
pessimistic,150,min_waiting,1,1,1,t00001-c00107,107,1,2,0,2,True,False,1,356.83704097755253,759.7128329798579,123.10312502086163,0.004749977961182594,882.8207079786807
pessimistic,150,min_waiting,1,1,1,t00002-c00002,2,2,1,0,1,True,False,1,115.12475006747991,115.12475006747991,171.11320793628693,0.011041993275284767,286.2489999970421
pessimistic,150,min_waiting,1,1,1,t00002-c00114,114,2,1,0,1,True,False,1,246.75345805007964,246.75345805007964,39.568500011228025,0.004124944098293781,286.32608300540596
pessimistic,150,min_waiting,1,1,1,t00002-c00137,137,2,1,0,1,True,False,1,246.73020804766566,246.73020804766566,39.60541705600917,0.0037079444155097008,286.33933304809034
pessimistic,150,min_waiting,1,1,1,t00004-c00137,137,4,1,0,1,True,False,1,26.642541983164847,26.642541983164847,0.01166702713817358,0.009207986295223236,26.663416996598244
pessimistic,150,min_waiting,1,1,1,t00005-c00037,37,5,3,0,3,True,False,1,68.60416696872562,186.13229203037918,0.013457960449159145,0.009833020158112049,186.15558301098645
pessimistic,150,min_waiting,1,1,1,t00005-c00099,99,5,2,0,2,True,False,1,68.57254193164408,176.17120791692287,10.011834092438221,0.004915986210107803,186.1879579955712
pessimistic,150,min_waiting,1,1,1,t00005-c00122,122,5,1,0,1,True,False,1,76.18620793800801,76.18620793800801,109.99666701536626,0.0035420525819063187,186.18641700595617
pessimistic,150,min_waiting,1,1,1,t00006-c00039,39,6,3,1,3,True,False,1,322.40804203320295,1147.9106249753386,0.1039999770000577,0.005042064003646374,1148.0196670163423
pessimistic,150,min_waiting,1,1,1,t00006-c00096,96,6,3,0,3,True,False,1,16.9096669415012,46.02591693401337,44.063333072699606,0.009708921425044537,90.09895892813802
pessimistic,150,min_waiting,1,1,1,t00006-c00122,122,6,1,0,1,True,False,1,90.05295799579471,90.05295799579471,0.07166701834648848,0.005040899850428104,90.12966591399163
pessimistic,150,min_waiting,1,1,1,t00007-c00038,38,7,3,0,3,True,False,1,192.37933296244591,1056.8102500401437,0.018499908037483692,0.01116609200835228,1056.8399160401896
pessimistic,150,min_waiting,1,1,1,t00007-c00114,114,7,4,0,4,True,False,1,138.4909589542076,420.43687496334314,636.4685000153258,0.00508397351950407,1056.9104589521885
pessimistic,150,min_waiting,1,1,1,t00008-c00038,38,8,3,0,3,True,False,1,41.67662502732128,183.9179580565542,0.013125012628734112,0.009999959729611874,183.94108302891254
pessimistic,150,min_waiting,1,1,1,t00008-c00089,89,8,1,0,1,True,False,1,100.94124998431653,100.94124998431653,83.03691702894866,0.005082925781607628,183.9832499390468
pessimistic,150,min_waiting,1,1,1,t00008-c00142,142,8,4,2,4,True,False,1,426.0117920348421,642.2037919983268,0.09187497198581696,0.004875008016824722,642.3005419783294
pessimistic,150,min_waiting,1,1,1,t00009-c00103,103,9,4,0,4,True,False,1,27.714792056940496,90.89770796708763,0.015042023733258247,0.00900006853044033,90.92175005935133
pessimistic,150,min_waiting,1,1,1,t00010-c00023,23,10,4,0,4,True,False,1,107.57658293005079,312.459500040859,53.05270792450756,0.01008401159197092,365.5222919769585
pessimistic,150,min_waiting,1,1,1,t00013-c00015,15,13,2,0,2,True,False,1,26.60670899786055,51.93512502592057,397.2797919996083,0.012124888598918915,449.22704191412777
pessimistic,150,min_waiting,1,1,1,t00013-c00038,38,13,3,0,3,True,False,1,210.41691699065268,449.17429191991687,0.11129106860607862,0.005875015631318092,449.29145800415426
pessimistic,150,min_waiting,1,1,1,t00013-c00092,92,13,2,0,2,True,False,1,210.3928750148043,430.2033750573173,19.089916022494435,0.004166970029473305,449.2974580498412
pessimistic,150,min_waiting,1,1,1,t00014-c00015,15,14,2,0,2,True,False,1,13.408249942585826,26.075041969306767,0.008499948307871819,0.007958034984767437,26.091499952599406
pessimistic,150,min_waiting,1,1,1,t00014-c00025,25,14,3,1,3,True,False,1,65.67195896059275,110.31858390197158,0.06879109423607588,0.005958951078355312,110.39333394728601
pessimistic,150,min_waiting,1,1,1,t00015-c00015,15,15,1,0,1,True,False,1,44.295166968367994,44.295166968367994,39.08558306284249,0.008416944183409214,83.38916697539389
pessimistic,150,min_waiting,1,1,1,t00017-c00018,18,17,3,1,3,True,False,1,37.5821249326691,72.52358389087021,0.009500072337687016,0.008165952749550343,72.54124991595745
pessimistic,150,min_waiting,1,1,1,t00017-c00138,138,17,4,2,4,True,False,1,118.42845799401402,1158.5488750133663,0.11466699652373791,0.006541027687489986,1158.6700830375776
pessimistic,150,min_waiting,1,1,1,t00019-c00051,51,19,2,0,2,True,False,1,420.47249991446733,432.47133295517415,652.7449999703094,0.012917094863951206,1085.2292500203475
pessimistic,150,min_waiting,1,1,1,t00019-c00149,149,19,4,0,4,True,False,1,142.653166083619,1085.1590830134228,0.16166700515896082,0.005083042196929455,1085.3258330607787
pessimistic,150,min_waiting,1,1,1,t00020-c00138,138,20,4,0,4,True,False,1,22.130209021270275,90.85495898034424,0.016625039279460907,0.009082956239581108,90.88066697586328
pessimistic,150,min_waiting,1,1,1,t00022-c00113,113,22,1,1,1,True,False,1,690.6036660075188,690.6036660075188,0.14366698451340199,0.004166970029473305,690.7514999620616
pessimistic,150,min_waiting,1,1,1,t00022-c00144,144,22,4,0,4,True,False,1,57.77070904150605,245.70812506135553,0.02804200630635023,0.01225003506988287,245.74841710273176
pessimistic,150,min_waiting,1,1,1,t00023-c00020,20,23,2,0,2,True,False,1,280.1319579593837,402.1327910013497,41.71825002413243,0.010874937288463116,443.8619159627706
pessimistic,150,min_waiting,1,1,1,t00023-c00045,45,23,5,0,5,True,False,1,81.80375001393259,436.8146250490099,7.08725000731647,0.006332993507385254,443.9082080498338
pessimistic,150,min_waiting,1,1,1,t00023-c00144,144,23,2,0,2,True,False,1,43.01870800554752,111.63675005082041,332.2995000053197,0.004417030140757561,443.9406670862809
pessimistic,150,min_waiting,1,1,1,t00024-c00018,18,24,1,0,1,True,False,1,945.684416918084,945.684416918084,17.992500099353492,0.0113749410957098,963.6882919585332
pessimistic,150,min_waiting,1,1,1,t00024-c00027,27,24,2,0,2,True,False,1,935.96837494988,963.6375409318134,0.11387502308934927,0.006041955202817917,963.7574579101056
pessimistic,150,min_waiting,1,1,1,t00024-c00045,45,24,3,0,3,True,False,1,343.08991697616875,908.3239589817822,55.43591605965048,0.004875008016824722,963.7647500494495
pessimistic,150,min_waiting,1,1,1,t00024-c00140,140,24,3,0,3,True,False,1,343.0625000037253,908.2964580738917,55.46637496445328,0.0038329744711518288,963.7666660128161
pessimistic,150,min_waiting,1,1,1,t00024-c00144,144,24,2,0,2,True,False,1,343.0444170953706,701.5589590882882,262.20583298709244,0.0034999102354049683,963.7682919856161
pessimistic,150,min_waiting,1,1,1,t00026-c00006,6,26,2,0,2,True,False,1,37.851709057576954,55.15287502203137,0.007792026735842228,0.008041970431804657,55.168709019199014
pessimistic,150,min_waiting,1,1,1,t00026-c00139,139,26,2,0,2,True,False,1,12.003500014543533,25.566082913428545,29.61854205932468,0.004875008016824722,55.18949998077005
pessimistic,150,min_waiting,1,1,1,t00029-c00004,4,29,1,0,1,True,False,1,13.68179195560515,13.68179195560515,0.006792019121348858,0.007333001121878624,13.695916975848377
pessimistic,150,min_waiting,1,1,1,t00029-c00147,147,29,1,0,1,True,False,1,13.651750050485134,13.651750050485134,0.05645793862640858,0.00500003807246685,13.71320802718401
pessimistic,150,min_waiting,1,1,1,t00030-c00006,6,30,2,0,2,True,False,1,30.16333293635398,42.203999939374626,14.327917015179992,0.008500064723193645,56.54041701927781
pessimistic,150,min_waiting,1,1,1,t00030-c00079,79,30,2,0,2,True,False,1,13.683167053386569,56.4945840742439,0.053916010074317455,0.00508397351950407,56.553584057837725
pessimistic,150,min_waiting,1,1,1,t00030-c00147,147,30,1,0,1,True,False,1,30.110124964267015,30.110124964267015,26.43933310173452,0.003916909918189049,56.55337497591972
pessimistic,150,min_waiting,1,1,1,t00031-c00018,18,31,2,0,2,True,False,1,55.473375017754734,73.23691702913493,0.009624985978007317,0.009416951797902584,73.25595896691084
pessimistic,150,min_waiting,1,1,1,t00031-c00090,90,31,3,1,3,True,False,1,93.47037505358458,495.02158304676414,35.70191701874137,0.005500041879713535,530.7290001073852
pessimistic,150,min_waiting,1,1,1,t00031-c00147,147,31,2,0,2,True,False,1,17.1102499589324,34.34995806310326,38.89962495304644,0.006375019438564777,73.25595803558826
pessimistic,150,min_waiting,1,1,1,t00032-c00000,0,32,2,0,2,True,False,1,439.78725001215935,456.4339159987867,0.01237494871020317,0.012459000572562218,456.45874994806945
pessimistic,150,min_waiting,1,1,1,t00032-c00066,66,32,3,0,3,True,False,1,19.291708013042808,420.84233299829066,35.662833019159734,0.006917049176990986,456.5120830666274
pessimistic,150,min_waiting,1,1,1,t00033-c00090,90,33,2,0,2,True,False,1,18.450875068083405,38.25275006238371,0.010207993909716606,0.008124974556267262,38.271083030849695
pessimistic,150,min_waiting,1,1,1,t00034-c00044,44,34,4,2,4,True,False,1,322.13049998972565,506.4654169837013,0.017166021279990673,0.01625006552785635,506.49883307050914
pessimistic,150,min_waiting,1,1,1,t00035-c00091,91,35,4,0,4,True,False,1,111.85099999420345,233.68508310522884,0.022916938178241253,0.013082986697554588,233.72108303010464
pessimistic,150,min_waiting,1,1,1,t00036-c00016,16,36,1,3,1,True,False,1,1090.1727919699624,1090.1727919699624,104.79479201603681,0.0100000761449337,1194.9775840621442
